barman-generator.py <num_cocktails> <num_ingredients> <num_shots> [<random_seed>]
p0.pddl 1 2 4 1
p1.pddl 1 2 2 1
p2.pddl 2 2 6 1
p3.pddl 2 2 7 1
p4.pddl 3 2 5 1
p5.pddl 3 2 8 1
p6.pddl 4 2 8 1
p7.pddl 4 2 9 1
p8.pddl 5 2 6 1
p9.pddl 5 2 10 1
p10.pddl 6 2 11 1
p11.pddl 6 2 10 1
p12.pddl 7 2 12 1
p13.pddl 7 2 8 1
p14.pddl 8 2 11 1
p15.pddl 8 2 12 1
p16.pddl 9 2 10 1
p17.pddl 9 2 12 1
p18.pddl 10 2 13 1
p19.pddl 10 2 15 1
p20.pddl 11 2 15 1
p21.pddl 11 2 14 1
p22.pddl 12 2 15 1
p23.pddl 12 2 14 1
p24.pddl 13 2 18 1
p25.pddl 13 2 17 1
p26.pddl 14 2 17 1
p27.pddl 14 2 16 1
p28.pddl 15 2 17 1
p29.pddl 15 2 18 1
p30.pddl 16 2 20 1
p31.pddl 16 2 18 1
p32.pddl 17 2 18 1
p33.pddl 17 2 19 1
p34.pddl 18 2 21 1
p35.pddl 18 2 23 1
p36.pddl 19 2 24 1
p37.pddl 19 2 20 1
p38.pddl 20 2 23 1
p39.pddl 20 2 25 1
p40.pddl 21 2 22 1
p41.pddl 21 2 23 1
p42.pddl 22 2 24 1
p43.pddl 22 2 23 1
p44.pddl 23 2 25 1
p45.pddl 23 2 28 1
p46.pddl 24 2 25 1
p47.pddl 24 2 28 1
p48.pddl 25 2 28 1
p49.pddl 25 2 30 1
p50.pddl 26 2 30 1
p51.pddl 26 2 27 1
p52.pddl 27 2 31 1
p53.pddl 27 2 32 1
p54.pddl 28 2 29 1
p55.pddl 28 2 31 1
p56.pddl 29 2 32 1
p57.pddl 29 2 30 1
p58.pddl 30 2 34 1
p59.pddl 30 2 32 1
p60.pddl 31 2 33 1
p61.pddl 31 2 36 1
p62.pddl 32 2 36 1
p63.pddl 32 2 33 1
p64.pddl 33 2 34 1
p65.pddl 33 2 37 1
p66.pddl 34 2 38 1
p67.pddl 34 2 36 1
p68.pddl 35 2 39 1
p69.pddl 35 2 40 1
p70.pddl 36 2 39 1
p71.pddl 36 2 38 1
p72.pddl 37 2 39 1
p73.pddl 37 2 42 1
p74.pddl 38 2 39 1
p75.pddl 38 2 43 1
p76.pddl 39 2 40 1
p77.pddl 39 2 41 1
p78.pddl 1 3 3 1
p79.pddl 1 3 5 1
p80.pddl 2 3 4 1
p81.pddl 2 3 6 1
p82.pddl 3 3 7 1
p83.pddl 3 3 5 1
p84.pddl 4 3 8 1
p85.pddl 4 3 7 1
p86.pddl 5 3 9 1
p87.pddl 5 3 7 1
p88.pddl 6 3 10 1
p89.pddl 6 3 11 1
p90.pddl 7 3 10 1
p91.pddl 7 3 9 1
p92.pddl 8 3 9 1
p93.pddl 8 3 11 1
p94.pddl 9 3 12 1
p95.pddl 9 3 14 1
p96.pddl 10 3 14 1
p97.pddl 10 3 15 1
p98.pddl 11 3 14 1
p99.pddl 11 3 13 1
p100.pddl 12 3 16 1
p101.pddl 12 3 14 1
p102.pddl 13 3 18 1
p103.pddl 13 3 15 1
p104.pddl 14 3 15 1
p105.pddl 14 3 17 1
p106.pddl 15 3 16 1
p107.pddl 15 3 19 1
p108.pddl 16 3 20 1
p109.pddl 16 3 21 1
p110.pddl 17 3 18 1
p111.pddl 17 3 19 1
p112.pddl 18 3 22 1
p113.pddl 18 3 20 1
p114.pddl 19 3 23 1
p115.pddl 19 3 22 1
p116.pddl 20 3 21 1
p117.pddl 20 3 22 1
p118.pddl 21 3 25 1
p119.pddl 21 3 24 1
p120.pddl 22 3 24 1
p121.pddl 22 3 25 1
p122.pddl 23 3 24 1
p123.pddl 23 3 28 1
p124.pddl 24 3 27 1
p125.pddl 24 3 26 1
p126.pddl 25 3 28 1
p127.pddl 25 3 29 1
p128.pddl 26 3 31 1
p129.pddl 26 3 29 1
p130.pddl 27 3 28 1
p131.pddl 27 3 29 1
p132.pddl 28 3 33 1
p133.pddl 28 3 31 1
p134.pddl 29 3 34 1
p135.pddl 29 3 33 1
p136.pddl 30 3 33 1
p137.pddl 30 3 31 1
p138.pddl 31 3 36 1
p139.pddl 31 3 35 1
p140.pddl 32 3 36 1
