./blocksworld <ops> <num>
p0.pddl 3 2
p1.pddl 3 3
p2.pddl 3 4
p3.pddl 3 5
p4.pddl 3 6
p5.pddl 3 7
p6.pddl 3 8
p7.pddl 3 9
p8.pddl 3 10
p9.pddl 3 11
p10.pddl 3 12
p11.pddl 3 13
p12.pddl 3 14
p13.pddl 3 15
p14.pddl 3 16
p15.pddl 3 17
p16.pddl 3 18
p17.pddl 3 19
p18.pddl 3 20
p19.pddl 3 21
p20.pddl 3 22
p21.pddl 3 23
p22.pddl 3 24
p23.pddl 3 25
p24.pddl 3 26
p25.pddl 3 27
p26.pddl 3 28
p27.pddl 3 29
p28.pddl 3 30
p29.pddl 3 31
p30.pddl 3 32
p31.pddl 3 33
p32.pddl 3 34
p33.pddl 3 35
p34.pddl 3 36
p35.pddl 3 37
p36.pddl 3 38
p37.pddl 3 39
p38.pddl 3 40
p39.pddl 3 41
p40.pddl 3 42
p41.pddl 3 43
p42.pddl 3 44
p43.pddl 3 45
p44.pddl 3 46
p45.pddl 3 47
p46.pddl 3 48
p47.pddl 3 49
p48.pddl 3 50
p49.pddl 3 51
p50.pddl 3 52
p51.pddl 3 53
p52.pddl 3 54
p53.pddl 3 55
p54.pddl 3 56
p55.pddl 3 57
p56.pddl 3 58
p57.pddl 3 59
p58.pddl 3 60
p59.pddl 3 61
p60.pddl 3 62
p61.pddl 3 63
p62.pddl 3 64
p63.pddl 3 65
p64.pddl 3 66
p65.pddl 3 67
p66.pddl 3 68
p67.pddl 3 69
p68.pddl 3 70
p69.pddl 3 71
p70.pddl 3 72
p71.pddl 3 73
p72.pddl 3 74
p73.pddl 3 75
p74.pddl 3 76
p75.pddl 3 77
p76.pddl 3 78
p77.pddl 3 79
p78.pddl 3 80
p79.pddl 3 81
p80.pddl 3 82
p81.pddl 3 83
p82.pddl 3 84
p83.pddl 3 85
p84.pddl 3 86
p85.pddl 3 87
p86.pddl 3 88
p87.pddl 3 89
p88.pddl 3 90
p89.pddl 3 91
p90.pddl 3 92
p91.pddl 3 93
p92.pddl 3 94
p93.pddl 3 95
p94.pddl 3 96
p95.pddl 3 97
p96.pddl 3 98
p97.pddl 3 99
p98.pddl 3 100
p99.pddl 3 101
p100.pddl 3 102
p101.pddl 3 103
p102.pddl 3 104
p103.pddl 3 105
p104.pddl 3 106
p105.pddl 3 107
p106.pddl 3 108
p107.pddl 3 109
p108.pddl 3 110
p109.pddl 3 111
p110.pddl 3 112
p111.pddl 3 113
p112.pddl 3 114
p113.pddl 3 115
p114.pddl 3 116
p115.pddl 3 117
p116.pddl 3 118
p117.pddl 3 119
p118.pddl 3 120
p119.pddl 3 121
p120.pddl 3 122
p121.pddl 3 123
p122.pddl 3 124
p123.pddl 3 125
p124.pddl 3 126
p125.pddl 3 127
p126.pddl 3 128
p127.pddl 3 129
p128.pddl 3 130
p129.pddl 3 131
p130.pddl 3 132
p131.pddl 3 133
p132.pddl 3 134
p133.pddl 3 135
p134.pddl 3 136
p135.pddl 3 137
p136.pddl 3 138
p137.pddl 3 139
p138.pddl 3 140
p139.pddl 3 141
p140.pddl 3 142
p141.pddl 3 143
p142.pddl 3 144
p143.pddl 3 145
p144.pddl 3 146
p145.pddl 3 147
p146.pddl 3 148
p147.pddl 3 149
p148.pddl 3 150
p149.pddl 3 151
p150.pddl 3 152
p151.pddl 3 153
p152.pddl 3 154
p153.pddl 3 155
p154.pddl 3 156
p155.pddl 3 157
p156.pddl 3 158
p157.pddl 3 159
p158.pddl 3 160
p159.pddl 3 161
p160.pddl 3 162
p161.pddl 3 163
p162.pddl 3 164
p163.pddl 3 165
p164.pddl 3 166
p165.pddl 3 167
p166.pddl 3 168
p167.pddl 3 169
p168.pddl 3 170
p169.pddl 3 171
p170.pddl 3 172
p171.pddl 3 173
p172.pddl 3 174
p173.pddl 3 175
p174.pddl 3 176
p175.pddl 3 177
p176.pddl 3 178
p177.pddl 3 179
p178.pddl 3 180
p179.pddl 3 181
p180.pddl 3 182
p181.pddl 3 183
p182.pddl 3 184
p183.pddl 3 185
p184.pddl 3 186
p185.pddl 3 187
p186.pddl 3 188
p187.pddl 3 189
p188.pddl 3 190
p189.pddl 3 191
p190.pddl 3 192
p191.pddl 3 193
p192.pddl 3 194
p193.pddl 3 195
p194.pddl 3 196
p195.pddl 3 197
p196.pddl 3 198
p197.pddl 3 199
p198.pddl 4 2
p199.pddl 4 3
p200.pddl 4 4
p201.pddl 4 5
p202.pddl 4 6
p203.pddl 4 7
p204.pddl 4 8
p205.pddl 4 9
p206.pddl 4 10
p207.pddl 4 11
p208.pddl 4 12
p209.pddl 4 13
p210.pddl 4 14
p211.pddl 4 15
p212.pddl 4 16
p213.pddl 4 17
p214.pddl 4 18
p215.pddl 4 19
p216.pddl 4 20
p217.pddl 4 21
p218.pddl 4 22
p219.pddl 4 23
