0,191
0,387,218
0,470,207
0,473,261
0,476,240
0,479,378
0,482,597
0,393,485
0,488,504
0,491,708
0,228,494
0,249,497
0,291,221
0,327,500
0,503,543
0,366,506
0,624
0,509,459
0,582,512
0,515,435
0,518,360
0,521,516
0,324,524
0,224,483
0,527,402
0,501,530
0,525,533
0,536,726
0,539,375
0,542,576
0,545,657
0,548,480
0,663,551
0,408,554
0,381,227
0,557,477
0,560,579
0,563,225
0,192,566
0,569,297
0,564,572
0,606,575
0,578,636
0,581,318
0,411,584
0,594,230
0,587,384
0,590
0,593,195
0,681,596
0,599,309
0,602,441
0,605,336
0,705,608
0,611,315
0,729,614
0,618,233
0,617
0,620,603
0,623,642
0,626,246
0,629,231
0,651,632
0,492,635
0,638,465
0,641,678
0,644,639
0,236,447
0,666
0,647,621
0,573,650
0,653,672
0,656,675
0,659,690
0,662,342
0,600
0,665,399
0,668,519
0,239,300
0,671,456
0,489,674
0,677,222
0,450,680
0,683,549
0,216,686
0,689,531
0,692,423
0,717,695
0,698,468
0,333,242
0,567,701
0,354,704
0,276,707
0,588,710
0,713,363
0,716
0,719,558
0,722,243
0,453,725
0,728
0,245,645
0,720,731
0,648,194
0,660,248
0,251,687
0,369,254
0,294,257
0,260,510
0,263,219
0,540,266
0,269,696
0,303,272
0,275,693
0,252,197
0,348
0,684,278
0,474,281
0,330,284
0,669,287
0,627,290
0,293,537
0,591,296
0,585,299
0,302,279
0,258,200
0,513,305
0,308,702
0,432,311
0,420,314
0,317,633
0,320,306
0,630,323
0,555,326
0,507,329
0,255,332
0,282,203
0,335,396
0,338,417
0,528,341
0,344,609
0,347,213
0,350,444
0,353,198
0,570,356
0,210,359
0,201
0,204,206
0,362,405
0,339,365
0,368,288
0,237,371
0,471,374
0,267,377
0,380,711
0,372,383
0,723,386
0,654,389
0,209,345
0,429,392
0,395,285
0,398
0,351
0,401
0,404,534
0,273
0,312,407
0,498,410
0,413
0,212,486
0,416,321
0,561,419
0,699
0,357,422
0,414,425
0,428
0,390
0,714,431
0,434,264
0,546,437
0,495,215
0,438,440
0,426,443
0,612,446
0,449,552
0,452,732
0,234,455
0,270,458
0,615,461
0,522,464
0,467,462
2,191
2,192
2
2,194
2,195
2
2,197
2,198
2
2,200
2,201
2
2,203
2,204
2
2,206
2,207
2
2,209
2,210
2
2,212
2,213
2
2,215
2,216
2
2,218
2,219
2
2,221
2,222
2
2,224
2,225
2
2,227
2,228
2
2,230
2,231
2
2,233
2,234
2
2,236
2,237
2
2,239
2,240
2
2,242
2,243
2
2,245
2,246
2
2,248
2,249
2
2,251
2,252
2
2,254
2,255
2
2,257
2,258
2
2,260
2,261
2
2,263
2,264
2
2,266
2,267
2
2,269
2,270
2
2,272
2,273
2
2,275
2,276
2
2,278
2,279
2
2,281
2,282
2
2,284
2,285
2
2,287
2,288
2
2,290
2,291
2
2,293
2,294
2
2,296
2,297
2
2,299
2,300
2
2,302
2,303
2
2,305
2,306
2
2,308
2,309
2
2,311
2,312
2
2,314
2,315
2
2,317
2,318
2
2,320
2,321
2
2,323
2,324
2
2,326
2,327
2
2,329
2,330
2
2,332
2,333
2
2,335
2,336
2
2,338
2,339
2
2,341
2,342
2
2,344
2,345
2
2,347
2,348
2
2,350
2,351
2
2,353
2,354
2
2,356
2,357
2
2,359
2,360
2
2,362
2,363
2
2,365
2,366
2
2,368
2,369
2
2,371
2,372
2
2,374
2,375
2
2,377
2,378
2
2,380
2,381
2
2,383
2,384
2
2,386
2,387
2
2,389
2,390
2
2,392
2,393
2
2,395
2,396
2
2,398
2,399
2
2,401
2,402
2
2,404
2,405
2
2,407
2,408
2
2,410
2,411
2
2,413
2,414
2
2,416
2,417
2
2,419
2,420
2
2,422
2,423
2
2,425
2,426
2
2,428
2,429
2
2,431
2,432
2
2,434
2,435
2
2,437
2,438
2
2,440
2,441
2
2,443
2,444
2
2,446
2,447
2
2,449
2,450
2
2,452
2,453
2
2,455
2,456
2
2,458
2,459
2
2,461
2,462
2
2,464
2,465
2
2,467
2,468
2
2,470
2,471
2
2,473
2,474
2
2,476
2,477
2
2,479
2,480
2
2,482
2,483
2
2,485
2,486
2
2,488
2,489
2
2,491
2,492
2
2,494
2,495
2
2,497
2,498
2
2,500
2,501
2
2,503
2,504
2
2,506
2,507
2
2,509
2,510
2
2,512
2,513
2
2,515
2,516
2
2,518
2,519
2
2,521
2,522
2
2,524
2,525
2
2,527
2,528
2
2,530
2,531
2
2,533
2,534
2
2,536
2,537
2
2,539
2,540
2
2,542
2,543
2
2,545
2,546
2
2,548
2,549
2
2,551
2,552
2
2,554
2,555
2
2,557
2,558
2
2,560
2,561
2
2,563
2,564
2
2,566
2,567
2
2,569
2,570
2
2,572
2,573
2
2,575
2,576
2
2,578
2,579
2
2,581
2,582
2
2,584
2,585
2
2,587
2,588
2
2,590
2,591
2
2,593
2,594
2
2,596
2,597
2
2,599
2,600
2
2,602
2,603
2
2,605
2,606
2
2,608
2,609
2
2,611
2,612
2
2,614
2,615
2
2,617
2,618
2
2,620
2,621
2
2,623
2,624
2
2,626
2,627
2
2,629
2,630
2
2,632
2,633
2
2,635
2,636
2
2,638
2,639
2
2,641
2,642
2
2,644
2,645
2
2,647
2,648
2
2,650
2,651
2
2,653
2,654
2
2,656
2,657
2
2,659
2,660
2
2,662
2,663
2
2,665
2,666
2
2,668
2,669
2
2,671
2,672
2
2,674
2,675
2
2,677
2,678
2
2,680
2,681
2
2,683
2,684
2
2,686
2,687
2
2,689
2,690
2
2,692
2,693
2
2,695
2,696
2
2,698
2,699
2
2,701
2,702
2
2,704
2,705
2
2,707
2,708
2
2,710
2,711
2
2,713
2,714
2
2,716
2,717
2
2,719
2,720
2
2,722
2,723
2
2,725
2,726
2
2,728
2,729
2
2,731
2,732
2
3,744,782,746,785,779
3,745,761,747,743,763,762,733,760
3,749,792,789,795
3,764,748,767,765,766,735
3,798,807,800,753
3,801,751,804
3,770,737,769,750,752,738,768,771,772
3,755,758,814,818,809
3,756,815,811
3,754,775,776,773,777,774,741,757,759,740
4,744
4
4,746
4
4
4,749
4
4,751
4
4,753
4
4,755
4,756
4
4,758
4
4
5,778
5,780
5,783
5,786
5,788
5,790
5,791
5,793
5,796
5,797
5,799
5,802
5,805
5,808
5,810
5,812
5,816
5,819
6,779
6
6,781
6,782
6
6,784
6,785
6
6,787
6
6,789
6
6
6,792
6
6,794
6,795
6
6
6,798
6
6,800
6,801
6
6,803
6,804
6
6,806
6,807
6
6,809
6
6,811
6
6,813
6,814
6,815
6
6,817
6,818
6
6,820
6
12,790,820,747,796,759,787
12,817,810,803,788,743,781,757,750,797
12,806,752,778,794,748,808
12,337,532,481,700,535,541,598,475,250,427,613,601,325,619,259,661,628,265,463,409,346,298,238,550,190,472,640,646,247,394,652,451,595,616,457,718,562,484,397,226,415,544,370,577,631,583,547,304,262,706,664,493,799,271,673,193,331,679,412,358,813,553,367,421,202,433,406,514,709,754,517,580,469,724,634,355,502,586,244,559,388,253,565,334,730,721,289,208,283,403,382,727,316,268,340,439,445,466,490,496,499,520,277,667,310,625,487,313,715,697,694,571,205,400,352,235,211,361,301,442,448,274,307,286,280,622,511,574,424,538,349,295,685,637,658,691,712,385,322,436,364,223,418,196,256,373,508,592,670,214,460,319,454,292,607,523,199,688,529,232,556,589,568,643,505,703,649,676,328,220,526,343,430,682,229,376,241,655,604,391,217,379,610,478
12,791,745,784
