usage: generator.py [-h] [--seed SEED] <data> <layers> <scripts> <module>
p0.pddl, --seed 1, 4, 2, 6, ring-network
p1.pddl, --seed 2, 4, 2, 6, ring-network
p2.pddl, --seed 1, 6, 2, 8, ring-network
p3.pddl, --seed 2, 6, 2, 8, ring-network
p4.pddl, --seed 1, 6, 2, 11, ring-network
p5.pddl, --seed 2, 6, 2, 11, ring-network
p6.pddl, --seed 1, 8, 2, 10, ring-network
p7.pddl, --seed 2, 8, 2, 10, ring-network
p8.pddl, --seed 1, 8, 2, 14, ring-network
p9.pddl, --seed 2, 8, 2, 14, ring-network
p10.pddl, --seed 1, 10, 2, 12, ring-network
p11.pddl, --seed 2, 10, 2, 12, ring-network
p12.pddl, --seed 1, 10, 2, 17, ring-network
p13.pddl, --seed 2, 10, 2, 17, ring-network
p14.pddl, --seed 1, 12, 2, 14, ring-network
p15.pddl, --seed 2, 12, 2, 14, ring-network
p16.pddl, --seed 1, 12, 2, 20, ring-network
p17.pddl, --seed 2, 12, 2, 20, ring-network
p18.pddl, --seed 1, 14, 2, 16, ring-network
p19.pddl, --seed 2, 14, 2, 16, ring-network
p20.pddl, --seed 1, 14, 2, 23, ring-network
p21.pddl, --seed 2, 14, 2, 23, ring-network
p22.pddl, --seed 1, 16, 2, 18, ring-network
p23.pddl, --seed 2, 16, 2, 18, ring-network
p24.pddl, --seed 1, 16, 2, 26, ring-network
p25.pddl, --seed 2, 16, 2, 26, ring-network
p26.pddl, --seed 1, 18, 2, 20, ring-network
p27.pddl, --seed 2, 18, 2, 20, ring-network
p28.pddl, --seed 1, 18, 2, 29, ring-network
p29.pddl, --seed 2, 18, 2, 29, ring-network
p30.pddl, --seed 1, 5, 3, 7, ring-network
p31.pddl, --seed 2, 5, 3, 7, ring-network
p32.pddl, --seed 1, 5, 3, 9, ring-network
p33.pddl, --seed 2, 5, 3, 9, ring-network
p34.pddl, --seed 1, 8, 3, 10, ring-network
p35.pddl, --seed 2, 8, 3, 10, ring-network
p36.pddl, --seed 1, 8, 3, 14, ring-network
p37.pddl, --seed 2, 8, 3, 14, ring-network
p38.pddl, --seed 1, 11, 3, 13, ring-network
p39.pddl, --seed 2, 11, 3, 13, ring-network
p40.pddl, --seed 1, 11, 3, 18, ring-network
p41.pddl, --seed 2, 11, 3, 18, ring-network
p42.pddl, --seed 1, 14, 3, 16, ring-network
p43.pddl, --seed 2, 14, 3, 16, ring-network
p44.pddl, --seed 1, 14, 3, 23, ring-network
p45.pddl, --seed 2, 14, 3, 23, ring-network
p46.pddl, --seed 1, 17, 3, 19, ring-network
p47.pddl, --seed 2, 17, 3, 19, ring-network
p48.pddl, --seed 1, 17, 3, 27, ring-network
p49.pddl, --seed 2, 17, 3, 27, ring-network
p50.pddl, --seed 1, 20, 3, 22, ring-network
p51.pddl, --seed 2, 20, 3, 22, ring-network
p52.pddl, --seed 1, 20, 3, 32, ring-network
p53.pddl, --seed 2, 20, 3, 32, ring-network
p54.pddl, --seed 1, 23, 3, 25, ring-network
p55.pddl, --seed 2, 23, 3, 25, ring-network
p56.pddl, --seed 1, 23, 3, 36, ring-network
p57.pddl, --seed 2, 23, 3, 36, ring-network
p58.pddl, --seed 1, 26, 3, 28, ring-network
p59.pddl, --seed 2, 26, 3, 28, ring-network
p60.pddl, --seed 1, 26, 3, 41, ring-network
p61.pddl, --seed 2, 26, 3, 41, ring-network
p62.pddl, --seed 1, 29, 3, 31, ring-network
p63.pddl, --seed 2, 29, 3, 31, ring-network
p64.pddl, --seed 1, 29, 3, 45, ring-network
p65.pddl, --seed 2, 29, 3, 45, ring-network
p66.pddl, --seed 1, 6, 4, 8, ring-network
p67.pddl, --seed 2, 6, 4, 8, ring-network
p68.pddl, --seed 1, 6, 4, 11, ring-network
p69.pddl, --seed 2, 6, 4, 11, ring-network
p70.pddl, --seed 1, 10, 4, 12, ring-network
p71.pddl, --seed 2, 10, 4, 12, ring-network
p72.pddl, --seed 1, 10, 4, 17, ring-network
p73.pddl, --seed 2, 10, 4, 17, ring-network
p74.pddl, --seed 1, 14, 4, 16, ring-network
p75.pddl, --seed 2, 14, 4, 16, ring-network
p76.pddl, --seed 1, 14, 4, 23, ring-network
p77.pddl, --seed 2, 14, 4, 23, ring-network
p78.pddl, --seed 1, 18, 4, 20, ring-network
p79.pddl, --seed 2, 18, 4, 20, ring-network
p80.pddl, --seed 1, 18, 4, 29, ring-network
p81.pddl, --seed 2, 18, 4, 29, ring-network
p82.pddl, --seed 1, 22, 4, 24, ring-network
p83.pddl, --seed 2, 22, 4, 24, ring-network
p84.pddl, --seed 1, 22, 4, 35, ring-network
p85.pddl, --seed 2, 22, 4, 35, ring-network
p86.pddl, --seed 1, 26, 4, 28, ring-network
p87.pddl, --seed 2, 26, 4, 28, ring-network
p88.pddl, --seed 1, 26, 4, 41, ring-network
p89.pddl, --seed 2, 26, 4, 41, ring-network
p90.pddl, --seed 1, 30, 4, 32, ring-network
p91.pddl, --seed 2, 30, 4, 32, ring-network
p92.pddl, --seed 1, 30, 4, 47, ring-network
p93.pddl, --seed 2, 30, 4, 47, ring-network
p94.pddl, --seed 1, 34, 4, 36, ring-network
p95.pddl, --seed 2, 34, 4, 36, ring-network
p96.pddl, --seed 1, 34, 4, 53, ring-network
p97.pddl, --seed 2, 34, 4, 53, ring-network
p98.pddl, --seed 1, 38, 4, 40, ring-network
p99.pddl, --seed 2, 38, 4, 40, ring-network
p100.pddl, --seed 1, 38, 4, 59, ring-network
p101.pddl, --seed 2, 38, 4, 59, ring-network
p102.pddl, --seed 1, 7, 5, 9, ring-network
p103.pddl, --seed 2, 7, 5, 9, ring-network
p104.pddl, --seed 1, 7, 5, 12, ring-network
p105.pddl, --seed 2, 7, 5, 12, ring-network
p106.pddl, --seed 1, 12, 5, 14, ring-network
p107.pddl, --seed 2, 12, 5, 14, ring-network
p108.pddl, --seed 1, 12, 5, 20, ring-network
p109.pddl, --seed 2, 12, 5, 20, ring-network
p110.pddl, --seed 1, 17, 5, 19, ring-network
p111.pddl, --seed 2, 17, 5, 19, ring-network
p112.pddl, --seed 1, 17, 5, 27, ring-network
p113.pddl, --seed 2, 17, 5, 27, ring-network
p114.pddl, --seed 1, 22, 5, 24, ring-network
p115.pddl, --seed 2, 22, 5, 24, ring-network
p116.pddl, --seed 1, 22, 5, 35, ring-network
p117.pddl, --seed 2, 22, 5, 35, ring-network
p118.pddl, --seed 1, 27, 5, 29, ring-network
p119.pddl, --seed 2, 27, 5, 29, ring-network
p120.pddl, --seed 1, 27, 5, 42, ring-network
p121.pddl, --seed 2, 27, 5, 42, ring-network
p122.pddl, --seed 1, 32, 5, 34, ring-network
p123.pddl, --seed 2, 32, 5, 34, ring-network
p124.pddl, --seed 1, 32, 5, 50, ring-network
p125.pddl, --seed 2, 32, 5, 50, ring-network
p126.pddl, --seed 1, 37, 5, 39, ring-network
p127.pddl, --seed 2, 37, 5, 39, ring-network
p128.pddl, --seed 1, 37, 5, 57, ring-network
p129.pddl, --seed 2, 37, 5, 57, ring-network
p130.pddl, --seed 1, 42, 5, 44, ring-network
p131.pddl, --seed 2, 42, 5, 44, ring-network
p132.pddl, --seed 1, 42, 5, 65, ring-network
p133.pddl, --seed 2, 42, 5, 65, ring-network
p134.pddl, --seed 1, 47, 5, 49, ring-network
p135.pddl, --seed 2, 47, 5, 49, ring-network
p136.pddl, --seed 1, 47, 5, 72, ring-network
p137.pddl, --seed 2, 47, 5, 72, ring-network
p138.pddl, --seed 1, 4, 2, 6, small-network
p139.pddl, --seed 2, 4, 2, 6, small-network
p140.pddl, --seed 1, 6, 2, 8, small-network
p141.pddl, --seed 2, 6, 2, 8, small-network
p142.pddl, --seed 1, 6, 2, 11, small-network
p143.pddl, --seed 2, 6, 2, 11, small-network
p144.pddl, --seed 1, 8, 2, 10, small-network
p145.pddl, --seed 2, 8, 2, 10, small-network
p146.pddl, --seed 1, 8, 2, 14, small-network
p147.pddl, --seed 2, 8, 2, 14, small-network
p148.pddl, --seed 1, 10, 2, 12, small-network
p149.pddl, --seed 2, 10, 2, 12, small-network
p150.pddl, --seed 1, 10, 2, 17, small-network
p151.pddl, --seed 2, 10, 2, 17, small-network
p152.pddl, --seed 1, 12, 2, 14, small-network
p153.pddl, --seed 2, 12, 2, 14, small-network
p154.pddl, --seed 1, 12, 2, 20, small-network
p155.pddl, --seed 2, 12, 2, 20, small-network
p156.pddl, --seed 1, 14, 2, 16, small-network
p157.pddl, --seed 2, 14, 2, 16, small-network
p158.pddl, --seed 1, 14, 2, 23, small-network
p159.pddl, --seed 2, 14, 2, 23, small-network
p160.pddl, --seed 1, 16, 2, 18, small-network
p161.pddl, --seed 2, 16, 2, 18, small-network
