green,
green,
green,
green,
green,
green,
green,
gold,0,340,341,
gold,0,342,343,
gold,0,344,345,
gold,0,346,347,
gold,0,348,349,
gold,0,350,351,
gold,0,352,353,
gold,0,354,355,
gold,0,356,357,
gold,0,358,359,
gold,0,360,361,
gold,0,362,363,
gold,0,364,365,
gold,0,366,367,
gold,0,368,369,
gold,0,370,371,
gold,0,372,373,
gold,0,374,375,
gold,0,376,377,
gold,0,378,379,
gold,0,380,381,
gold,0,382,383,
gold,0,384,385,
gold,0,386,387,
gold,0,122,388,389,390,
gold,0,123,391,
gold,0,124,392,393,394,395,396,
gold,0,125,397,398,399,400,401,
gold,0,126,402,403,404,405,
gold,0,127,406,407,408,409,410,
gold,0,128,411,412,413,414,
gold,0,129,415,416,417,418,
gold,0,130,419,420,
gold,0,131,421,422,423,
gold,0,132,424,425,426,427,428,
gold,0,133,429,430,
gold,0,134,431,432,433,
gold,0,135,434,435,
gold,0,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,
gold,1,122,136,150,151,152,153,228,242,256,270,284,298,312,326,
gold,1,123,137,154,155,156,157,158,229,243,257,271,285,299,313,327,
gold,1,124,138,159,160,161,162,163,164,230,244,258,272,286,300,314,328,
gold,1,125,139,165,166,167,231,245,259,273,287,301,315,329,
gold,1,126,140,168,169,170,171,172,173,174,175,232,246,260,274,288,302,316,330,
gold,1,127,141,176,177,178,179,180,181,233,247,261,275,289,303,317,331,
gold,1,128,142,182,183,184,185,186,187,234,248,262,276,290,304,318,332,
gold,1,129,143,188,189,190,191,192,193,194,235,249,263,277,291,305,319,333,
gold,1,130,144,195,196,197,198,199,236,250,264,278,292,306,320,334,
gold,1,131,145,200,201,202,203,237,251,265,279,293,307,321,335,
gold,1,132,146,204,205,206,207,238,252,266,280,294,308,322,336,
gold,1,133,147,208,209,210,211,212,213,214,215,239,253,267,281,295,309,323,337,
gold,1,134,148,216,217,218,219,220,221,240,254,268,282,296,310,324,338,
gold,1,135,149,222,223,224,225,226,227,241,255,269,283,297,311,325,339,
gold,2,122,123,124,125,126,127,128,129,130,131,132,133,134,135,
gold,2,
gold,3,270,
gold,3,271,
gold,3,272,
gold,3,273,
gold,3,274,
gold,3,275,
gold,3,276,
gold,3,277,
gold,3,278,
gold,3,279,
gold,3,280,
red,3,281,
gold,3,282,
gold,3,283,
gold,3,326,327,328,329,330,331,332,333,334,335,336,337,338,339,
gold,4,256,
gold,4,257,
gold,4,258,
gold,4,259,
gold,4,260,
gold,4,261,
gold,4,262,
gold,4,263,
gold,4,264,
gold,4,265,
red,4,266,
gold,4,267,
gold,4,268,
gold,4,269,
gold,4,312,313,314,315,316,317,318,319,320,321,322,323,324,325,
gold,5,242,
gold,5,243,
gold,5,244,
gold,5,245,
gold,5,246,
gold,5,247,
gold,5,248,
gold,5,249,
gold,5,250,
red,5,251,
gold,5,252,
gold,5,253,
gold,5,254,
gold,5,255,
gold,5,298,299,300,301,302,303,304,305,306,307,308,309,310,311,
gold,6,228,
gold,6,229,
gold,6,230,
gold,6,231,
gold,6,232,
gold,6,233,
gold,6,234,
gold,6,235,
gold,6,236,
red,6,237,
gold,6,238,
gold,6,239,
gold,6,240,
gold,6,241,
gold,6,284,285,286,287,288,289,290,291,292,293,294,295,296,297,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,45,61,
lightskyblue,31,60,
lightskyblue,32,60,
lightskyblue,33,60,
lightskyblue,34,60,
lightskyblue,35,60,
lightskyblue,36,60,
lightskyblue,37,60,
lightskyblue,38,60,
lightskyblue,39,60,
lightskyblue,40,60,
lightskyblue,41,60,
lightskyblue,42,60,
lightskyblue,43,60,
lightskyblue,44,60,
lightskyblue,52,
lightskyblue,53,
lightskyblue,56,
lightskyblue,57,
lightskyblue,49,
lightskyblue,50,
lightskyblue,51,
lightskyblue,57,
lightskyblue,58,
lightskyblue,52,
lightskyblue,53,
lightskyblue,54,
lightskyblue,55,
lightskyblue,57,
lightskyblue,58,
lightskyblue,47,
lightskyblue,50,
lightskyblue,57,
lightskyblue,47,
lightskyblue,49,
lightskyblue,51,
lightskyblue,52,
lightskyblue,54,
lightskyblue,55,
lightskyblue,56,
lightskyblue,59,
lightskyblue,47,
lightskyblue,50,
lightskyblue,52,
lightskyblue,53,
lightskyblue,58,
lightskyblue,59,
lightskyblue,46,
lightskyblue,48,
lightskyblue,50,
lightskyblue,51,
lightskyblue,53,
lightskyblue,59,
lightskyblue,46,
lightskyblue,48,
lightskyblue,51,
lightskyblue,52,
lightskyblue,54,
lightskyblue,56,
lightskyblue,57,
lightskyblue,48,
lightskyblue,50,
lightskyblue,53,
lightskyblue,58,
lightskyblue,59,
lightskyblue,48,
lightskyblue,50,
lightskyblue,57,
lightskyblue,59,
lightskyblue,46,
lightskyblue,50,
lightskyblue,53,
lightskyblue,58,
lightskyblue,46,
lightskyblue,47,
lightskyblue,48,
lightskyblue,49,
lightskyblue,53,
lightskyblue,55,
lightskyblue,58,
lightskyblue,59,
lightskyblue,47,
lightskyblue,48,
lightskyblue,51,
lightskyblue,54,
lightskyblue,56,
lightskyblue,57,
lightskyblue,50,
lightskyblue,51,
lightskyblue,52,
lightskyblue,54,
lightskyblue,55,
lightskyblue,57,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,121,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,106,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,91,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,76,
lightskyblue,107,
lightskyblue,108,
lightskyblue,109,
lightskyblue,110,
lightskyblue,111,
lightskyblue,112,
lightskyblue,113,
lightskyblue,114,
lightskyblue,115,
lightskyblue,116,
lightskyblue,117,
lightskyblue,118,
lightskyblue,119,
lightskyblue,120,
lightskyblue,92,
lightskyblue,93,
lightskyblue,94,
lightskyblue,95,
lightskyblue,96,
lightskyblue,97,
lightskyblue,98,
lightskyblue,99,
lightskyblue,100,
lightskyblue,101,
lightskyblue,102,
lightskyblue,103,
lightskyblue,104,
lightskyblue,105,
lightskyblue,77,
lightskyblue,78,
lightskyblue,79,
lightskyblue,80,
lightskyblue,81,
lightskyblue,82,
lightskyblue,83,
lightskyblue,84,
lightskyblue,85,
lightskyblue,86,
lightskyblue,87,
lightskyblue,88,
lightskyblue,89,
lightskyblue,90,
lightskyblue,62,
lightskyblue,63,
lightskyblue,64,
lightskyblue,65,
lightskyblue,66,
lightskyblue,67,
lightskyblue,68,
lightskyblue,69,
lightskyblue,70,
lightskyblue,71,
lightskyblue,72,
lightskyblue,73,
lightskyblue,74,
lightskyblue,75,
lightskyblue,31,
lightskyblue,36,
lightskyblue,31,
lightskyblue,37,
lightskyblue,31,
lightskyblue,41,
lightskyblue,33,
lightskyblue,34,
lightskyblue,34,
lightskyblue,39,
lightskyblue,34,
lightskyblue,40,
lightskyblue,34,
lightskyblue,35,
lightskyblue,33,
lightskyblue,36,
lightskyblue,35,
lightskyblue,36,
lightskyblue,33,
lightskyblue,37,
lightskyblue,37,
lightskyblue,38,
lightskyblue,37,
lightskyblue,40,
lightskyblue,35,
lightskyblue,38,
lightskyblue,36,
lightskyblue,38,
lightskyblue,33,
lightskyblue,39,
lightskyblue,40,
lightskyblue,42,
lightskyblue,33,
lightskyblue,41,
lightskyblue,34,
lightskyblue,41,
lightskyblue,36,
lightskyblue,41,
lightskyblue,41,
lightskyblue,43,
lightskyblue,32,
lightskyblue,42,
lightskyblue,38,
lightskyblue,43,
lightskyblue,43,
lightskyblue,44,
lightskyblue,35,
lightskyblue,44,
lightskyblue,7,
lightskyblue,8,
lightskyblue,9,
lightskyblue,27,
lightskyblue,10,
lightskyblue,14,
lightskyblue,16,
lightskyblue,21,
lightskyblue,23,
lightskyblue,10,
lightskyblue,11,
lightskyblue,12,
lightskyblue,13,
lightskyblue,24,
lightskyblue,13,
lightskyblue,15,
lightskyblue,19,
lightskyblue,30,
lightskyblue,7,
lightskyblue,14,
lightskyblue,15,
lightskyblue,20,
lightskyblue,25,
lightskyblue,8,
lightskyblue,16,
lightskyblue,17,
lightskyblue,18,
lightskyblue,17,
lightskyblue,19,
lightskyblue,20,
lightskyblue,28,
lightskyblue,11,
lightskyblue,21,
lightskyblue,12,
lightskyblue,18,
lightskyblue,22,
lightskyblue,9,
lightskyblue,23,
lightskyblue,24,
lightskyblue,25,
lightskyblue,26,
lightskyblue,22,
lightskyblue,27,
lightskyblue,26,
lightskyblue,28,
lightskyblue,29,
lightskyblue,29,
lightskyblue,30,
