green,
green,
green,
green,
green,
green,
green,
green,
gold,0,384,385,
gold,0,386,387,
gold,0,388,389,
gold,0,390,391,
gold,0,392,393,
gold,0,394,395,
gold,0,396,397,
gold,0,398,399,
gold,0,400,401,
gold,0,402,403,
gold,0,404,405,
gold,0,406,407,
gold,0,408,409,
gold,0,410,411,
gold,0,412,413,
gold,0,414,415,
gold,0,416,417,
gold,0,418,419,
gold,0,420,421,
gold,0,422,423,
gold,0,424,425,
gold,0,426,427,
gold,0,428,429,
gold,0,430,431,
gold,0,138,432,433,434,
gold,0,139,435,
gold,0,140,436,437,438,439,440,
gold,0,141,441,442,443,444,445,
gold,0,142,446,447,448,449,
gold,0,143,450,451,452,453,454,
gold,0,144,455,456,457,458,
gold,0,145,459,460,461,462,
gold,0,146,463,464,
gold,0,147,465,466,467,
gold,0,148,468,469,470,471,472,
gold,0,149,473,474,
gold,0,150,475,476,477,
gold,0,151,478,479,
gold,0,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,
gold,1,138,152,166,167,168,169,244,258,272,286,300,314,328,342,356,370,
gold,1,139,153,170,171,172,173,174,245,259,273,287,301,315,329,343,357,371,
gold,1,140,154,175,176,177,178,179,180,246,260,274,288,302,316,330,344,358,372,
gold,1,141,155,181,182,183,247,261,275,289,303,317,331,345,359,373,
gold,1,142,156,184,185,186,187,188,189,190,191,248,262,276,290,304,318,332,346,360,374,
gold,1,143,157,192,193,194,195,196,197,249,263,277,291,305,319,333,347,361,375,
gold,1,144,158,198,199,200,201,202,203,250,264,278,292,306,320,334,348,362,376,
gold,1,145,159,204,205,206,207,208,209,210,251,265,279,293,307,321,335,349,363,377,
gold,1,146,160,211,212,213,214,215,252,266,280,294,308,322,336,350,364,378,
gold,1,147,161,216,217,218,219,253,267,281,295,309,323,337,351,365,379,
gold,1,148,162,220,221,222,223,254,268,282,296,310,324,338,352,366,380,
gold,1,149,163,224,225,226,227,228,229,230,231,255,269,283,297,311,325,339,353,367,381,
gold,1,150,164,232,233,234,235,236,237,256,270,284,298,312,326,340,354,368,382,
gold,1,151,165,238,239,240,241,242,243,257,271,285,299,313,327,341,355,369,383,
gold,2,138,139,140,141,142,143,144,145,146,147,148,149,150,151,
gold,2,
gold,3,300,
gold,3,301,
gold,3,302,
gold,3,303,
gold,3,304,
red,3,305,
gold,3,306,
gold,3,307,
gold,3,308,
gold,3,309,
gold,3,310,
gold,3,311,
gold,3,312,
gold,3,313,
gold,3,370,371,372,373,374,375,376,377,378,379,380,381,382,383,
gold,4,286,
gold,4,287,
gold,4,288,
gold,4,289,
gold,4,290,
gold,4,291,
gold,4,292,
gold,4,293,
gold,4,294,
gold,4,295,
gold,4,296,
red,4,297,
gold,4,298,
gold,4,299,
gold,4,356,357,358,359,360,361,362,363,364,365,366,367,368,369,
gold,5,272,
gold,5,273,
gold,5,274,
gold,5,275,
gold,5,276,
gold,5,277,
gold,5,278,
gold,5,279,
gold,5,280,
gold,5,281,
red,5,282,
gold,5,283,
gold,5,284,
gold,5,285,
gold,5,342,343,344,345,346,347,348,349,350,351,352,353,354,355,
gold,6,258,
gold,6,259,
gold,6,260,
gold,6,261,
gold,6,262,
gold,6,263,
gold,6,264,
gold,6,265,
gold,6,266,
red,6,267,
gold,6,268,
gold,6,269,
gold,6,270,
gold,6,271,
gold,6,328,329,330,331,332,333,334,335,336,337,338,339,340,341,
gold,7,244,
gold,7,245,
gold,7,246,
gold,7,247,
gold,7,248,
gold,7,249,
gold,7,250,
gold,7,251,
gold,7,252,
red,7,253,
gold,7,254,
gold,7,255,
gold,7,256,
gold,7,257,
gold,7,314,315,316,317,318,319,320,321,322,323,324,325,326,327,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,46,62,
lightskyblue,32,61,
lightskyblue,33,61,
lightskyblue,34,61,
lightskyblue,35,61,
lightskyblue,36,61,
lightskyblue,37,61,
lightskyblue,38,61,
lightskyblue,39,61,
lightskyblue,40,61,
lightskyblue,41,61,
lightskyblue,42,61,
lightskyblue,43,61,
lightskyblue,44,61,
lightskyblue,45,61,
lightskyblue,53,
lightskyblue,54,
lightskyblue,57,
lightskyblue,58,
lightskyblue,50,
lightskyblue,51,
lightskyblue,52,
lightskyblue,58,
lightskyblue,59,
lightskyblue,53,
lightskyblue,54,
lightskyblue,55,
lightskyblue,56,
lightskyblue,58,
lightskyblue,59,
lightskyblue,48,
lightskyblue,51,
lightskyblue,58,
lightskyblue,48,
lightskyblue,50,
lightskyblue,52,
