green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,428,429,
gold,0,430,431,
gold,0,432,433,
gold,0,434,435,
gold,0,436,437,
gold,0,438,439,
gold,0,440,441,
gold,0,442,443,
gold,0,444,445,
gold,0,446,447,
gold,0,448,449,
gold,0,450,451,
gold,0,452,453,
gold,0,454,455,
gold,0,456,457,
gold,0,458,459,
gold,0,460,461,
gold,0,462,463,
gold,0,464,465,
gold,0,466,467,
gold,0,468,469,
gold,0,470,471,
gold,0,472,473,
gold,0,474,475,
gold,0,154,476,477,478,
gold,0,155,479,
gold,0,156,480,481,482,483,484,
gold,0,157,485,486,487,488,489,
gold,0,158,490,491,492,493,
gold,0,159,494,495,496,497,498,
gold,0,160,499,500,501,502,
gold,0,161,503,504,505,506,
gold,0,162,507,508,
gold,0,163,509,510,511,
gold,0,164,512,513,514,515,516,
gold,0,165,517,518,
gold,0,166,519,520,521,
gold,0,167,522,523,
gold,0,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,
gold,1,154,168,182,183,184,185,260,274,288,302,316,330,344,358,372,386,400,414,
gold,1,155,169,186,187,188,189,190,261,275,289,303,317,331,345,359,373,387,401,415,
gold,1,156,170,191,192,193,194,195,196,262,276,290,304,318,332,346,360,374,388,402,416,
gold,1,157,171,197,198,199,263,277,291,305,319,333,347,361,375,389,403,417,
gold,1,158,172,200,201,202,203,204,205,206,207,264,278,292,306,320,334,348,362,376,390,404,418,
gold,1,159,173,208,209,210,211,212,213,265,279,293,307,321,335,349,363,377,391,405,419,
gold,1,160,174,214,215,216,217,218,219,266,280,294,308,322,336,350,364,378,392,406,420,
gold,1,161,175,220,221,222,223,224,225,226,267,281,295,309,323,337,351,365,379,393,407,421,
gold,1,162,176,227,228,229,230,231,268,282,296,310,324,338,352,366,380,394,408,422,
gold,1,163,177,232,233,234,235,269,283,297,311,325,339,353,367,381,395,409,423,
gold,1,164,178,236,237,238,239,270,284,298,312,326,340,354,368,382,396,410,424,
gold,1,165,179,240,241,242,243,244,245,246,247,271,285,299,313,327,341,355,369,383,397,411,425,
gold,1,166,180,248,249,250,251,252,253,272,286,300,314,328,342,356,370,384,398,412,426,
gold,1,167,181,254,255,256,257,258,259,273,287,301,315,329,343,357,371,385,399,413,427,
gold,2,154,155,156,157,158,159,160,161,162,163,164,165,166,167,
gold,2,
gold,3,330,
gold,3,331,
red,3,332,
gold,3,333,
gold,3,334,
gold,3,335,
gold,3,336,
gold,3,337,
gold,3,338,
gold,3,339,
gold,3,340,
gold,3,341,
gold,3,342,
gold,3,343,
gold,3,414,415,416,417,418,419,420,421,422,423,424,425,426,427,
gold,4,316,
gold,4,317,
gold,4,318,
gold,4,319,
gold,4,320,
red,4,321,
gold,4,322,
gold,4,323,
gold,4,324,
gold,4,325,
gold,4,326,
gold,4,327,
gold,4,328,
gold,4,329,
gold,4,400,401,402,403,404,405,406,407,408,409,410,411,412,413,
gold,5,302,
gold,5,303,
gold,5,304,
gold,5,305,
gold,5,306,
gold,5,307,
gold,5,308,
gold,5,309,
gold,5,310,
gold,5,311,
gold,5,312,
red,5,313,
gold,5,314,
gold,5,315,
gold,5,386,387,388,389,390,391,392,393,394,395,396,397,398,399,
gold,6,288,
gold,6,289,
gold,6,290,
gold,6,291,
gold,6,292,
gold,6,293,
gold,6,294,
gold,6,295,
gold,6,296,
gold,6,297,
red,6,298,
gold,6,299,
gold,6,300,
gold,6,301,
gold,6,372,373,374,375,376,377,378,379,380,381,382,383,384,385,
gold,7,274,
gold,7,275,
gold,7,276,
gold,7,277,
gold,7,278,
gold,7,279,
gold,7,280,
gold,7,281,
gold,7,282,
red,7,283,
gold,7,284,
gold,7,285,
gold,7,286,
gold,7,287,
gold,7,358,359,360,361,362,363,364,365,366,367,368,369,370,371,
gold,8,260,
gold,8,261,
gold,8,262,
gold,8,263,
gold,8,264,
gold,8,265,
gold,8,266,
gold,8,267,
gold,8,268,
red,8,269,
gold,8,270,
gold,8,271,
gold,8,272,
gold,8,273,
gold,8,344,345,346,347,348,349,350,351,352,353,354,355,356,357,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,47,63,
lightskyblue,33,62,
lightskyblue,34,62,
lightskyblue,35,62,
lightskyblue,36,62,
lightskyblue,37,62,
lightskyblue,38,62,
lightskyblue,39,62,
lightskyblue,40,62,
lightskyblue,41,62,
lightskyblue,42,62,
lightskyblue,43,62,
lightskyblue,44,62,
lightskyblue,45,62,
lightskyblue,46,62,
lightskyblue,54,
lightskyblue,55,
lightskyblue,58,
lightskyblue,59,
lightskyblue,51,
lightskyblue,52,
lightskyblue,53,
lightskyblue,59,
lightskyblue,60,
lightskyblue,54,
lightskyblue,55,
lightskyblue,56,
lightskyblue,57,
lightskyblue,59,
lightskyblue,60,
lightskyblue,49,
lightskyblue,52,
lightskyblue,59,
lightskyblue,49,
lightskyblue,51,
lightskyblue,53,
lightskyblue,54,
lightskyblue,56,
lightskyblue,57,
lightskyblue,58,
lightskyblue,61,
lightskyblue,49,
lightskyblue,52,
lightskyblue,54,
lightskyblue,55,
lightskyblue,60,
lightskyblue,61,
lightskyblue,48,
lightskyblue,50,
lightskyblue,52,
lightskyblue,53,
lightskyblue,55,
lightskyblue,61,
lightskyblue,48,
lightskyblue,50,
lightskyblue,53,
lightskyblue,54,
lightskyblue,56,
lightskyblue,58,
lightskyblue,59,
lightskyblue,50,
lightskyblue,52,
lightskyblue,55,
lightskyblue,60,
lightskyblue,61,
lightskyblue,50,
lightskyblue,52,
lightskyblue,59,
lightskyblue,61,
lightskyblue,48,
lightskyblue,52,
lightskyblue,55,
lightskyblue,60,
lightskyblue,48,
lightskyblue,49,
lightskyblue,50,
lightskyblue,51,
lightskyblue,55,
lightskyblue,57,
lightskyblue,60,
lightskyblue,61,
lightskyblue,49,
lightskyblue,50,
lightskyblue,53,
lightskyblue,56,
lightskyblue,58,
lightskyblue,59,
lightskyblue,52,
lightskyblue,53,
lightskyblue,54,
lightskyblue,56,
lightskyblue,57,
lightskyblue,59,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,153,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,138,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,123,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,108,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,93,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,78,
lightskyblue,139,
lightskyblue,140,
lightskyblue,141,
lightskyblue,142,
lightskyblue,143,
lightskyblue,144,
lightskyblue,145,
lightskyblue,146,
lightskyblue,147,
lightskyblue,148,
lightskyblue,149,
lightskyblue,150,
lightskyblue,151,
lightskyblue,152,
lightskyblue,124,
lightskyblue,125,
lightskyblue,126,
lightskyblue,127,
lightskyblue,128,
lightskyblue,129,
lightskyblue,130,
lightskyblue,131,
lightskyblue,132,
lightskyblue,133,
lightskyblue,134,
lightskyblue,135,
lightskyblue,136,
lightskyblue,137,
lightskyblue,109,
lightskyblue,110,
lightskyblue,111,
lightskyblue,112,
lightskyblue,113,
lightskyblue,114,
lightskyblue,115,
lightskyblue,116,
lightskyblue,117,
lightskyblue,118,
lightskyblue,119,
lightskyblue,120,
lightskyblue,121,
lightskyblue,122,
lightskyblue,94,
lightskyblue,95,
lightskyblue,96,
lightskyblue,97,
lightskyblue,98,
lightskyblue,99,
lightskyblue,100,
lightskyblue,101,
lightskyblue,102,
lightskyblue,103,
lightskyblue,104,
lightskyblue,105,
lightskyblue,106,
lightskyblue,107,
lightskyblue,79,
lightskyblue,80,
lightskyblue,81,
lightskyblue,82,
lightskyblue,83,
lightskyblue,84,
lightskyblue,85,
lightskyblue,86,
lightskyblue,87,
lightskyblue,88,
lightskyblue,89,
lightskyblue,90,
lightskyblue,91,
lightskyblue,92,
lightskyblue,64,
lightskyblue,65,
lightskyblue,66,
lightskyblue,67,
lightskyblue,68,
lightskyblue,69,
lightskyblue,70,
lightskyblue,71,
lightskyblue,72,
lightskyblue,73,
lightskyblue,74,
lightskyblue,75,
lightskyblue,76,
lightskyblue,77,
lightskyblue,33,
lightskyblue,38,
lightskyblue,33,
lightskyblue,39,
lightskyblue,33,
lightskyblue,43,
lightskyblue,35,
lightskyblue,36,
lightskyblue,36,
lightskyblue,41,
lightskyblue,36,
lightskyblue,42,
lightskyblue,36,
lightskyblue,37,
lightskyblue,35,
lightskyblue,38,
lightskyblue,37,
lightskyblue,38,
lightskyblue,35,
lightskyblue,39,
lightskyblue,39,
lightskyblue,40,
lightskyblue,39,
lightskyblue,42,
lightskyblue,37,
lightskyblue,40,
lightskyblue,38,
lightskyblue,40,
lightskyblue,35,
lightskyblue,41,
lightskyblue,42,
lightskyblue,44,
lightskyblue,35,
lightskyblue,43,
lightskyblue,36,
lightskyblue,43,
lightskyblue,38,
lightskyblue,43,
lightskyblue,43,
lightskyblue,45,
lightskyblue,34,
lightskyblue,44,
lightskyblue,40,
lightskyblue,45,
lightskyblue,45,
lightskyblue,46,
lightskyblue,37,
lightskyblue,46,
lightskyblue,9,
lightskyblue,10,
lightskyblue,11,
lightskyblue,29,
lightskyblue,12,
lightskyblue,16,
lightskyblue,18,
lightskyblue,23,
lightskyblue,25,
lightskyblue,12,
lightskyblue,13,
lightskyblue,14,
lightskyblue,15,
lightskyblue,26,
lightskyblue,15,
lightskyblue,17,
lightskyblue,21,
lightskyblue,32,
lightskyblue,9,
lightskyblue,16,
lightskyblue,17,
lightskyblue,22,
lightskyblue,27,
lightskyblue,10,
lightskyblue,18,
lightskyblue,19,
lightskyblue,20,
lightskyblue,19,
lightskyblue,21,
lightskyblue,22,
lightskyblue,30,
lightskyblue,13,
lightskyblue,23,
lightskyblue,14,
lightskyblue,20,
lightskyblue,24,
lightskyblue,11,
lightskyblue,25,
lightskyblue,26,
lightskyblue,27,
lightskyblue,28,
lightskyblue,24,
lightskyblue,29,
lightskyblue,28,
lightskyblue,30,
lightskyblue,31,
lightskyblue,31,
lightskyblue,32,
