green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,472,473,
gold,0,474,475,
gold,0,476,477,
gold,0,478,479,
gold,0,480,481,
gold,0,482,483,
gold,0,484,485,
gold,0,486,487,
gold,0,488,489,
gold,0,490,491,
gold,0,492,493,
gold,0,494,495,
gold,0,496,497,
gold,0,498,499,
gold,0,500,501,
gold,0,502,503,
gold,0,504,505,
gold,0,506,507,
gold,0,508,509,
gold,0,510,511,
gold,0,512,513,
gold,0,514,515,
gold,0,516,517,
gold,0,518,519,
gold,0,170,520,521,522,
gold,0,171,523,
gold,0,172,524,525,526,527,528,
gold,0,173,529,530,531,532,533,
gold,0,174,534,535,536,537,
gold,0,175,538,539,540,541,542,
gold,0,176,543,544,545,546,
gold,0,177,547,548,549,550,
gold,0,178,551,552,
gold,0,179,553,554,555,
gold,0,180,556,557,558,559,560,
gold,0,181,561,562,
gold,0,182,563,564,565,
gold,0,183,566,567,
gold,0,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,
gold,1,170,184,198,199,200,201,276,290,304,318,332,346,360,374,388,402,416,430,444,458,
gold,1,171,185,202,203,204,205,206,277,291,305,319,333,347,361,375,389,403,417,431,445,459,
gold,1,172,186,207,208,209,210,211,212,278,292,306,320,334,348,362,376,390,404,418,432,446,460,
gold,1,173,187,213,214,215,279,293,307,321,335,349,363,377,391,405,419,433,447,461,
gold,1,174,188,216,217,218,219,220,221,222,223,280,294,308,322,336,350,364,378,392,406,420,434,448,462,
gold,1,175,189,224,225,226,227,228,229,281,295,309,323,337,351,365,379,393,407,421,435,449,463,
gold,1,176,190,230,231,232,233,234,235,282,296,310,324,338,352,366,380,394,408,422,436,450,464,
gold,1,177,191,236,237,238,239,240,241,242,283,297,311,325,339,353,367,381,395,409,423,437,451,465,
gold,1,178,192,243,244,245,246,247,284,298,312,326,340,354,368,382,396,410,424,438,452,466,
gold,1,179,193,248,249,250,251,285,299,313,327,341,355,369,383,397,411,425,439,453,467,
gold,1,180,194,252,253,254,255,286,300,314,328,342,356,370,384,398,412,426,440,454,468,
gold,1,181,195,256,257,258,259,260,261,262,263,287,301,315,329,343,357,371,385,399,413,427,441,455,469,
gold,1,182,196,264,265,266,267,268,269,288,302,316,330,344,358,372,386,400,414,428,442,456,470,
gold,1,183,197,270,271,272,273,274,275,289,303,317,331,345,359,373,387,401,415,429,443,457,471,
gold,2,170,171,172,173,174,175,176,177,178,179,180,181,182,183,
gold,2,
gold,3,360,
gold,3,361,
red,3,362,
gold,3,363,
gold,3,364,
gold,3,365,
gold,3,366,
gold,3,367,
gold,3,368,
gold,3,369,
gold,3,370,
gold,3,371,
gold,3,372,
gold,3,373,
gold,3,458,459,460,461,462,463,464,465,466,467,468,469,470,471,
gold,4,346,
gold,4,347,
red,4,348,
gold,4,349,
gold,4,350,
gold,4,351,
gold,4,352,
gold,4,353,
gold,4,354,
gold,4,355,
gold,4,356,
gold,4,357,
gold,4,358,
gold,4,359,
gold,4,444,445,446,447,448,449,450,451,452,453,454,455,456,457,
gold,5,332,
gold,5,333,
gold,5,334,
gold,5,335,
gold,5,336,
red,5,337,
gold,5,338,
gold,5,339,
gold,5,340,
gold,5,341,
gold,5,342,
gold,5,343,
gold,5,344,
gold,5,345,
gold,5,430,431,432,433,434,435,436,437,438,439,440,441,442,443,
gold,6,318,
gold,6,319,
gold,6,320,
gold,6,321,
gold,6,322,
gold,6,323,
gold,6,324,
gold,6,325,
gold,6,326,
gold,6,327,
gold,6,328,
red,6,329,
gold,6,330,
gold,6,331,
gold,6,416,417,418,419,420,421,422,423,424,425,426,427,428,429,
gold,7,304,
gold,7,305,
gold,7,306,
gold,7,307,
gold,7,308,
gold,7,309,
gold,7,310,
gold,7,311,
gold,7,312,
gold,7,313,
red,7,314,
gold,7,315,
gold,7,316,
gold,7,317,
gold,7,402,403,404,405,406,407,408,409,410,411,412,413,414,415,
gold,8,290,
gold,8,291,
gold,8,292,
gold,8,293,
gold,8,294,
gold,8,295,
gold,8,296,
gold,8,297,
gold,8,298,
red,8,299,
gold,8,300,
gold,8,301,
gold,8,302,
gold,8,303,
gold,8,388,389,390,391,392,393,394,395,396,397,398,399,400,401,
gold,9,276,
gold,9,277,
gold,9,278,
gold,9,279,
gold,9,280,
gold,9,281,
gold,9,282,
gold,9,283,
gold,9,284,
red,9,285,
gold,9,286,
gold,9,287,
gold,9,288,
gold,9,289,
gold,9,374,375,376,377,378,379,380,381,382,383,384,385,386,387,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,48,64,
lightskyblue,34,63,
lightskyblue,35,63,
lightskyblue,36,63,
lightskyblue,37,63,
lightskyblue,38,63,
lightskyblue,39,63,
lightskyblue,40,63,
lightskyblue,41,63,
lightskyblue,42,63,
lightskyblue,43,63,
lightskyblue,44,63,
lightskyblue,45,63,
lightskyblue,46,63,
lightskyblue,47,63,
lightskyblue,55,
lightskyblue,56,
lightskyblue,59,
lightskyblue,60,
