green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,516,517,
gold,0,518,519,
gold,0,520,521,
gold,0,522,523,
gold,0,524,525,
gold,0,526,527,
gold,0,528,529,
gold,0,530,531,
gold,0,532,533,
gold,0,534,535,
gold,0,536,537,
gold,0,538,539,
gold,0,540,541,
gold,0,542,543,
gold,0,544,545,
gold,0,546,547,
gold,0,548,549,
gold,0,550,551,
gold,0,552,553,
gold,0,554,555,
gold,0,556,557,
gold,0,558,559,
gold,0,560,561,
gold,0,562,563,
gold,0,186,564,565,566,
gold,0,187,567,
gold,0,188,568,569,570,571,572,
gold,0,189,573,574,575,576,577,
gold,0,190,578,579,580,581,
gold,0,191,582,583,584,585,586,
gold,0,192,587,588,589,590,
gold,0,193,591,592,593,594,
gold,0,194,595,596,
gold,0,195,597,598,599,
gold,0,196,600,601,602,603,604,
gold,0,197,605,606,
gold,0,198,607,608,609,
gold,0,199,610,611,
gold,0,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,
gold,1,186,200,214,215,216,217,292,306,320,334,348,362,376,390,404,418,432,446,460,474,488,502,
gold,1,187,201,218,219,220,221,222,293,307,321,335,349,363,377,391,405,419,433,447,461,475,489,503,
gold,1,188,202,223,224,225,226,227,228,294,308,322,336,350,364,378,392,406,420,434,448,462,476,490,504,
gold,1,189,203,229,230,231,295,309,323,337,351,365,379,393,407,421,435,449,463,477,491,505,
gold,1,190,204,232,233,234,235,236,237,238,239,296,310,324,338,352,366,380,394,408,422,436,450,464,478,492,506,
gold,1,191,205,240,241,242,243,244,245,297,311,325,339,353,367,381,395,409,423,437,451,465,479,493,507,
gold,1,192,206,246,247,248,249,250,251,298,312,326,340,354,368,382,396,410,424,438,452,466,480,494,508,
gold,1,193,207,252,253,254,255,256,257,258,299,313,327,341,355,369,383,397,411,425,439,453,467,481,495,509,
gold,1,194,208,259,260,261,262,263,300,314,328,342,356,370,384,398,412,426,440,454,468,482,496,510,
gold,1,195,209,264,265,266,267,301,315,329,343,357,371,385,399,413,427,441,455,469,483,497,511,
gold,1,196,210,268,269,270,271,302,316,330,344,358,372,386,400,414,428,442,456,470,484,498,512,
gold,1,197,211,272,273,274,275,276,277,278,279,303,317,331,345,359,373,387,401,415,429,443,457,471,485,499,513,
gold,1,198,212,280,281,282,283,284,285,304,318,332,346,360,374,388,402,416,430,444,458,472,486,500,514,
gold,1,199,213,286,287,288,289,290,291,305,319,333,347,361,375,389,403,417,431,445,459,473,487,501,515,
gold,2,186,187,188,189,190,191,192,193,194,195,196,197,198,199,
gold,2,
gold,3,390,
gold,3,391,
gold,3,392,
gold,3,393,
red,3,394,
gold,3,395,
gold,3,396,
gold,3,397,
gold,3,398,
gold,3,399,
gold,3,400,
gold,3,401,
gold,3,402,
gold,3,403,
gold,3,502,503,504,505,506,507,508,509,510,511,512,513,514,515,
gold,4,376,
gold,4,377,
red,4,378,
gold,4,379,
gold,4,380,
gold,4,381,
gold,4,382,
gold,4,383,
gold,4,384,
gold,4,385,
gold,4,386,
gold,4,387,
gold,4,388,
gold,4,389,
gold,4,488,489,490,491,492,493,494,495,496,497,498,499,500,501,
gold,5,362,
gold,5,363,
red,5,364,
gold,5,365,
gold,5,366,
gold,5,367,
gold,5,368,
gold,5,369,
gold,5,370,
gold,5,371,
gold,5,372,
gold,5,373,
gold,5,374,
gold,5,375,
gold,5,474,475,476,477,478,479,480,481,482,483,484,485,486,487,
gold,6,348,
gold,6,349,
gold,6,350,
gold,6,351,
gold,6,352,
red,6,353,
gold,6,354,
gold,6,355,
gold,6,356,
gold,6,357,
gold,6,358,
gold,6,359,
gold,6,360,
gold,6,361,
gold,6,460,461,462,463,464,465,466,467,468,469,470,471,472,473,
gold,7,334,
gold,7,335,
gold,7,336,
gold,7,337,
gold,7,338,
gold,7,339,
gold,7,340,
gold,7,341,
gold,7,342,
gold,7,343,
gold,7,344,
red,7,345,
gold,7,346,
gold,7,347,
gold,7,446,447,448,449,450,451,452,453,454,455,456,457,458,459,
gold,8,320,
gold,8,321,
gold,8,322,
gold,8,323,
gold,8,324,
gold,8,325,
gold,8,326,
gold,8,327,
gold,8,328,
gold,8,329,
red,8,330,
gold,8,331,
gold,8,332,
gold,8,333,
gold,8,432,433,434,435,436,437,438,439,440,441,442,443,444,445,
gold,9,306,
gold,9,307,
gold,9,308,
gold,9,309,
gold,9,310,
gold,9,311,
gold,9,312,
gold,9,313,
gold,9,314,
red,9,315,
gold,9,316,
gold,9,317,
gold,9,318,
gold,9,319,
gold,9,418,419,420,421,422,423,424,425,426,427,428,429,430,431,
gold,10,292,
gold,10,293,
gold,10,294,
gold,10,295,
gold,10,296,
gold,10,297,
gold,10,298,
gold,10,299,
gold,10,300,
red,10,301,
gold,10,302,
gold,10,303,
gold,10,304,
gold,10,305,
gold,10,404,405,406,407,408,409,410,411,412,413,414,415,416,417,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,49,65,
lightskyblue,35,64,
lightskyblue,36,64,
lightskyblue,37,64,
lightskyblue,38,64,
lightskyblue,39,64,
lightskyblue,40,64,
lightskyblue,41,64,
lightskyblue,42,64,
lightskyblue,43,64,
lightskyblue,44,64,
