green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,560,561,
gold,0,562,563,
gold,0,564,565,
gold,0,566,567,
gold,0,568,569,
gold,0,570,571,
gold,0,572,573,
gold,0,574,575,
gold,0,576,577,
gold,0,578,579,
gold,0,580,581,
gold,0,582,583,
gold,0,584,585,
gold,0,586,587,
gold,0,588,589,
gold,0,590,591,
gold,0,592,593,
gold,0,594,595,
gold,0,596,597,
gold,0,598,599,
gold,0,600,601,
gold,0,602,603,
gold,0,604,605,
gold,0,606,607,
gold,0,202,608,609,610,
gold,0,203,611,
gold,0,204,612,613,614,615,616,
gold,0,205,617,618,619,620,621,
gold,0,206,622,623,624,625,
gold,0,207,626,627,628,629,630,
gold,0,208,631,632,633,634,
gold,0,209,635,636,637,638,
gold,0,210,639,640,
gold,0,211,641,642,643,
gold,0,212,644,645,646,647,648,
gold,0,213,649,650,
gold,0,214,651,652,653,
gold,0,215,654,655,
gold,0,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,
gold,1,202,216,230,231,232,233,308,322,336,350,364,378,392,406,420,434,448,462,476,490,504,518,532,546,
gold,1,203,217,234,235,236,237,238,309,323,337,351,365,379,393,407,421,435,449,463,477,491,505,519,533,547,
gold,1,204,218,239,240,241,242,243,244,310,324,338,352,366,380,394,408,422,436,450,464,478,492,506,520,534,548,
gold,1,205,219,245,246,247,311,325,339,353,367,381,395,409,423,437,451,465,479,493,507,521,535,549,
gold,1,206,220,248,249,250,251,252,253,254,255,312,326,340,354,368,382,396,410,424,438,452,466,480,494,508,522,536,550,
gold,1,207,221,256,257,258,259,260,261,313,327,341,355,369,383,397,411,425,439,453,467,481,495,509,523,537,551,
gold,1,208,222,262,263,264,265,266,267,314,328,342,356,370,384,398,412,426,440,454,468,482,496,510,524,538,552,
gold,1,209,223,268,269,270,271,272,273,274,315,329,343,357,371,385,399,413,427,441,455,469,483,497,511,525,539,553,
gold,1,210,224,275,276,277,278,279,316,330,344,358,372,386,400,414,428,442,456,470,484,498,512,526,540,554,
gold,1,211,225,280,281,282,283,317,331,345,359,373,387,401,415,429,443,457,471,485,499,513,527,541,555,
gold,1,212,226,284,285,286,287,318,332,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,
gold,1,213,227,288,289,290,291,292,293,294,295,319,333,347,361,375,389,403,417,431,445,459,473,487,501,515,529,543,557,
gold,1,214,228,296,297,298,299,300,301,320,334,348,362,376,390,404,418,432,446,460,474,488,502,516,530,544,558,
gold,1,215,229,302,303,304,305,306,307,321,335,349,363,377,391,405,419,433,447,461,475,489,503,517,531,545,559,
gold,2,202,203,204,205,206,207,208,209,210,211,212,213,214,215,
gold,2,
gold,3,420,
gold,3,421,
red,3,422,
gold,3,423,
gold,3,424,
gold,3,425,
gold,3,426,
gold,3,427,
gold,3,428,
gold,3,429,
gold,3,430,
gold,3,431,
gold,3,432,
gold,3,433,
gold,3,546,547,548,549,550,551,552,553,554,555,556,557,558,559,
gold,4,406,
gold,4,407,
gold,4,408,
gold,4,409,
red,4,410,
gold,4,411,
gold,4,412,
gold,4,413,
gold,4,414,
gold,4,415,
gold,4,416,
gold,4,417,
gold,4,418,
gold,4,419,
gold,4,532,533,534,535,536,537,538,539,540,541,542,543,544,545,
gold,5,392,
gold,5,393,
red,5,394,
gold,5,395,
gold,5,396,
gold,5,397,
gold,5,398,
gold,5,399,
gold,5,400,
gold,5,401,
gold,5,402,
gold,5,403,
gold,5,404,
gold,5,405,
gold,5,518,519,520,521,522,523,524,525,526,527,528,529,530,531,
gold,6,378,
gold,6,379,
red,6,380,
gold,6,381,
gold,6,382,
gold,6,383,
gold,6,384,
gold,6,385,
gold,6,386,
gold,6,387,
gold,6,388,
gold,6,389,
gold,6,390,
gold,6,391,
gold,6,504,505,506,507,508,509,510,511,512,513,514,515,516,517,
gold,7,364,
gold,7,365,
gold,7,366,
gold,7,367,
gold,7,368,
red,7,369,
gold,7,370,
gold,7,371,
gold,7,372,
gold,7,373,
gold,7,374,
gold,7,375,
gold,7,376,
gold,7,377,
gold,7,490,491,492,493,494,495,496,497,498,499,500,501,502,503,
gold,8,350,
gold,8,351,
gold,8,352,
gold,8,353,
gold,8,354,
gold,8,355,
gold,8,356,
gold,8,357,
gold,8,358,
gold,8,359,
gold,8,360,
red,8,361,
gold,8,362,
gold,8,363,
gold,8,476,477,478,479,480,481,482,483,484,485,486,487,488,489,
gold,9,336,
gold,9,337,
gold,9,338,
gold,9,339,
gold,9,340,
gold,9,341,
gold,9,342,
gold,9,343,
gold,9,344,
gold,9,345,
red,9,346,
gold,9,347,
gold,9,348,
gold,9,349,
gold,9,462,463,464,465,466,467,468,469,470,471,472,473,474,475,
gold,10,322,
gold,10,323,
gold,10,324,
gold,10,325,
gold,10,326,
gold,10,327,
gold,10,328,
gold,10,329,
gold,10,330,
red,10,331,
gold,10,332,
gold,10,333,
gold,10,334,
gold,10,335,
gold,10,448,449,450,451,452,453,454,455,456,457,458,459,460,461,
gold,11,308,
gold,11,309,
gold,11,310,
gold,11,311,
gold,11,312,
gold,11,313,
gold,11,314,
gold,11,315,
gold,11,316,
red,11,317,
gold,11,318,
gold,11,319,
gold,11,320,
gold,11,321,
gold,11,434,435,436,437,438,439,440,441,442,443,444,445,446,447,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,50,66,
lightskyblue,36,65,
lightskyblue,37,65,
lightskyblue,38,65,
