green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,604,605,
gold,0,606,607,
gold,0,608,609,
gold,0,610,611,
gold,0,612,613,
gold,0,614,615,
gold,0,616,617,
gold,0,618,619,
gold,0,620,621,
gold,0,622,623,
gold,0,624,625,
gold,0,626,627,
gold,0,628,629,
gold,0,630,631,
gold,0,632,633,
gold,0,634,635,
gold,0,636,637,
gold,0,638,639,
gold,0,640,641,
gold,0,642,643,
gold,0,644,645,
gold,0,646,647,
gold,0,648,649,
gold,0,650,651,
gold,0,218,652,653,654,
gold,0,219,655,
gold,0,220,656,657,658,659,660,
gold,0,221,661,662,663,664,665,
gold,0,222,666,667,668,669,
gold,0,223,670,671,672,673,674,
gold,0,224,675,676,677,678,
gold,0,225,679,680,681,682,
gold,0,226,683,684,
gold,0,227,685,686,687,
gold,0,228,688,689,690,691,692,
gold,0,229,693,694,
gold,0,230,695,696,697,
gold,0,231,698,699,
gold,0,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,
gold,1,218,232,246,247,248,249,324,338,352,366,380,394,408,422,436,450,464,478,492,506,520,534,548,562,576,590,
gold,1,219,233,250,251,252,253,254,325,339,353,367,381,395,409,423,437,451,465,479,493,507,521,535,549,563,577,591,
gold,1,220,234,255,256,257,258,259,260,326,340,354,368,382,396,410,424,438,452,466,480,494,508,522,536,550,564,578,592,
gold,1,221,235,261,262,263,327,341,355,369,383,397,411,425,439,453,467,481,495,509,523,537,551,565,579,593,
gold,1,222,236,264,265,266,267,268,269,270,271,328,342,356,370,384,398,412,426,440,454,468,482,496,510,524,538,552,566,580,594,
gold,1,223,237,272,273,274,275,276,277,329,343,357,371,385,399,413,427,441,455,469,483,497,511,525,539,553,567,581,595,
gold,1,224,238,278,279,280,281,282,283,330,344,358,372,386,400,414,428,442,456,470,484,498,512,526,540,554,568,582,596,
gold,1,225,239,284,285,286,287,288,289,290,331,345,359,373,387,401,415,429,443,457,471,485,499,513,527,541,555,569,583,597,
gold,1,226,240,291,292,293,294,295,332,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,
gold,1,227,241,296,297,298,299,333,347,361,375,389,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,
gold,1,228,242,300,301,302,303,334,348,362,376,390,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,
gold,1,229,243,304,305,306,307,308,309,310,311,335,349,363,377,391,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,
gold,1,230,244,312,313,314,315,316,317,336,350,364,378,392,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,
gold,1,231,245,318,319,320,321,322,323,337,351,365,379,393,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,
gold,2,218,219,220,221,222,223,224,225,226,227,228,229,230,231,
gold,2,
gold,3,450,
gold,3,451,
red,3,452,
gold,3,453,
gold,3,454,
gold,3,455,
gold,3,456,
gold,3,457,
gold,3,458,
gold,3,459,
gold,3,460,
gold,3,461,
gold,3,462,
gold,3,463,
gold,3,590,591,592,593,594,595,596,597,598,599,600,601,602,603,
gold,4,436,
gold,4,437,
gold,4,438,
gold,4,439,
red,4,440,
gold,4,441,
gold,4,442,
gold,4,443,
gold,4,444,
gold,4,445,
gold,4,446,
gold,4,447,
gold,4,448,
gold,4,449,
gold,4,576,577,578,579,580,581,582,583,584,585,586,587,588,589,
gold,5,422,
gold,5,423,
red,5,424,
gold,5,425,
gold,5,426,
gold,5,427,
gold,5,428,
gold,5,429,
gold,5,430,
gold,5,431,
gold,5,432,
gold,5,433,
gold,5,434,
gold,5,435,
gold,5,562,563,564,565,566,567,568,569,570,571,572,573,574,575,
gold,6,408,
gold,6,409,
red,6,410,
gold,6,411,
gold,6,412,
gold,6,413,
gold,6,414,
gold,6,415,
gold,6,416,
gold,6,417,
gold,6,418,
gold,6,419,
gold,6,420,
gold,6,421,
gold,6,548,549,550,551,552,553,554,555,556,557,558,559,560,561,
gold,7,394,
gold,7,395,
gold,7,396,
gold,7,397,
gold,7,398,
red,7,399,
gold,7,400,
gold,7,401,
gold,7,402,
gold,7,403,
gold,7,404,
gold,7,405,
gold,7,406,
gold,7,407,
gold,7,534,535,536,537,538,539,540,541,542,543,544,545,546,547,
gold,8,380,
gold,8,381,
gold,8,382,
gold,8,383,
gold,8,384,
gold,8,385,
gold,8,386,
gold,8,387,
gold,8,388,
gold,8,389,
gold,8,390,
red,8,391,
gold,8,392,
gold,8,393,
gold,8,520,521,522,523,524,525,526,527,528,529,530,531,532,533,
gold,9,366,
gold,9,367,
gold,9,368,
gold,9,369,
gold,9,370,
gold,9,371,
gold,9,372,
gold,9,373,
gold,9,374,
gold,9,375,
red,9,376,
gold,9,377,
gold,9,378,
gold,9,379,
gold,9,506,507,508,509,510,511,512,513,514,515,516,517,518,519,
gold,10,352,
gold,10,353,
gold,10,354,
gold,10,355,
gold,10,356,
gold,10,357,
gold,10,358,
gold,10,359,
gold,10,360,
red,10,361,
gold,10,362,
gold,10,363,
gold,10,364,
gold,10,365,
gold,10,492,493,494,495,496,497,498,499,500,501,502,503,504,505,
gold,11,338,
gold,11,339,
gold,11,340,
gold,11,341,
gold,11,342,
gold,11,343,
gold,11,344,
gold,11,345,
gold,11,346,
gold,11,347,
gold,11,348,
gold,11,349,
gold,11,350,
red,11,351,
gold,11,478,479,480,481,482,483,484,485,486,487,488,489,490,491,
gold,12,324,
gold,12,325,
gold,12,326,
gold,12,327,
gold,12,328,
gold,12,329,
gold,12,330,
gold,12,331,
gold,12,332,
red,12,333,
gold,12,334,
gold,12,335,
gold,12,336,
gold,12,337,
gold,12,464,465,466,467,468,469,470,471,472,473,474,475,476,477,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,51,67,
lightskyblue,37,66,
lightskyblue,38,66,
lightskyblue,39,66,
lightskyblue,40,66,
lightskyblue,41,66,
lightskyblue,42,66,
lightskyblue,43,66,
lightskyblue,44,66,
lightskyblue,45,66,
lightskyblue,46,66,
lightskyblue,47,66,
lightskyblue,48,66,
lightskyblue,49,66,
lightskyblue,50,66,
lightskyblue,58,
lightskyblue,59,
lightskyblue,62,
lightskyblue,63,
lightskyblue,55,
lightskyblue,56,
lightskyblue,57,
lightskyblue,63,
lightskyblue,64,
lightskyblue,58,
lightskyblue,59,
lightskyblue,60,
lightskyblue,61,
lightskyblue,63,
lightskyblue,64,
lightskyblue,53,
lightskyblue,56,
lightskyblue,63,
lightskyblue,53,
lightskyblue,55,
lightskyblue,57,
lightskyblue,58,
lightskyblue,60,
lightskyblue,61,
lightskyblue,62,
lightskyblue,65,
lightskyblue,53,
lightskyblue,56,
lightskyblue,58,
lightskyblue,59,
lightskyblue,64,
lightskyblue,65,
lightskyblue,52,
lightskyblue,54,
lightskyblue,56,
lightskyblue,57,
lightskyblue,59,
lightskyblue,65,
lightskyblue,52,
lightskyblue,54,
lightskyblue,57,
lightskyblue,58,
lightskyblue,60,
lightskyblue,62,
lightskyblue,63,
lightskyblue,54,
lightskyblue,56,
lightskyblue,59,
lightskyblue,64,
lightskyblue,65,
lightskyblue,54,
lightskyblue,56,
lightskyblue,63,
lightskyblue,65,
lightskyblue,52,
lightskyblue,56,
lightskyblue,59,
lightskyblue,64,
lightskyblue,52,
lightskyblue,53,
lightskyblue,54,
lightskyblue,55,
lightskyblue,59,
lightskyblue,61,
lightskyblue,64,
lightskyblue,65,
lightskyblue,53,
lightskyblue,54,
lightskyblue,57,
lightskyblue,60,
lightskyblue,62,
lightskyblue,63,
lightskyblue,56,
lightskyblue,57,
lightskyblue,58,
lightskyblue,60,
lightskyblue,61,
lightskyblue,63,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,217,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,202,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,187,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,172,
lightskyblue,157,
lightskyblue,157,
lightskyblue,157,
lightskyblue,157,
