green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,648,649,
gold,0,650,651,
gold,0,652,653,
gold,0,654,655,
gold,0,656,657,
gold,0,658,659,
gold,0,660,661,
gold,0,662,663,
gold,0,664,665,
gold,0,666,667,
gold,0,668,669,
gold,0,670,671,
gold,0,672,673,
gold,0,674,675,
gold,0,676,677,
gold,0,678,679,
gold,0,680,681,
gold,0,682,683,
gold,0,684,685,
gold,0,686,687,
gold,0,688,689,
gold,0,690,691,
gold,0,692,693,
gold,0,694,695,
gold,0,234,696,697,698,
gold,0,235,699,
gold,0,236,700,701,702,703,704,
gold,0,237,705,706,707,708,709,
gold,0,238,710,711,712,713,
gold,0,239,714,715,716,717,718,
gold,0,240,719,720,721,722,
gold,0,241,723,724,725,726,
gold,0,242,727,728,
gold,0,243,729,730,731,
gold,0,244,732,733,734,735,736,
gold,0,245,737,738,
gold,0,246,739,740,741,
gold,0,247,742,743,
gold,0,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,
gold,1,234,248,262,263,264,265,340,354,368,382,396,410,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,
gold,1,235,249,266,267,268,269,270,341,355,369,383,397,411,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,
gold,1,236,250,271,272,273,274,275,276,342,356,370,384,398,412,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,
gold,1,237,251,277,278,279,343,357,371,385,399,413,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,
gold,1,238,252,280,281,282,283,284,285,286,287,344,358,372,386,400,414,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,
gold,1,239,253,288,289,290,291,292,293,345,359,373,387,401,415,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,
gold,1,240,254,294,295,296,297,298,299,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,
gold,1,241,255,300,301,302,303,304,305,306,347,361,375,389,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,
gold,1,242,256,307,308,309,310,311,348,362,376,390,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,
gold,1,243,257,312,313,314,315,349,363,377,391,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,
gold,1,244,258,316,317,318,319,350,364,378,392,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,
gold,1,245,259,320,321,322,323,324,325,326,327,351,365,379,393,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,
gold,1,246,260,328,329,330,331,332,333,352,366,380,394,408,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,
gold,1,247,261,334,335,336,337,338,339,353,367,381,395,409,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,
gold,2,234,235,236,237,238,239,240,241,242,243,244,245,246,247,
gold,2,
gold,3,480,
gold,3,481,
red,3,482,
gold,3,483,
gold,3,484,
gold,3,485,
gold,3,486,
gold,3,487,
gold,3,488,
gold,3,489,
gold,3,490,
gold,3,491,
gold,3,492,
gold,3,493,
gold,3,634,635,636,637,638,639,640,641,642,643,644,645,646,647,
gold,4,466,
gold,4,467,
gold,4,468,
gold,4,469,
red,4,470,
gold,4,471,
gold,4,472,
gold,4,473,
gold,4,474,
gold,4,475,
gold,4,476,
gold,4,477,
gold,4,478,
gold,4,479,
gold,4,620,621,622,623,624,625,626,627,628,629,630,631,632,633,
gold,5,452,
gold,5,453,
red,5,454,
gold,5,455,
gold,5,456,
gold,5,457,
gold,5,458,
gold,5,459,
gold,5,460,
gold,5,461,
gold,5,462,
gold,5,463,
gold,5,464,
gold,5,465,
gold,5,606,607,608,609,610,611,612,613,614,615,616,617,618,619,
gold,6,438,
gold,6,439,
red,6,440,
gold,6,441,
gold,6,442,
gold,6,443,
gold,6,444,
gold,6,445,
gold,6,446,
gold,6,447,
gold,6,448,
gold,6,449,
gold,6,450,
gold,6,451,
gold,6,592,593,594,595,596,597,598,599,600,601,602,603,604,605,
gold,7,424,
gold,7,425,
gold,7,426,
gold,7,427,
gold,7,428,
red,7,429,
gold,7,430,
gold,7,431,
gold,7,432,
gold,7,433,
gold,7,434,
gold,7,435,
gold,7,436,
gold,7,437,
gold,7,578,579,580,581,582,583,584,585,586,587,588,589,590,591,
gold,8,410,
gold,8,411,
gold,8,412,
gold,8,413,
gold,8,414,
gold,8,415,
gold,8,416,
gold,8,417,
gold,8,418,
gold,8,419,
gold,8,420,
red,8,421,
gold,8,422,
gold,8,423,
gold,8,564,565,566,567,568,569,570,571,572,573,574,575,576,577,
gold,9,396,
gold,9,397,
gold,9,398,
gold,9,399,
gold,9,400,
gold,9,401,
gold,9,402,
gold,9,403,
gold,9,404,
gold,9,405,
red,9,406,
gold,9,407,
gold,9,408,
gold,9,409,
gold,9,550,551,552,553,554,555,556,557,558,559,560,561,562,563,
gold,10,382,
gold,10,383,
gold,10,384,
gold,10,385,
gold,10,386,
gold,10,387,
gold,10,388,
gold,10,389,
gold,10,390,
red,10,391,
gold,10,392,
gold,10,393,
gold,10,394,
gold,10,395,
gold,10,536,537,538,539,540,541,542,543,544,545,546,547,548,549,
gold,11,368,
gold,11,369,
gold,11,370,
red,11,371,
gold,11,372,
gold,11,373,
gold,11,374,
gold,11,375,
gold,11,376,
gold,11,377,
gold,11,378,
gold,11,379,
gold,11,380,
gold,11,381,
gold,11,522,523,524,525,526,527,528,529,530,531,532,533,534,535,
gold,12,354,
gold,12,355,
gold,12,356,
gold,12,357,
gold,12,358,
gold,12,359,
gold,12,360,
gold,12,361,
gold,12,362,
gold,12,363,
gold,12,364,
gold,12,365,
gold,12,366,
red,12,367,
gold,12,508,509,510,511,512,513,514,515,516,517,518,519,520,521,
gold,13,340,
gold,13,341,
gold,13,342,
gold,13,343,
gold,13,344,
gold,13,345,
gold,13,346,
gold,13,347,
gold,13,348,
red,13,349,
gold,13,350,
gold,13,351,
gold,13,352,
gold,13,353,
gold,13,494,495,496,497,498,499,500,501,502,503,504,505,506,507,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,52,68,
lightskyblue,38,67,
lightskyblue,39,67,
lightskyblue,40,67,
lightskyblue,41,67,
lightskyblue,42,67,
lightskyblue,43,67,
lightskyblue,44,67,
lightskyblue,45,67,
lightskyblue,46,67,
lightskyblue,47,67,
lightskyblue,48,67,
lightskyblue,49,67,
lightskyblue,50,67,
lightskyblue,51,67,
lightskyblue,59,
lightskyblue,60,
lightskyblue,63,
lightskyblue,64,
lightskyblue,56,
lightskyblue,57,
lightskyblue,58,
lightskyblue,64,
lightskyblue,65,
lightskyblue,59,
lightskyblue,60,
lightskyblue,61,
lightskyblue,62,
lightskyblue,64,
lightskyblue,65,
lightskyblue,54,
lightskyblue,57,
lightskyblue,64,
lightskyblue,54,
lightskyblue,56,
lightskyblue,58,
lightskyblue,59,
lightskyblue,61,
lightskyblue,62,
lightskyblue,63,
lightskyblue,66,
lightskyblue,54,
lightskyblue,57,
lightskyblue,59,
lightskyblue,60,
lightskyblue,65,
lightskyblue,66,
lightskyblue,53,
lightskyblue,55,
lightskyblue,57,
lightskyblue,58,
lightskyblue,60,
lightskyblue,66,
lightskyblue,53,
lightskyblue,55,
lightskyblue,58,
lightskyblue,59,
lightskyblue,61,
lightskyblue,63,
lightskyblue,64,
lightskyblue,55,
lightskyblue,57,
lightskyblue,60,
lightskyblue,65,
lightskyblue,66,
lightskyblue,55,
lightskyblue,57,
lightskyblue,64,
lightskyblue,66,
lightskyblue,53,
lightskyblue,57,
lightskyblue,60,
lightskyblue,65,
lightskyblue,53,
lightskyblue,54,
lightskyblue,55,
lightskyblue,56,
lightskyblue,60,
lightskyblue,62,
lightskyblue,65,
lightskyblue,66,
lightskyblue,54,
lightskyblue,55,
lightskyblue,58,
lightskyblue,61,
lightskyblue,63,
lightskyblue,64,
lightskyblue,57,
lightskyblue,58,
lightskyblue,59,
lightskyblue,61,
lightskyblue,62,
lightskyblue,64,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,233,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,218,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,203,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,188,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,173,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,158,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,143,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,128,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,113,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,98,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,83,
lightskyblue,219,
lightskyblue,220,
lightskyblue,221,
lightskyblue,222,
lightskyblue,223,
lightskyblue,224,
lightskyblue,225,
lightskyblue,226,
lightskyblue,227,
lightskyblue,228,
lightskyblue,229,
lightskyblue,230,
lightskyblue,231,
lightskyblue,232,
lightskyblue,204,
lightskyblue,205,
lightskyblue,206,
lightskyblue,207,
lightskyblue,208,
lightskyblue,209,
lightskyblue,210,
lightskyblue,211,
lightskyblue,212,
lightskyblue,213,
lightskyblue,214,
lightskyblue,215,
lightskyblue,216,
lightskyblue,217,
lightskyblue,189,
lightskyblue,190,
lightskyblue,191,
lightskyblue,192,
lightskyblue,193,
lightskyblue,194,
lightskyblue,195,
lightskyblue,196,
lightskyblue,197,
lightskyblue,198,
lightskyblue,199,
lightskyblue,200,
lightskyblue,201,
lightskyblue,202,
lightskyblue,174,
lightskyblue,175,
lightskyblue,176,
lightskyblue,177,
lightskyblue,178,
lightskyblue,179,
lightskyblue,180,
lightskyblue,181,
lightskyblue,182,
lightskyblue,183,
lightskyblue,184,
lightskyblue,185,
lightskyblue,186,
lightskyblue,187,
lightskyblue,159,
lightskyblue,160,
lightskyblue,161,
lightskyblue,162,
lightskyblue,163,
lightskyblue,164,
lightskyblue,165,
lightskyblue,166,
lightskyblue,167,
lightskyblue,168,
lightskyblue,169,
lightskyblue,170,
lightskyblue,171,
lightskyblue,172,
lightskyblue,144,
lightskyblue,145,
lightskyblue,146,
lightskyblue,147,
lightskyblue,148,
lightskyblue,149,
lightskyblue,150,
lightskyblue,151,
lightskyblue,152,
lightskyblue,153,
lightskyblue,154,
lightskyblue,155,
lightskyblue,156,
lightskyblue,157,
lightskyblue,129,
lightskyblue,130,
lightskyblue,131,
lightskyblue,132,
lightskyblue,133,
lightskyblue,134,
lightskyblue,135,
lightskyblue,136,
lightskyblue,137,
lightskyblue,138,
lightskyblue,139,
lightskyblue,140,
lightskyblue,141,
lightskyblue,142,
lightskyblue,114,
lightskyblue,115,
lightskyblue,116,
lightskyblue,117,
lightskyblue,118,
lightskyblue,119,
lightskyblue,120,
lightskyblue,121,
lightskyblue,122,
lightskyblue,123,
lightskyblue,124,
lightskyblue,125,
lightskyblue,126,
lightskyblue,127,
lightskyblue,99,
lightskyblue,100,
lightskyblue,101,
lightskyblue,102,
lightskyblue,103,
lightskyblue,104,
lightskyblue,105,
lightskyblue,106,
lightskyblue,107,
lightskyblue,108,
lightskyblue,109,
lightskyblue,110,
lightskyblue,111,
lightskyblue,112,
lightskyblue,84,
lightskyblue,85,
lightskyblue,86,
lightskyblue,87,
lightskyblue,88,
lightskyblue,89,
lightskyblue,90,
lightskyblue,91,
lightskyblue,92,
lightskyblue,93,
lightskyblue,94,
lightskyblue,95,
lightskyblue,96,
lightskyblue,97,
lightskyblue,69,
lightskyblue,70,
lightskyblue,71,
lightskyblue,72,
lightskyblue,73,
lightskyblue,74,
lightskyblue,75,
lightskyblue,76,
lightskyblue,77,
lightskyblue,78,
lightskyblue,79,
lightskyblue,80,
lightskyblue,81,
lightskyblue,82,
lightskyblue,38,
lightskyblue,43,
lightskyblue,38,
lightskyblue,44,
lightskyblue,38,
lightskyblue,48,
lightskyblue,40,
lightskyblue,41,
lightskyblue,41,
lightskyblue,46,
lightskyblue,41,
lightskyblue,47,
lightskyblue,41,
lightskyblue,42,
lightskyblue,40,
lightskyblue,43,
lightskyblue,42,
lightskyblue,43,
lightskyblue,40,
lightskyblue,44,
lightskyblue,44,
lightskyblue,45,
lightskyblue,44,
lightskyblue,47,
lightskyblue,42,
lightskyblue,45,
lightskyblue,43,
lightskyblue,45,
lightskyblue,40,
lightskyblue,46,
lightskyblue,47,
lightskyblue,49,
lightskyblue,40,
lightskyblue,48,
lightskyblue,41,
lightskyblue,48,
lightskyblue,43,
lightskyblue,48,
lightskyblue,48,
lightskyblue,50,
lightskyblue,39,
lightskyblue,49,
lightskyblue,45,
lightskyblue,50,
lightskyblue,50,
lightskyblue,51,
lightskyblue,42,
lightskyblue,51,
lightskyblue,14,
lightskyblue,15,
lightskyblue,16,
lightskyblue,34,
lightskyblue,17,
lightskyblue,21,
lightskyblue,23,
lightskyblue,28,
lightskyblue,30,
lightskyblue,17,
lightskyblue,18,
lightskyblue,19,
lightskyblue,20,
lightskyblue,31,
lightskyblue,20,
lightskyblue,22,
lightskyblue,26,
lightskyblue,37,
lightskyblue,14,
lightskyblue,21,
lightskyblue,22,
lightskyblue,27,
lightskyblue,32,
lightskyblue,15,
lightskyblue,23,
lightskyblue,24,
lightskyblue,25,
lightskyblue,24,
lightskyblue,26,
lightskyblue,27,
lightskyblue,35,
