green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,692,693,
gold,0,694,695,
gold,0,696,697,
gold,0,698,699,
gold,0,700,701,
gold,0,702,703,
gold,0,704,705,
gold,0,706,707,
gold,0,708,709,
gold,0,710,711,
gold,0,712,713,
gold,0,714,715,
gold,0,716,717,
gold,0,718,719,
gold,0,720,721,
gold,0,722,723,
gold,0,724,725,
gold,0,726,727,
gold,0,728,729,
gold,0,730,731,
gold,0,732,733,
gold,0,734,735,
gold,0,736,737,
gold,0,738,739,
gold,0,250,740,741,742,
gold,0,251,743,
gold,0,252,744,745,746,747,748,
gold,0,253,749,750,751,752,753,
gold,0,254,754,755,756,757,
gold,0,255,758,759,760,761,762,
gold,0,256,763,764,765,766,
gold,0,257,767,768,769,770,
gold,0,258,771,772,
gold,0,259,773,774,775,
gold,0,260,776,777,778,779,780,
gold,0,261,781,782,
gold,0,262,783,784,785,
gold,0,263,786,787,
gold,0,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,
gold,1,250,264,278,279,280,281,356,370,384,398,412,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,
gold,1,251,265,282,283,284,285,286,357,371,385,399,413,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,
gold,1,252,266,287,288,289,290,291,292,358,372,386,400,414,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,
gold,1,253,267,293,294,295,359,373,387,401,415,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,
gold,1,254,268,296,297,298,299,300,301,302,303,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,
gold,1,255,269,304,305,306,307,308,309,361,375,389,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,
gold,1,256,270,310,311,312,313,314,315,362,376,390,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,
gold,1,257,271,316,317,318,319,320,321,322,363,377,391,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,
gold,1,258,272,323,324,325,326,327,364,378,392,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,
gold,1,259,273,328,329,330,331,365,379,393,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,
gold,1,260,274,332,333,334,335,366,380,394,408,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,
gold,1,261,275,336,337,338,339,340,341,342,343,367,381,395,409,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,
gold,1,262,276,344,345,346,347,348,349,368,382,396,410,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,
gold,1,263,277,350,351,352,353,354,355,369,383,397,411,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,
gold,2,250,251,252,253,254,255,256,257,258,259,260,261,262,263,
gold,2,
gold,3,510,
gold,3,511,
red,3,512,
gold,3,513,
gold,3,514,
gold,3,515,
gold,3,516,
gold,3,517,
gold,3,518,
gold,3,519,
gold,3,520,
gold,3,521,
gold,3,522,
gold,3,523,
gold,3,678,679,680,681,682,683,684,685,686,687,688,689,690,691,
gold,4,496,
gold,4,497,
gold,4,498,
gold,4,499,
red,4,500,
gold,4,501,
gold,4,502,
gold,4,503,
gold,4,504,
gold,4,505,
gold,4,506,
gold,4,507,
gold,4,508,
gold,4,509,
gold,4,664,665,666,667,668,669,670,671,672,673,674,675,676,677,
gold,5,482,
gold,5,483,
red,5,484,
gold,5,485,
gold,5,486,
gold,5,487,
gold,5,488,
gold,5,489,
gold,5,490,
gold,5,491,
gold,5,492,
gold,5,493,
gold,5,494,
gold,5,495,
gold,5,650,651,652,653,654,655,656,657,658,659,660,661,662,663,
gold,6,468,
gold,6,469,
red,6,470,
gold,6,471,
gold,6,472,
gold,6,473,
gold,6,474,
gold,6,475,
gold,6,476,
gold,6,477,
gold,6,478,
gold,6,479,
gold,6,480,
gold,6,481,
gold,6,636,637,638,639,640,641,642,643,644,645,646,647,648,649,
gold,7,454,
gold,7,455,
gold,7,456,
gold,7,457,
gold,7,458,
red,7,459,
gold,7,460,
gold,7,461,
gold,7,462,
gold,7,463,
gold,7,464,
gold,7,465,
gold,7,466,
gold,7,467,
gold,7,622,623,624,625,626,627,628,629,630,631,632,633,634,635,
gold,8,440,
gold,8,441,
gold,8,442,
gold,8,443,
gold,8,444,
gold,8,445,
gold,8,446,
gold,8,447,
gold,8,448,
gold,8,449,
gold,8,450,
red,8,451,
gold,8,452,
gold,8,453,
gold,8,608,609,610,611,612,613,614,615,616,617,618,619,620,621,
gold,9,426,
gold,9,427,
gold,9,428,
gold,9,429,
gold,9,430,
gold,9,431,
gold,9,432,
gold,9,433,
gold,9,434,
gold,9,435,
red,9,436,
gold,9,437,
gold,9,438,
gold,9,439,
gold,9,594,595,596,597,598,599,600,601,602,603,604,605,606,607,
gold,10,412,
gold,10,413,
gold,10,414,
gold,10,415,
gold,10,416,
gold,10,417,
gold,10,418,
gold,10,419,
gold,10,420,
red,10,421,
gold,10,422,
gold,10,423,
gold,10,424,
gold,10,425,
gold,10,580,581,582,583,584,585,586,587,588,589,590,591,592,593,
gold,11,398,
gold,11,399,
gold,11,400,
gold,11,401,
gold,11,402,
gold,11,403,
gold,11,404,
gold,11,405,
gold,11,406,
gold,11,407,
gold,11,408,
gold,11,409,
gold,11,410,
red,11,411,
gold,11,566,567,568,569,570,571,572,573,574,575,576,577,578,579,
gold,12,384,
gold,12,385,
gold,12,386,
red,12,387,
gold,12,388,
gold,12,389,
gold,12,390,
gold,12,391,
gold,12,392,
gold,12,393,
gold,12,394,
gold,12,395,
gold,12,396,
gold,12,397,
gold,12,552,553,554,555,556,557,558,559,560,561,562,563,564,565,
gold,13,370,
gold,13,371,
gold,13,372,
gold,13,373,
gold,13,374,
gold,13,375,
gold,13,376,
gold,13,377,
gold,13,378,
gold,13,379,
gold,13,380,
gold,13,381,
gold,13,382,
red,13,383,
gold,13,538,539,540,541,542,543,544,545,546,547,548,549,550,551,
gold,14,356,
gold,14,357,
gold,14,358,
gold,14,359,
gold,14,360,
gold,14,361,
gold,14,362,
gold,14,363,
gold,14,364,
red,14,365,
gold,14,366,
gold,14,367,
