green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,736,737,
gold,0,738,739,
gold,0,740,741,
gold,0,742,743,
gold,0,744,745,
gold,0,746,747,
gold,0,748,749,
gold,0,750,751,
gold,0,752,753,
gold,0,754,755,
gold,0,756,757,
gold,0,758,759,
gold,0,760,761,
gold,0,762,763,
gold,0,764,765,
gold,0,766,767,
gold,0,768,769,
gold,0,770,771,
gold,0,772,773,
gold,0,774,775,
gold,0,776,777,
gold,0,778,779,
gold,0,780,781,
gold,0,782,783,
gold,0,266,784,785,786,
gold,0,267,787,
gold,0,268,788,789,790,791,792,
gold,0,269,793,794,795,796,797,
gold,0,270,798,799,800,801,
gold,0,271,802,803,804,805,806,
gold,0,272,807,808,809,810,
gold,0,273,811,812,813,814,
gold,0,274,815,816,
gold,0,275,817,818,819,
gold,0,276,820,821,822,823,824,
gold,0,277,825,826,
gold,0,278,827,828,829,
gold,0,279,830,831,
gold,0,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,
gold,1,266,280,294,295,296,297,372,386,400,414,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,
gold,1,267,281,298,299,300,301,302,373,387,401,415,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,
gold,1,268,282,303,304,305,306,307,308,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,
gold,1,269,283,309,310,311,375,389,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,
gold,1,270,284,312,313,314,315,316,317,318,319,376,390,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,
gold,1,271,285,320,321,322,323,324,325,377,391,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,
gold,1,272,286,326,327,328,329,330,331,378,392,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,
gold,1,273,287,332,333,334,335,336,337,338,379,393,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,
gold,1,274,288,339,340,341,342,343,380,394,408,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,
gold,1,275,289,344,345,346,347,381,395,409,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,
gold,1,276,290,348,349,350,351,382,396,410,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,
gold,1,277,291,352,353,354,355,356,357,358,359,383,397,411,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,
gold,1,278,292,360,361,362,363,364,365,384,398,412,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,
gold,1,279,293,366,367,368,369,370,371,385,399,413,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,
gold,2,266,267,268,269,270,271,272,273,274,275,276,277,278,279,
gold,2,
gold,3,540,
gold,3,541,
red,3,542,
gold,3,543,
gold,3,544,
gold,3,545,
gold,3,546,
gold,3,547,
gold,3,548,
gold,3,549,
gold,3,550,
gold,3,551,
gold,3,552,
gold,3,553,
gold,3,722,723,724,725,726,727,728,729,730,731,732,733,734,735,
gold,4,526,
gold,4,527,
gold,4,528,
gold,4,529,
red,4,530,
gold,4,531,
gold,4,532,
gold,4,533,
gold,4,534,
gold,4,535,
gold,4,536,
gold,4,537,
gold,4,538,
gold,4,539,
gold,4,708,709,710,711,712,713,714,715,716,717,718,719,720,721,
gold,5,512,
gold,5,513,
red,5,514,
gold,5,515,
gold,5,516,
gold,5,517,
gold,5,518,
gold,5,519,
gold,5,520,
gold,5,521,
gold,5,522,
gold,5,523,
gold,5,524,
gold,5,525,
gold,5,694,695,696,697,698,699,700,701,702,703,704,705,706,707,
gold,6,498,
gold,6,499,
red,6,500,
gold,6,501,
gold,6,502,
gold,6,503,
gold,6,504,
gold,6,505,
gold,6,506,
gold,6,507,
gold,6,508,
gold,6,509,
gold,6,510,
gold,6,511,
gold,6,680,681,682,683,684,685,686,687,688,689,690,691,692,693,
gold,7,484,
gold,7,485,
gold,7,486,
gold,7,487,
gold,7,488,
red,7,489,
gold,7,490,
gold,7,491,
gold,7,492,
gold,7,493,
gold,7,494,
gold,7,495,
gold,7,496,
gold,7,497,
gold,7,666,667,668,669,670,671,672,673,674,675,676,677,678,679,
gold,8,470,
gold,8,471,
gold,8,472,
gold,8,473,
gold,8,474,
gold,8,475,
gold,8,476,
gold,8,477,
gold,8,478,
gold,8,479,
gold,8,480,
red,8,481,
gold,8,482,
gold,8,483,
gold,8,652,653,654,655,656,657,658,659,660,661,662,663,664,665,
gold,9,456,
gold,9,457,
gold,9,458,
gold,9,459,
gold,9,460,
gold,9,461,
gold,9,462,
gold,9,463,
gold,9,464,
gold,9,465,
red,9,466,
gold,9,467,
gold,9,468,
gold,9,469,
gold,9,638,639,640,641,642,643,644,645,646,647,648,649,650,651,
gold,10,442,
gold,10,443,
gold,10,444,
gold,10,445,
gold,10,446,
gold,10,447,
gold,10,448,
gold,10,449,
gold,10,450,
red,10,451,
gold,10,452,
gold,10,453,
gold,10,454,
gold,10,455,
gold,10,624,625,626,627,628,629,630,631,632,633,634,635,636,637,
gold,11,428,
gold,11,429,
gold,11,430,
gold,11,431,
gold,11,432,
gold,11,433,
gold,11,434,
red,11,435,
gold,11,436,
gold,11,437,
gold,11,438,
gold,11,439,
gold,11,440,
gold,11,441,
gold,11,610,611,612,613,614,615,616,617,618,619,620,621,622,623,
gold,12,414,
gold,12,415,
gold,12,416,
gold,12,417,
gold,12,418,
gold,12,419,
gold,12,420,
gold,12,421,
gold,12,422,
gold,12,423,
gold,12,424,
gold,12,425,
gold,12,426,
red,12,427,
gold,12,596,597,598,599,600,601,602,603,604,605,606,607,608,609,
gold,13,400,
gold,13,401,
gold,13,402,
red,13,403,
gold,13,404,
gold,13,405,
gold,13,406,
gold,13,407,
gold,13,408,
gold,13,409,
gold,13,410,
gold,13,411,
gold,13,412,
gold,13,413,
gold,13,582,583,584,585,586,587,588,589,590,591,592,593,594,595,
gold,14,386,
gold,14,387,
gold,14,388,
gold,14,389,
gold,14,390,
gold,14,391,
gold,14,392,
gold,14,393,
gold,14,394,
gold,14,395,
gold,14,396,
gold,14,397,
gold,14,398,
red,14,399,
gold,14,568,569,570,571,572,573,574,575,576,577,578,579,580,581,
gold,15,372,
gold,15,373,
gold,15,374,
gold,15,375,
gold,15,376,
gold,15,377,
gold,15,378,
gold,15,379,
gold,15,380,
red,15,381,
gold,15,382,
gold,15,383,
gold,15,384,
gold,15,385,
gold,15,554,555,556,557,558,559,560,561,562,563,564,565,566,567,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,54,70,
lightskyblue,40,69,
lightskyblue,41,69,
lightskyblue,42,69,
lightskyblue,43,69,
lightskyblue,44,69,
lightskyblue,45,69,
lightskyblue,46,69,
lightskyblue,47,69,
lightskyblue,48,69,
lightskyblue,49,69,
lightskyblue,50,69,
lightskyblue,51,69,
lightskyblue,52,69,
lightskyblue,53,69,
lightskyblue,61,
lightskyblue,62,
lightskyblue,65,
lightskyblue,66,
lightskyblue,58,
lightskyblue,59,
lightskyblue,60,
lightskyblue,66,
lightskyblue,67,
lightskyblue,61,
lightskyblue,62,
lightskyblue,63,
lightskyblue,64,
lightskyblue,66,
lightskyblue,67,
lightskyblue,56,
lightskyblue,59,
lightskyblue,66,
lightskyblue,56,
lightskyblue,58,
lightskyblue,60,
lightskyblue,61,
lightskyblue,63,
lightskyblue,64,
lightskyblue,65,
lightskyblue,68,
lightskyblue,56,
lightskyblue,59,
lightskyblue,61,
lightskyblue,62,
lightskyblue,67,
lightskyblue,68,
lightskyblue,55,
lightskyblue,57,
lightskyblue,59,
lightskyblue,60,
lightskyblue,62,
lightskyblue,68,
lightskyblue,55,
lightskyblue,57,
lightskyblue,60,
lightskyblue,61,
lightskyblue,63,
lightskyblue,65,
lightskyblue,66,
lightskyblue,57,
lightskyblue,59,
lightskyblue,62,
lightskyblue,67,
lightskyblue,68,
lightskyblue,57,
lightskyblue,59,
lightskyblue,66,
lightskyblue,68,
lightskyblue,55,
lightskyblue,59,
lightskyblue,62,
lightskyblue,67,
lightskyblue,55,
lightskyblue,56,
lightskyblue,57,
lightskyblue,58,
lightskyblue,62,
lightskyblue,64,
lightskyblue,67,
lightskyblue,68,
lightskyblue,56,
lightskyblue,57,
lightskyblue,60,
lightskyblue,63,
lightskyblue,65,
lightskyblue,66,
lightskyblue,59,
lightskyblue,60,
lightskyblue,61,
lightskyblue,63,
lightskyblue,64,
lightskyblue,66,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,265,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,250,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,235,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,220,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,205,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,190,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,175,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,160,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,145,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,130,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,115,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,100,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,85,
lightskyblue,251,
lightskyblue,252,
lightskyblue,253,
lightskyblue,254,
lightskyblue,255,
lightskyblue,256,
lightskyblue,257,
lightskyblue,258,
lightskyblue,259,
lightskyblue,260,
lightskyblue,261,
lightskyblue,262,
lightskyblue,263,
lightskyblue,264,
lightskyblue,236,
lightskyblue,237,
lightskyblue,238,
lightskyblue,239,
lightskyblue,240,
lightskyblue,241,
lightskyblue,242,
lightskyblue,243,
lightskyblue,244,
lightskyblue,245,
lightskyblue,246,
lightskyblue,247,
lightskyblue,248,
lightskyblue,249,
lightskyblue,221,
lightskyblue,222,
lightskyblue,223,
lightskyblue,224,
lightskyblue,225,
lightskyblue,226,
lightskyblue,227,
lightskyblue,228,
lightskyblue,229,
lightskyblue,230,
lightskyblue,231,
lightskyblue,232,
lightskyblue,233,
lightskyblue,234,
lightskyblue,206,
lightskyblue,207,
lightskyblue,208,
lightskyblue,209,
lightskyblue,210,
lightskyblue,211,
lightskyblue,212,
lightskyblue,213,
lightskyblue,214,
lightskyblue,215,
lightskyblue,216,
lightskyblue,217,
lightskyblue,218,
lightskyblue,219,
lightskyblue,191,
lightskyblue,192,
lightskyblue,193,
lightskyblue,194,
lightskyblue,195,
lightskyblue,196,
lightskyblue,197,
lightskyblue,198,
lightskyblue,199,
lightskyblue,200,
lightskyblue,201,
lightskyblue,202,
lightskyblue,203,
lightskyblue,204,
lightskyblue,176,
lightskyblue,177,
lightskyblue,178,
lightskyblue,179,
lightskyblue,180,
lightskyblue,181,
lightskyblue,182,
lightskyblue,183,
lightskyblue,184,
lightskyblue,185,
lightskyblue,186,
lightskyblue,187,
lightskyblue,188,
lightskyblue,189,
lightskyblue,161,
