green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,780,781,
gold,0,782,783,
gold,0,784,785,
gold,0,786,787,
gold,0,788,789,
gold,0,790,791,
gold,0,792,793,
gold,0,794,795,
gold,0,796,797,
gold,0,798,799,
gold,0,800,801,
gold,0,802,803,
gold,0,804,805,
gold,0,806,807,
gold,0,808,809,
gold,0,810,811,
gold,0,812,813,
gold,0,814,815,
gold,0,816,817,
gold,0,818,819,
gold,0,820,821,
gold,0,822,823,
gold,0,824,825,
gold,0,826,827,
gold,0,282,828,829,830,
gold,0,283,831,
gold,0,284,832,833,834,835,836,
gold,0,285,837,838,839,840,841,
gold,0,286,842,843,844,845,
gold,0,287,846,847,848,849,850,
gold,0,288,851,852,853,854,
gold,0,289,855,856,857,858,
gold,0,290,859,860,
gold,0,291,861,862,863,
gold,0,292,864,865,866,867,868,
gold,0,293,869,870,
gold,0,294,871,872,873,
gold,0,295,874,875,
gold,0,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,
gold,1,282,296,310,311,312,313,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,738,752,766,
gold,1,283,297,314,315,316,317,318,389,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,739,753,767,
gold,1,284,298,319,320,321,322,323,324,390,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,740,754,768,
gold,1,285,299,325,326,327,391,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,741,755,769,
gold,1,286,300,328,329,330,331,332,333,334,335,392,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,742,756,770,
gold,1,287,301,336,337,338,339,340,341,393,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,743,757,771,
gold,1,288,302,342,343,344,345,346,347,394,408,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,744,758,772,
gold,1,289,303,348,349,350,351,352,353,354,395,409,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,745,759,773,
gold,1,290,304,355,356,357,358,359,396,410,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,746,760,774,
gold,1,291,305,360,361,362,363,397,411,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,747,761,775,
gold,1,292,306,364,365,366,367,398,412,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,748,762,776,
gold,1,293,307,368,369,370,371,372,373,374,375,399,413,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,749,763,777,
gold,1,294,308,376,377,378,379,380,381,400,414,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,736,750,764,778,
gold,1,295,309,382,383,384,385,386,387,401,415,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,737,751,765,779,
gold,2,282,283,284,285,286,287,288,289,290,291,292,293,294,295,
gold,2,
gold,3,570,
gold,3,571,
red,3,572,
gold,3,573,
gold,3,574,
gold,3,575,
gold,3,576,
gold,3,577,
gold,3,578,
gold,3,579,
gold,3,580,
gold,3,581,
gold,3,582,
gold,3,583,
gold,3,766,767,768,769,770,771,772,773,774,775,776,777,778,779,
gold,4,556,
gold,4,557,
gold,4,558,
gold,4,559,
red,4,560,
gold,4,561,
gold,4,562,
gold,4,563,
gold,4,564,
gold,4,565,
gold,4,566,
gold,4,567,
gold,4,568,
gold,4,569,
gold,4,752,753,754,755,756,757,758,759,760,761,762,763,764,765,
gold,5,542,
gold,5,543,
red,5,544,
gold,5,545,
gold,5,546,
gold,5,547,
gold,5,548,
gold,5,549,
gold,5,550,
gold,5,551,
gold,5,552,
gold,5,553,
gold,5,554,
gold,5,555,
gold,5,738,739,740,741,742,743,744,745,746,747,748,749,750,751,
gold,6,528,
gold,6,529,
red,6,530,
gold,6,531,
gold,6,532,
gold,6,533,
gold,6,534,
gold,6,535,
gold,6,536,
gold,6,537,
gold,6,538,
gold,6,539,
gold,6,540,
gold,6,541,
gold,6,724,725,726,727,728,729,730,731,732,733,734,735,736,737,
gold,7,514,
gold,7,515,
gold,7,516,
gold,7,517,
gold,7,518,
red,7,519,
gold,7,520,
gold,7,521,
gold,7,522,
gold,7,523,
gold,7,524,
gold,7,525,
gold,7,526,
gold,7,527,
gold,7,710,711,712,713,714,715,716,717,718,719,720,721,722,723,
gold,8,500,
gold,8,501,
gold,8,502,
gold,8,503,
gold,8,504,
gold,8,505,
gold,8,506,
gold,8,507,
gold,8,508,
gold,8,509,
gold,8,510,
red,8,511,
gold,8,512,
gold,8,513,
gold,8,696,697,698,699,700,701,702,703,704,705,706,707,708,709,
gold,9,486,
gold,9,487,
gold,9,488,
gold,9,489,
gold,9,490,
gold,9,491,
gold,9,492,
gold,9,493,
gold,9,494,
gold,9,495,
red,9,496,
gold,9,497,
gold,9,498,
gold,9,499,
gold,9,682,683,684,685,686,687,688,689,690,691,692,693,694,695,
gold,10,472,
gold,10,473,
gold,10,474,
gold,10,475,
gold,10,476,
gold,10,477,
gold,10,478,
gold,10,479,
gold,10,480,
red,10,481,
gold,10,482,
gold,10,483,
gold,10,484,
gold,10,485,
gold,10,668,669,670,671,672,673,674,675,676,677,678,679,680,681,
gold,11,458,
gold,11,459,
gold,11,460,
gold,11,461,
gold,11,462,
gold,11,463,
gold,11,464,
gold,11,465,
red,11,466,
gold,11,467,
gold,11,468,
gold,11,469,
gold,11,470,
gold,11,471,
gold,11,654,655,656,657,658,659,660,661,662,663,664,665,666,667,
gold,12,444,
gold,12,445,
gold,12,446,
gold,12,447,
gold,12,448,
gold,12,449,
gold,12,450,
red,12,451,
gold,12,452,
gold,12,453,
gold,12,454,
gold,12,455,
gold,12,456,
gold,12,457,
gold,12,640,641,642,643,644,645,646,647,648,649,650,651,652,653,
gold,13,430,
gold,13,431,
gold,13,432,
gold,13,433,
gold,13,434,
gold,13,435,
gold,13,436,
gold,13,437,
gold,13,438,
gold,13,439,
gold,13,440,
gold,13,441,
gold,13,442,
red,13,443,
gold,13,626,627,628,629,630,631,632,633,634,635,636,637,638,639,
gold,14,416,
gold,14,417,
gold,14,418,
red,14,419,
gold,14,420,
gold,14,421,
gold,14,422,
gold,14,423,
gold,14,424,
gold,14,425,
gold,14,426,
gold,14,427,
gold,14,428,
gold,14,429,
gold,14,612,613,614,615,616,617,618,619,620,621,622,623,624,625,
gold,15,402,
gold,15,403,
gold,15,404,
gold,15,405,
gold,15,406,
gold,15,407,
gold,15,408,
gold,15,409,
