green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,824,825,
gold,0,826,827,
gold,0,828,829,
gold,0,830,831,
gold,0,832,833,
gold,0,834,835,
gold,0,836,837,
gold,0,838,839,
gold,0,840,841,
gold,0,842,843,
gold,0,844,845,
gold,0,846,847,
gold,0,848,849,
gold,0,850,851,
gold,0,852,853,
gold,0,854,855,
gold,0,856,857,
gold,0,858,859,
gold,0,860,861,
gold,0,862,863,
gold,0,864,865,
gold,0,866,867,
gold,0,868,869,
gold,0,870,871,
gold,0,298,872,873,874,
gold,0,299,875,
gold,0,300,876,877,878,879,880,
gold,0,301,881,882,883,884,885,
gold,0,302,886,887,888,889,
gold,0,303,890,891,892,893,894,
gold,0,304,895,896,897,898,
gold,0,305,899,900,901,902,
gold,0,306,903,904,
gold,0,307,905,906,907,
gold,0,308,908,909,910,911,912,
gold,0,309,913,914,
gold,0,310,915,916,917,
gold,0,311,918,919,
gold,0,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,
gold,1,298,312,326,327,328,329,404,418,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,740,754,768,782,796,810,
gold,1,299,313,330,331,332,333,334,405,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,741,755,769,783,797,811,
gold,1,300,314,335,336,337,338,339,340,406,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,742,756,770,784,798,812,
gold,1,301,315,341,342,343,407,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,743,757,771,785,799,813,
gold,1,302,316,344,345,346,347,348,349,350,351,408,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,744,758,772,786,800,814,
gold,1,303,317,352,353,354,355,356,357,409,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,745,759,773,787,801,815,
gold,1,304,318,358,359,360,361,362,363,410,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,746,760,774,788,802,816,
gold,1,305,319,364,365,366,367,368,369,370,411,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,747,761,775,789,803,817,
gold,1,306,320,371,372,373,374,375,412,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,748,762,776,790,804,818,
gold,1,307,321,376,377,378,379,413,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,749,763,777,791,805,819,
gold,1,308,322,380,381,382,383,414,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,736,750,764,778,792,806,820,
gold,1,309,323,384,385,386,387,388,389,390,391,415,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,737,751,765,779,793,807,821,
gold,1,310,324,392,393,394,395,396,397,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,738,752,766,780,794,808,822,
gold,1,311,325,398,399,400,401,402,403,417,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,739,753,767,781,795,809,823,
gold,2,298,299,300,301,302,303,304,305,306,307,308,309,310,311,
gold,2,
gold,3,600,
gold,3,601,
red,3,602,
gold,3,603,
gold,3,604,
gold,3,605,
gold,3,606,
gold,3,607,
gold,3,608,
gold,3,609,
gold,3,610,
gold,3,611,
gold,3,612,
gold,3,613,
gold,3,810,811,812,813,814,815,816,817,818,819,820,821,822,823,
gold,4,586,
gold,4,587,
gold,4,588,
gold,4,589,
red,4,590,
gold,4,591,
gold,4,592,
gold,4,593,
gold,4,594,
gold,4,595,
gold,4,596,
gold,4,597,
gold,4,598,
gold,4,599,
gold,4,796,797,798,799,800,801,802,803,804,805,806,807,808,809,
gold,5,572,
gold,5,573,
red,5,574,
gold,5,575,
gold,5,576,
gold,5,577,
gold,5,578,
gold,5,579,
gold,5,580,
gold,5,581,
gold,5,582,
gold,5,583,
gold,5,584,
gold,5,585,
gold,5,782,783,784,785,786,787,788,789,790,791,792,793,794,795,
gold,6,558,
gold,6,559,
red,6,560,
gold,6,561,
gold,6,562,
gold,6,563,
gold,6,564,
gold,6,565,
gold,6,566,
gold,6,567,
gold,6,568,
gold,6,569,
gold,6,570,
gold,6,571,
gold,6,768,769,770,771,772,773,774,775,776,777,778,779,780,781,
gold,7,544,
gold,7,545,
gold,7,546,
gold,7,547,
gold,7,548,
red,7,549,
gold,7,550,
gold,7,551,
gold,7,552,
gold,7,553,
gold,7,554,
gold,7,555,
gold,7,556,
gold,7,557,
gold,7,754,755,756,757,758,759,760,761,762,763,764,765,766,767,
gold,8,530,
gold,8,531,
gold,8,532,
gold,8,533,
gold,8,534,
gold,8,535,
gold,8,536,
gold,8,537,
gold,8,538,
gold,8,539,
gold,8,540,
red,8,541,
gold,8,542,
gold,8,543,
gold,8,740,741,742,743,744,745,746,747,748,749,750,751,752,753,
gold,9,516,
gold,9,517,
gold,9,518,
gold,9,519,
gold,9,520,
gold,9,521,
gold,9,522,
gold,9,523,
gold,9,524,
gold,9,525,
red,9,526,
gold,9,527,
gold,9,528,
gold,9,529,
gold,9,726,727,728,729,730,731,732,733,734,735,736,737,738,739,
gold,10,502,
gold,10,503,
gold,10,504,
gold,10,505,
gold,10,506,
gold,10,507,
gold,10,508,
gold,10,509,
gold,10,510,
red,10,511,
gold,10,512,
gold,10,513,
gold,10,514,
gold,10,515,
gold,10,712,713,714,715,716,717,718,719,720,721,722,723,724,725,
gold,11,488,
gold,11,489,
gold,11,490,
gold,11,491,
gold,11,492,
gold,11,493,
gold,11,494,
gold,11,495,
gold,11,496,
gold,11,497,
gold,11,498,
gold,11,499,
red,11,500,
gold,11,501,
gold,11,698,699,700,701,702,703,704,705,706,707,708,709,710,711,
gold,12,474,
gold,12,475,
gold,12,476,
gold,12,477,
gold,12,478,
gold,12,479,
gold,12,480,
gold,12,481,
red,12,482,
gold,12,483,
gold,12,484,
gold,12,485,
gold,12,486,
gold,12,487,
gold,12,684,685,686,687,688,689,690,691,692,693,694,695,696,697,
gold,13,460,
gold,13,461,
gold,13,462,
gold,13,463,
gold,13,464,
gold,13,465,
gold,13,466,
red,13,467,
gold,13,468,
gold,13,469,
gold,13,470,
gold,13,471,
gold,13,472,
gold,13,473,
gold,13,670,671,672,673,674,675,676,677,678,679,680,681,682,683,
gold,14,446,
gold,14,447,
gold,14,448,
gold,14,449,
gold,14,450,
gold,14,451,
gold,14,452,
gold,14,453,
gold,14,454,
gold,14,455,
gold,14,456,
gold,14,457,
gold,14,458,
red,14,459,
gold,14,656,657,658,659,660,661,662,663,664,665,666,667,668,669,
gold,15,432,
gold,15,433,
gold,15,434,
red,15,435,
gold,15,436,
gold,15,437,
gold,15,438,
gold,15,439,
gold,15,440,
gold,15,441,
gold,15,442,
gold,15,443,
gold,15,444,
gold,15,445,
