green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,868,869,
gold,0,870,871,
gold,0,872,873,
gold,0,874,875,
gold,0,876,877,
gold,0,878,879,
gold,0,880,881,
gold,0,882,883,
gold,0,884,885,
gold,0,886,887,
gold,0,888,889,
gold,0,890,891,
gold,0,892,893,
gold,0,894,895,
gold,0,896,897,
gold,0,898,899,
gold,0,900,901,
gold,0,902,903,
gold,0,904,905,
gold,0,906,907,
gold,0,908,909,
gold,0,910,911,
gold,0,912,913,
gold,0,914,915,
gold,0,314,916,917,918,
gold,0,315,919,
gold,0,316,920,921,922,923,924,
gold,0,317,925,926,927,928,929,
gold,0,318,930,931,932,933,
gold,0,319,934,935,936,937,938,
gold,0,320,939,940,941,942,
gold,0,321,943,944,945,946,
gold,0,322,947,948,
gold,0,323,949,950,951,
gold,0,324,952,953,954,955,956,
gold,0,325,957,958,
gold,0,326,959,960,961,
gold,0,327,962,963,
gold,0,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,
gold,1,314,328,342,343,344,345,420,434,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,742,756,770,784,798,812,826,840,854,
gold,1,315,329,346,347,348,349,350,421,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,743,757,771,785,799,813,827,841,855,
gold,1,316,330,351,352,353,354,355,356,422,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,744,758,772,786,800,814,828,842,856,
gold,1,317,331,357,358,359,423,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,745,759,773,787,801,815,829,843,857,
gold,1,318,332,360,361,362,363,364,365,366,367,424,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,746,760,774,788,802,816,830,844,858,
gold,1,319,333,368,369,370,371,372,373,425,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,747,761,775,789,803,817,831,845,859,
gold,1,320,334,374,375,376,377,378,379,426,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,748,762,776,790,804,818,832,846,860,
gold,1,321,335,380,381,382,383,384,385,386,427,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,749,763,777,791,805,819,833,847,861,
gold,1,322,336,387,388,389,390,391,428,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,736,750,764,778,792,806,820,834,848,862,
gold,1,323,337,392,393,394,395,429,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,737,751,765,779,793,807,821,835,849,863,
gold,1,324,338,396,397,398,399,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,738,752,766,780,794,808,822,836,850,864,
gold,1,325,339,400,401,402,403,404,405,406,407,431,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,739,753,767,781,795,809,823,837,851,865,
gold,1,326,340,408,409,410,411,412,413,432,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,740,754,768,782,796,810,824,838,852,866,
gold,1,327,341,414,415,416,417,418,419,433,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,741,755,769,783,797,811,825,839,853,867,
gold,2,314,315,316,317,318,319,320,321,322,323,324,325,326,327,
gold,2,
gold,3,630,
gold,3,631,
red,3,632,
gold,3,633,
gold,3,634,
gold,3,635,
gold,3,636,
gold,3,637,
gold,3,638,
gold,3,639,
gold,3,640,
gold,3,641,
gold,3,642,
gold,3,643,
gold,3,854,855,856,857,858,859,860,861,862,863,864,865,866,867,
gold,4,616,
gold,4,617,
gold,4,618,
gold,4,619,
red,4,620,
gold,4,621,
gold,4,622,
gold,4,623,
gold,4,624,
gold,4,625,
gold,4,626,
gold,4,627,
gold,4,628,
gold,4,629,
gold,4,840,841,842,843,844,845,846,847,848,849,850,851,852,853,
gold,5,602,
gold,5,603,
red,5,604,
gold,5,605,
gold,5,606,
gold,5,607,
gold,5,608,
gold,5,609,
gold,5,610,
gold,5,611,
gold,5,612,
gold,5,613,
gold,5,614,
gold,5,615,
gold,5,826,827,828,829,830,831,832,833,834,835,836,837,838,839,
gold,6,588,
gold,6,589,
red,6,590,
gold,6,591,
gold,6,592,
gold,6,593,
gold,6,594,
gold,6,595,
gold,6,596,
gold,6,597,
gold,6,598,
gold,6,599,
gold,6,600,
gold,6,601,
gold,6,812,813,814,815,816,817,818,819,820,821,822,823,824,825,
gold,7,574,
gold,7,575,
gold,7,576,
gold,7,577,
gold,7,578,
red,7,579,
gold,7,580,
gold,7,581,
gold,7,582,
gold,7,583,
gold,7,584,
gold,7,585,
gold,7,586,
gold,7,587,
gold,7,798,799,800,801,802,803,804,805,806,807,808,809,810,811,
gold,8,560,
gold,8,561,
gold,8,562,
gold,8,563,
gold,8,564,
gold,8,565,
gold,8,566,
gold,8,567,
gold,8,568,
gold,8,569,
gold,8,570,
red,8,571,
gold,8,572,
gold,8,573,
gold,8,784,785,786,787,788,789,790,791,792,793,794,795,796,797,
gold,9,546,
gold,9,547,
gold,9,548,
gold,9,549,
gold,9,550,
gold,9,551,
gold,9,552,
gold,9,553,
gold,9,554,
gold,9,555,
red,9,556,
gold,9,557,
gold,9,558,
gold,9,559,
gold,9,770,771,772,773,774,775,776,777,778,779,780,781,782,783,
gold,10,532,
gold,10,533,
gold,10,534,
gold,10,535,
gold,10,536,
gold,10,537,
gold,10,538,
gold,10,539,
gold,10,540,
red,10,541,
gold,10,542,
gold,10,543,
gold,10,544,
gold,10,545,
gold,10,756,757,758,759,760,761,762,763,764,765,766,767,768,769,
gold,11,518,
gold,11,519,
gold,11,520,
gold,11,521,
gold,11,522,
gold,11,523,
gold,11,524,
gold,11,525,
gold,11,526,
gold,11,527,
gold,11,528,
red,11,529,
gold,11,530,
gold,11,531,
gold,11,742,743,744,745,746,747,748,749,750,751,752,753,754,755,
gold,12,504,
gold,12,505,
gold,12,506,
gold,12,507,
gold,12,508,
gold,12,509,
gold,12,510,
gold,12,511,
gold,12,512,
gold,12,513,
gold,12,514,
gold,12,515,
red,12,516,
gold,12,517,
gold,12,728,729,730,731,732,733,734,735,736,737,738,739,740,741,
gold,13,490,
gold,13,491,
gold,13,492,
gold,13,493,
gold,13,494,
gold,13,495,
gold,13,496,
gold,13,497,
red,13,498,
gold,13,499,
gold,13,500,
gold,13,501,
gold,13,502,
gold,13,503,
gold,13,714,715,716,717,718,719,720,721,722,723,724,725,726,727,
gold,14,476,
gold,14,477,
gold,14,478,
gold,14,479,
gold,14,480,
gold,14,481,
gold,14,482,
red,14,483,
gold,14,484,
gold,14,485,
gold,14,486,
gold,14,487,
gold,14,488,
gold,14,489,
gold,14,700,701,702,703,704,705,706,707,708,709,710,711,712,713,
gold,15,462,
gold,15,463,
gold,15,464,
gold,15,465,
gold,15,466,
gold,15,467,
gold,15,468,
gold,15,469,
gold,15,470,
gold,15,471,
gold,15,472,
gold,15,473,
gold,15,474,
red,15,475,
gold,15,686,687,688,689,690,691,692,693,694,695,696,697,698,699,
gold,16,448,
gold,16,449,
gold,16,450,
red,16,451,
gold,16,452,
