green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,912,913,
gold,0,914,915,
gold,0,916,917,
gold,0,918,919,
gold,0,920,921,
gold,0,922,923,
gold,0,924,925,
gold,0,926,927,
gold,0,928,929,
gold,0,930,931,
gold,0,932,933,
gold,0,934,935,
gold,0,936,937,
gold,0,938,939,
gold,0,940,941,
gold,0,942,943,
gold,0,944,945,
gold,0,946,947,
gold,0,948,949,
gold,0,950,951,
gold,0,952,953,
gold,0,954,955,
gold,0,956,957,
gold,0,958,959,
gold,0,330,960,961,962,
gold,0,331,963,
gold,0,332,964,965,966,967,968,
gold,0,333,969,970,971,972,973,
gold,0,334,974,975,976,977,
gold,0,335,978,979,980,981,982,
gold,0,336,983,984,985,986,
gold,0,337,987,988,989,990,
gold,0,338,991,992,
gold,0,339,993,994,995,
gold,0,340,996,997,998,999,1000,
gold,0,341,1001,1002,
gold,0,342,1003,1004,1005,
gold,0,343,1006,1007,
gold,0,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,
gold,1,330,344,358,359,360,361,436,450,464,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,744,758,772,786,800,814,828,842,856,870,884,898,
gold,1,331,345,362,363,364,365,366,437,451,465,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,745,759,773,787,801,815,829,843,857,871,885,899,
gold,1,332,346,367,368,369,370,371,372,438,452,466,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,746,760,774,788,802,816,830,844,858,872,886,900,
gold,1,333,347,373,374,375,439,453,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,747,761,775,789,803,817,831,845,859,873,887,901,
gold,1,334,348,376,377,378,379,380,381,382,383,440,454,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,748,762,776,790,804,818,832,846,860,874,888,902,
gold,1,335,349,384,385,386,387,388,389,441,455,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,749,763,777,791,805,819,833,847,861,875,889,903,
gold,1,336,350,390,391,392,393,394,395,442,456,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,736,750,764,778,792,806,820,834,848,862,876,890,904,
gold,1,337,351,396,397,398,399,400,401,402,443,457,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,737,751,765,779,793,807,821,835,849,863,877,891,905,
gold,1,338,352,403,404,405,406,407,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,738,752,766,780,794,808,822,836,850,864,878,892,906,
gold,1,339,353,408,409,410,411,445,459,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,739,753,767,781,795,809,823,837,851,865,879,893,907,
gold,1,340,354,412,413,414,415,446,460,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,740,754,768,782,796,810,824,838,852,866,880,894,908,
gold,1,341,355,416,417,418,419,420,421,422,423,447,461,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,741,755,769,783,797,811,825,839,853,867,881,895,909,
gold,1,342,356,424,425,426,427,428,429,448,462,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,742,756,770,784,798,812,826,840,854,868,882,896,910,
gold,1,343,357,430,431,432,433,434,435,449,463,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,743,757,771,785,799,813,827,841,855,869,883,897,911,
gold,2,330,331,332,333,334,335,336,337,338,339,340,341,342,343,
gold,2,
gold,3,660,
gold,3,661,
red,3,662,
gold,3,663,
gold,3,664,
gold,3,665,
gold,3,666,
gold,3,667,
gold,3,668,
gold,3,669,
gold,3,670,
gold,3,671,
gold,3,672,
gold,3,673,
gold,3,898,899,900,901,902,903,904,905,906,907,908,909,910,911,
gold,4,646,
gold,4,647,
gold,4,648,
gold,4,649,
red,4,650,
gold,4,651,
gold,4,652,
gold,4,653,
gold,4,654,
gold,4,655,
gold,4,656,
gold,4,657,
gold,4,658,
gold,4,659,
gold,4,884,885,886,887,888,889,890,891,892,893,894,895,896,897,
gold,5,632,
gold,5,633,
red,5,634,
gold,5,635,
gold,5,636,
gold,5,637,
gold,5,638,
gold,5,639,
gold,5,640,
gold,5,641,
gold,5,642,
gold,5,643,
gold,5,644,
gold,5,645,
gold,5,870,871,872,873,874,875,876,877,878,879,880,881,882,883,
gold,6,618,
gold,6,619,
red,6,620,
gold,6,621,
gold,6,622,
gold,6,623,
gold,6,624,
gold,6,625,
gold,6,626,
gold,6,627,
gold,6,628,
gold,6,629,
gold,6,630,
gold,6,631,
gold,6,856,857,858,859,860,861,862,863,864,865,866,867,868,869,
gold,7,604,
gold,7,605,
gold,7,606,
gold,7,607,
gold,7,608,
red,7,609,
gold,7,610,
gold,7,611,
gold,7,612,
gold,7,613,
gold,7,614,
gold,7,615,
gold,7,616,
gold,7,617,
gold,7,842,843,844,845,846,847,848,849,850,851,852,853,854,855,
gold,8,590,
gold,8,591,
gold,8,592,
gold,8,593,
gold,8,594,
gold,8,595,
gold,8,596,
gold,8,597,
gold,8,598,
gold,8,599,
gold,8,600,
red,8,601,
gold,8,602,
gold,8,603,
gold,8,828,829,830,831,832,833,834,835,836,837,838,839,840,841,
gold,9,576,
gold,9,577,
gold,9,578,
gold,9,579,
gold,9,580,
gold,9,581,
gold,9,582,
gold,9,583,
gold,9,584,
gold,9,585,
red,9,586,
gold,9,587,
gold,9,588,
gold,9,589,
gold,9,814,815,816,817,818,819,820,821,822,823,824,825,826,827,
gold,10,562,
gold,10,563,
gold,10,564,
gold,10,565,
gold,10,566,
gold,10,567,
gold,10,568,
gold,10,569,
gold,10,570,
red,10,571,
gold,10,572,
gold,10,573,
gold,10,574,
gold,10,575,
gold,10,800,801,802,803,804,805,806,807,808,809,810,811,812,813,
gold,11,548,
gold,11,549,
gold,11,550,
gold,11,551,
gold,11,552,
gold,11,553,
gold,11,554,
gold,11,555,
gold,11,556,
gold,11,557,
gold,11,558,
red,11,559,
gold,11,560,
gold,11,561,
gold,11,786,787,788,789,790,791,792,793,794,795,796,797,798,799,
gold,12,534,
gold,12,535,
gold,12,536,
gold,12,537,
gold,12,538,
gold,12,539,
gold,12,540,
gold,12,541,
gold,12,542,
gold,12,543,
gold,12,544,
red,12,545,
gold,12,546,
gold,12,547,
gold,12,772,773,774,775,776,777,778,779,780,781,782,783,784,785,
gold,13,520,
gold,13,521,
gold,13,522,
gold,13,523,
gold,13,524,
gold,13,525,
gold,13,526,
gold,13,527,
gold,13,528,
gold,13,529,
gold,13,530,
gold,13,531,
red,13,532,
gold,13,533,
gold,13,758,759,760,761,762,763,764,765,766,767,768,769,770,771,
gold,14,506,
gold,14,507,
gold,14,508,
gold,14,509,
gold,14,510,
gold,14,511,
gold,14,512,
gold,14,513,
red,14,514,
gold,14,515,
gold,14,516,
gold,14,517,
gold,14,518,
gold,14,519,
gold,14,744,745,746,747,748,749,750,751,752,753,754,755,756,757,
gold,15,492,
gold,15,493,
gold,15,494,
gold,15,495,
gold,15,496,
gold,15,497,
gold,15,498,
red,15,499,
gold,15,500,
gold,15,501,
gold,15,502,
gold,15,503,
gold,15,504,
gold,15,505,
gold,15,730,731,732,733,734,735,736,737,738,739,740,741,742,743,
gold,16,478,
gold,16,479,
gold,16,480,
gold,16,481,
gold,16,482,
gold,16,483,
gold,16,484,
gold,16,485,
gold,16,486,
gold,16,487,
gold,16,488,
gold,16,489,
gold,16,490,
