green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,1000,1001,
gold,0,1002,1003,
gold,0,1004,1005,
gold,0,1006,1007,
gold,0,1008,1009,
gold,0,1010,1011,
gold,0,1012,1013,
gold,0,1014,1015,
gold,0,1016,1017,
gold,0,1018,1019,
gold,0,1020,1021,
gold,0,1022,1023,
gold,0,1024,1025,
gold,0,1026,1027,
gold,0,1028,1029,
gold,0,1030,1031,
gold,0,1032,1033,
gold,0,1034,1035,
gold,0,1036,1037,
gold,0,1038,1039,
gold,0,1040,1041,
gold,0,1042,1043,
gold,0,1044,1045,
gold,0,1046,1047,
gold,0,362,1048,1049,1050,
gold,0,363,1051,
gold,0,364,1052,1053,1054,1055,1056,
gold,0,365,1057,1058,1059,1060,1061,
gold,0,366,1062,1063,1064,1065,
gold,0,367,1066,1067,1068,1069,1070,
gold,0,368,1071,1072,1073,1074,
gold,0,369,1075,1076,1077,1078,
gold,0,370,1079,1080,
gold,0,371,1081,1082,1083,
gold,0,372,1084,1085,1086,1087,1088,
gold,0,373,1089,1090,
gold,0,374,1091,1092,1093,
gold,0,375,1094,1095,
gold,0,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,
gold,1,362,376,390,391,392,393,468,482,496,510,524,538,552,566,580,594,608,622,636,650,664,678,692,706,720,734,748,762,776,790,804,818,832,846,860,874,888,902,916,930,944,958,972,986,
gold,1,363,377,394,395,396,397,398,469,483,497,511,525,539,553,567,581,595,609,623,637,651,665,679,693,707,721,735,749,763,777,791,805,819,833,847,861,875,889,903,917,931,945,959,973,987,
gold,1,364,378,399,400,401,402,403,404,470,484,498,512,526,540,554,568,582,596,610,624,638,652,666,680,694,708,722,736,750,764,778,792,806,820,834,848,862,876,890,904,918,932,946,960,974,988,
gold,1,365,379,405,406,407,471,485,499,513,527,541,555,569,583,597,611,625,639,653,667,681,695,709,723,737,751,765,779,793,807,821,835,849,863,877,891,905,919,933,947,961,975,989,
gold,1,366,380,408,409,410,411,412,413,414,415,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668,682,696,710,724,738,752,766,780,794,808,822,836,850,864,878,892,906,920,934,948,962,976,990,
gold,1,367,381,416,417,418,419,420,421,473,487,501,515,529,543,557,571,585,599,613,627,641,655,669,683,697,711,725,739,753,767,781,795,809,823,837,851,865,879,893,907,921,935,949,963,977,991,
gold,1,368,382,422,423,424,425,426,427,474,488,502,516,530,544,558,572,586,600,614,628,642,656,670,684,698,712,726,740,754,768,782,796,810,824,838,852,866,880,894,908,922,936,950,964,978,992,
gold,1,369,383,428,429,430,431,432,433,434,475,489,503,517,531,545,559,573,587,601,615,629,643,657,671,685,699,713,727,741,755,769,783,797,811,825,839,853,867,881,895,909,923,937,951,965,979,993,
gold,1,370,384,435,436,437,438,439,476,490,504,518,532,546,560,574,588,602,616,630,644,658,672,686,700,714,728,742,756,770,784,798,812,826,840,854,868,882,896,910,924,938,952,966,980,994,
gold,1,371,385,440,441,442,443,477,491,505,519,533,547,561,575,589,603,617,631,645,659,673,687,701,715,729,743,757,771,785,799,813,827,841,855,869,883,897,911,925,939,953,967,981,995,
gold,1,372,386,444,445,446,447,478,492,506,520,534,548,562,576,590,604,618,632,646,660,674,688,702,716,730,744,758,772,786,800,814,828,842,856,870,884,898,912,926,940,954,968,982,996,
gold,1,373,387,448,449,450,451,452,453,454,455,479,493,507,521,535,549,563,577,591,605,619,633,647,661,675,689,703,717,731,745,759,773,787,801,815,829,843,857,871,885,899,913,927,941,955,969,983,997,
gold,1,374,388,456,457,458,459,460,461,480,494,508,522,536,550,564,578,592,606,620,634,648,662,676,690,704,718,732,746,760,774,788,802,816,830,844,858,872,886,900,914,928,942,956,970,984,998,
gold,1,375,389,462,463,464,465,466,467,481,495,509,523,537,551,565,579,593,607,621,635,649,663,677,691,705,719,733,747,761,775,789,803,817,831,845,859,873,887,901,915,929,943,957,971,985,999,
gold,2,362,363,364,365,366,367,368,369,370,371,372,373,374,375,
gold,2,
gold,3,720,
gold,3,721,
red,3,722,
gold,3,723,
gold,3,724,
gold,3,725,
gold,3,726,
gold,3,727,
gold,3,728,
gold,3,729,
gold,3,730,
gold,3,731,
gold,3,732,
gold,3,733,
gold,3,986,987,988,989,990,991,992,993,994,995,996,997,998,999,
gold,4,706,
gold,4,707,
gold,4,708,
gold,4,709,
red,4,710,
gold,4,711,
gold,4,712,
gold,4,713,
gold,4,714,
gold,4,715,
gold,4,716,
gold,4,717,
gold,4,718,
gold,4,719,
gold,4,972,973,974,975,976,977,978,979,980,981,982,983,984,985,
gold,5,692,
gold,5,693,
red,5,694,
gold,5,695,
gold,5,696,
gold,5,697,
gold,5,698,
gold,5,699,
gold,5,700,
gold,5,701,
gold,5,702,
gold,5,703,
gold,5,704,
gold,5,705,
gold,5,958,959,960,961,962,963,964,965,966,967,968,969,970,971,
gold,6,678,
gold,6,679,
red,6,680,
gold,6,681,
gold,6,682,
gold,6,683,
gold,6,684,
gold,6,685,
gold,6,686,
gold,6,687,
gold,6,688,
gold,6,689,
gold,6,690,
gold,6,691,
gold,6,944,945,946,947,948,949,950,951,952,953,954,955,956,957,
gold,7,664,
gold,7,665,
gold,7,666,
gold,7,667,
gold,7,668,
red,7,669,
gold,7,670,
gold,7,671,
gold,7,672,
gold,7,673,
gold,7,674,
gold,7,675,
gold,7,676,
gold,7,677,
gold,7,930,931,932,933,934,935,936,937,938,939,940,941,942,943,
gold,8,650,
gold,8,651,
gold,8,652,
gold,8,653,
gold,8,654,
gold,8,655,
gold,8,656,
gold,8,657,
gold,8,658,
gold,8,659,
gold,8,660,
red,8,661,
gold,8,662,
gold,8,663,
gold,8,916,917,918,919,920,921,922,923,924,925,926,927,928,929,
gold,9,636,
gold,9,637,
gold,9,638,
gold,9,639,
gold,9,640,
gold,9,641,
gold,9,642,
gold,9,643,
gold,9,644,
gold,9,645,
red,9,646,
gold,9,647,
gold,9,648,
gold,9,649,
gold,9,902,903,904,905,906,907,908,909,910,911,912,913,914,915,
gold,10,622,
gold,10,623,
gold,10,624,
gold,10,625,
gold,10,626,
gold,10,627,
gold,10,628,
gold,10,629,
gold,10,630,
red,10,631,
gold,10,632,
gold,10,633,
gold,10,634,
gold,10,635,
gold,10,888,889,890,891,892,893,894,895,896,897,898,899,900,901,
gold,11,608,
gold,11,609,
gold,11,610,
gold,11,611,
gold,11,612,
gold,11,613,
gold,11,614,
gold,11,615,
gold,11,616,
gold,11,617,
red,11,618,
gold,11,619,
gold,11,620,
gold,11,621,
gold,11,874,875,876,877,878,879,880,881,882,883,884,885,886,887,
gold,12,594,
gold,12,595,
gold,12,596,
gold,12,597,
gold,12,598,
gold,12,599,
gold,12,600,
gold,12,601,
gold,12,602,
gold,12,603,
red,12,604,
gold,12,605,
gold,12,606,
gold,12,607,
gold,12,860,861,862,863,864,865,866,867,868,869,870,871,872,873,
gold,13,580,
gold,13,581,
gold,13,582,
gold,13,583,
gold,13,584,
gold,13,585,
gold,13,586,
gold,13,587,
gold,13,588,
gold,13,589,
gold,13,590,
red,13,591,
gold,13,592,
gold,13,593,
gold,13,846,847,848,849,850,851,852,853,854,855,856,857,858,859,
gold,14,566,
gold,14,567,
gold,14,568,
gold,14,569,
gold,14,570,
gold,14,571,
gold,14,572,
gold,14,573,
gold,14,574,
gold,14,575,
gold,14,576,
red,14,577,
gold,14,578,
gold,14,579,
gold,14,832,833,834,835,836,837,838,839,840,841,842,843,844,845,
gold,15,552,
gold,15,553,
gold,15,554,
gold,15,555,
gold,15,556,
gold,15,557,
gold,15,558,
gold,15,559,
gold,15,560,
gold,15,561,
gold,15,562,
gold,15,563,
red,15,564,
gold,15,565,
gold,15,818,819,820,821,822,823,824,825,826,827,828,829,830,831,
gold,16,538,
gold,16,539,
gold,16,540,
gold,16,541,
gold,16,542,
gold,16,543,
gold,16,544,
gold,16,545,
red,16,546,
gold,16,547,
gold,16,548,
gold,16,549,
gold,16,550,
gold,16,551,
gold,16,804,805,806,807,808,809,810,811,812,813,814,815,816,817,
gold,17,524,
gold,17,525,
gold,17,526,
gold,17,527,
gold,17,528,
gold,17,529,
gold,17,530,
red,17,531,
gold,17,532,
gold,17,533,
gold,17,534,
gold,17,535,
gold,17,536,
gold,17,537,
gold,17,790,791,792,793,794,795,796,797,798,799,800,801,802,803,
gold,18,510,
gold,18,511,
gold,18,512,
