./floortile-generator.py <name> <num_rows> <num_columns> <num_robots> <mode_flag(seq|time)> [<seed>]
p0.pddl p0.pddl 2 2 2 seq 0
p1.pddl p1.pddl 2 2 2 seq 1
p2.pddl p2.pddl 2 2 2 seq 2
p3.pddl p3.pddl 2 2 2 seq 3
p4.pddl p4.pddl 2 2 2 seq 4
p5.pddl p5.pddl 2 2 2 seq 5
p6.pddl p6.pddl 2 2 2 seq 6
p7.pddl p7.pddl 2 2 2 seq 7
p8.pddl p8.pddl 2 2 2 seq 8
p9.pddl p9.pddl 2 2 2 seq 9
p10.pddl p10.pddl 2 2 2 seq 10
p11.pddl p11.pddl 2 3 2 seq 0
p12.pddl p12.pddl 2 3 2 seq 1
p13.pddl p13.pddl 2 3 2 seq 2
p14.pddl p14.pddl 2 3 2 seq 3
p15.pddl p15.pddl 2 3 2 seq 4
p16.pddl p16.pddl 2 3 2 seq 5
p17.pddl p17.pddl 2 3 2 seq 6
p18.pddl p18.pddl 2 3 2 seq 7
p19.pddl p19.pddl 2 3 2 seq 8
p20.pddl p20.pddl 2 3 2 seq 9
p21.pddl p21.pddl 2 3 2 seq 10
p22.pddl p22.pddl 2 4 2 seq 0
p23.pddl p23.pddl 2 4 2 seq 1
p24.pddl p24.pddl 2 4 2 seq 2
p25.pddl p25.pddl 2 4 2 seq 3
p26.pddl p26.pddl 2 4 2 seq 4
p27.pddl p27.pddl 2 4 2 seq 5
p28.pddl p28.pddl 2 4 2 seq 6
p29.pddl p29.pddl 2 4 2 seq 7
p30.pddl p30.pddl 2 4 2 seq 8
p31.pddl p31.pddl 2 4 2 seq 9
p32.pddl p32.pddl 2 4 2 seq 10
p33.pddl p33.pddl 2 5 2 seq 0
p34.pddl p34.pddl 2 5 2 seq 1
p35.pddl p35.pddl 2 5 2 seq 2
p36.pddl p36.pddl 2 5 2 seq 3
p37.pddl p37.pddl 2 5 2 seq 4
p38.pddl p38.pddl 2 5 2 seq 5
p39.pddl p39.pddl 2 5 2 seq 6
p40.pddl p40.pddl 2 5 2 seq 7
p41.pddl p41.pddl 2 5 2 seq 8
p42.pddl p42.pddl 2 5 2 seq 9
p43.pddl p43.pddl 2 5 2 seq 10
p44.pddl p44.pddl 3 3 2 seq 0
p45.pddl p45.pddl 3 3 2 seq 1
p46.pddl p46.pddl 3 3 2 seq 2
p47.pddl p47.pddl 3 3 2 seq 3
p48.pddl p48.pddl 3 3 2 seq 4
p49.pddl p49.pddl 3 3 2 seq 5
p50.pddl p50.pddl 3 3 2 seq 6
p51.pddl p51.pddl 3 3 2 seq 7
p52.pddl p52.pddl 3 3 2 seq 8
p53.pddl p53.pddl 3 3 2 seq 9
p54.pddl p54.pddl 3 3 2 seq 10
p55.pddl p55.pddl 3 4 2 seq 0
p56.pddl p56.pddl 3 4 2 seq 1
p57.pddl p57.pddl 3 4 2 seq 2
p58.pddl p58.pddl 3 4 2 seq 3
p59.pddl p59.pddl 3 4 2 seq 4
p60.pddl p60.pddl 3 4 2 seq 5
p61.pddl p61.pddl 3 4 2 seq 6
p62.pddl p62.pddl 3 4 2 seq 7
