usage: ./gripper -n <#balls>
p0.pddl, -n 2
p1.pddl, -n 3
p2.pddl, -n 4
p3.pddl, -n 5
p4.pddl, -n 6
p5.pddl, -n 7
p6.pddl, -n 8
p7.pddl, -n 9
p8.pddl, -n 10
p9.pddl, -n 11
p10.pddl, -n 12
p11.pddl, -n 13
p12.pddl, -n 14
p13.pddl, -n 15
p14.pddl, -n 16
p15.pddl, -n 17
p16.pddl, -n 18
p17.pddl, -n 19
p18.pddl, -n 20
p19.pddl, -n 21
p20.pddl, -n 22
p21.pddl, -n 23
p22.pddl, -n 24
p23.pddl, -n 25
p24.pddl, -n 26
p25.pddl, -n 27
p26.pddl, -n 28
p27.pddl, -n 29
p28.pddl, -n 30
p29.pddl, -n 31
p30.pddl, -n 32
p31.pddl, -n 33
p32.pddl, -n 34
p33.pddl, -n 35
p34.pddl, -n 36
p35.pddl, -n 37
p36.pddl, -n 38
p37.pddl, -n 39
p38.pddl, -n 40
p39.pddl, -n 41
p40.pddl, -n 42
p41.pddl, -n 43
p42.pddl, -n 44
p43.pddl, -n 45
p44.pddl, -n 46
p45.pddl, -n 47
p46.pddl, -n 48
p47.pddl, -n 49
p48.pddl, -n 50
p49.pddl, -n 51
p50.pddl, -n 52
p51.pddl, -n 53
p52.pddl, -n 54
p53.pddl, -n 55
p54.pddl, -n 56
p55.pddl, -n 57
p56.pddl, -n 58
p57.pddl, -n 59
p58.pddl, -n 60
p59.pddl, -n 61
p60.pddl, -n 62
p61.pddl, -n 63
p62.pddl, -n 64
p63.pddl, -n 65
p64.pddl, -n 66
p65.pddl, -n 67
p66.pddl, -n 68
p67.pddl, -n 69
p68.pddl, -n 70
p69.pddl, -n 71
p70.pddl, -n 72
p71.pddl, -n 73
p72.pddl, -n 74
p73.pddl, -n 75
p74.pddl, -n 76
p75.pddl, -n 77
p76.pddl, -n 78
p77.pddl, -n 79
p78.pddl, -n 80
p79.pddl, -n 81
p80.pddl, -n 82
p81.pddl, -n 83
p82.pddl, -n 84
p83.pddl, -n 85
p84.pddl, -n 86
p85.pddl, -n 87
p86.pddl, -n 88
p87.pddl, -n 89
p88.pddl, -n 90
p89.pddl, -n 91
p90.pddl, -n 92
p91.pddl, -n 93
p92.pddl, -n 94
p93.pddl, -n 95
p94.pddl, -n 96
p95.pddl, -n 97
p96.pddl, -n 98
p97.pddl, -n 99
p98.pddl, -n 100
