green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,79,80,83,84,87,88,91,92,95,96,99,100,103,104,107,108,111,112,115,116,119,120,123,124,127,129,130,133,134,137,138,141,142,145,146,149,150,153,154,157,158,161,162,165,166,169,170,173,174,
gold,0,81,82,85,86,89,90,93,94,97,98,101,102,105,106,109,110,113,114,117,118,121,122,125,126,128,131,132,135,136,139,140,143,144,147,148,151,152,155,156,159,160,163,164,167,168,171,172,175,176,
gold,1,79,81,
gold,1,83,85,
gold,1,87,89,
gold,1,91,93,
gold,1,95,97,
gold,1,99,101,
gold,1,103,105,
gold,1,107,109,
gold,1,111,113,
gold,1,115,117,
gold,1,119,121,
gold,1,123,125,
gold,1,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,
gold,2,80,82,
gold,2,84,86,
gold,2,88,90,
gold,2,92,94,
gold,2,96,98,
gold,2,100,102,
gold,2,104,106,
gold,2,108,110,
gold,2,112,114,
gold,2,116,118,
gold,2,120,122,
gold,2,124,126,
gold,2,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,
gold,3,129,130,
red,3,131,132,
gold,3,
gold,4,133,134,
red,4,135,136,
gold,4,
gold,5,137,138,
red,5,139,140,
gold,5,
gold,6,141,142,
red,6,143,144,
gold,6,
gold,7,145,146,
red,7,147,148,
gold,7,
gold,8,149,150,
red,8,151,152,
gold,8,
gold,9,153,154,
red,9,155,156,
gold,9,
gold,10,157,158,
red,10,159,160,
gold,10,
gold,11,161,162,
red,11,163,164,
gold,11,
gold,12,165,166,
red,12,167,168,
gold,12,
gold,13,169,170,
red,13,171,172,
gold,13,
gold,14,173,174,
red,14,175,176,
gold,14,
lightskyblue,43,29,
lightskyblue,43,42,
lightskyblue,44,29,
lightskyblue,44,42,
lightskyblue,46,29,
lightskyblue,46,42,
lightskyblue,47,29,
lightskyblue,47,42,
lightskyblue,49,29,
lightskyblue,49,42,
lightskyblue,50,29,
lightskyblue,50,42,
lightskyblue,52,29,
lightskyblue,52,42,
lightskyblue,53,29,
lightskyblue,53,42,
lightskyblue,55,29,
lightskyblue,55,42,
lightskyblue,56,29,
lightskyblue,56,42,
lightskyblue,58,29,
lightskyblue,58,42,
lightskyblue,59,29,
lightskyblue,59,42,
lightskyblue,61,29,
lightskyblue,61,42,
lightskyblue,62,29,
lightskyblue,62,42,
lightskyblue,64,29,
lightskyblue,64,42,
lightskyblue,65,29,
lightskyblue,65,42,
lightskyblue,67,29,
lightskyblue,67,42,
lightskyblue,68,29,
lightskyblue,68,42,
lightskyblue,70,29,
lightskyblue,70,42,
lightskyblue,71,29,
lightskyblue,71,42,
lightskyblue,73,29,
lightskyblue,73,42,
lightskyblue,74,29,
lightskyblue,74,42,
lightskyblue,76,29,
lightskyblue,76,42,
lightskyblue,77,29,
lightskyblue,77,42,
lightskyblue,16,
lightskyblue,15,
lightskyblue,45,17,
lightskyblue,45,30,
lightskyblue,45,17,
lightskyblue,45,30,
lightskyblue,48,18,
lightskyblue,48,31,
lightskyblue,48,18,
lightskyblue,48,31,
lightskyblue,51,19,
lightskyblue,51,32,
lightskyblue,51,19,
lightskyblue,51,32,
lightskyblue,54,20,
lightskyblue,54,33,
lightskyblue,54,20,
lightskyblue,54,33,
lightskyblue,57,21,
lightskyblue,57,34,
lightskyblue,57,21,
lightskyblue,57,34,
lightskyblue,60,22,
lightskyblue,60,35,
lightskyblue,60,22,
lightskyblue,60,35,
lightskyblue,63,23,
lightskyblue,63,36,
lightskyblue,63,23,
lightskyblue,63,36,
lightskyblue,66,24,
lightskyblue,66,37,
lightskyblue,66,24,
lightskyblue,66,37,
lightskyblue,69,25,
lightskyblue,69,38,
lightskyblue,69,25,
lightskyblue,69,38,
lightskyblue,72,26,
lightskyblue,72,39,
lightskyblue,72,26,
lightskyblue,72,39,
lightskyblue,75,27,
lightskyblue,75,40,
lightskyblue,75,27,
lightskyblue,75,40,
lightskyblue,78,28,
lightskyblue,78,41,
lightskyblue,78,28,
lightskyblue,78,41,
