green,
green,
green,
green,
green,
green,
green,
gold,0,31,32,35,36,39,40,43,44,47,49,50,53,54,57,58,61,62,
gold,0,33,34,37,38,41,42,45,46,48,51,52,55,56,59,60,63,64,
gold,1,31,33,
gold,1,35,37,
gold,1,39,41,
gold,1,43,45,
gold,1,49,51,53,55,57,59,61,63,
gold,2,32,34,
gold,2,36,38,
gold,2,40,42,
gold,2,44,46,
gold,2,50,52,54,56,58,60,62,64,
gold,3,49,50,
red,3,51,52,
gold,3,
gold,4,53,54,
red,4,55,56,
gold,4,
gold,5,57,58,
red,5,59,60,
gold,5,
gold,6,61,62,
red,6,63,64,
gold,6,
lightskyblue,19,13,
lightskyblue,19,18,
lightskyblue,20,13,
lightskyblue,20,18,
lightskyblue,22,13,
lightskyblue,22,18,
lightskyblue,23,13,
lightskyblue,23,18,
lightskyblue,25,13,
lightskyblue,25,18,
lightskyblue,26,13,
lightskyblue,26,18,
lightskyblue,28,13,
lightskyblue,28,18,
lightskyblue,29,13,
lightskyblue,29,18,
lightskyblue,8,
lightskyblue,7,
lightskyblue,21,9,
lightskyblue,21,14,
lightskyblue,21,9,
lightskyblue,21,14,
lightskyblue,24,10,
lightskyblue,24,15,
lightskyblue,24,10,
lightskyblue,24,15,
lightskyblue,27,11,
lightskyblue,27,16,
lightskyblue,27,11,
lightskyblue,27,16,
lightskyblue,30,12,
lightskyblue,30,17,
lightskyblue,30,12,
lightskyblue,30,17,
