green,
green,
green,
green,
green,
green,
green,
green,
gold,0,37,38,41,42,45,46,49,50,53,54,57,59,60,63,64,67,68,71,72,75,76,
gold,0,39,40,43,44,47,48,51,52,55,56,58,61,62,65,66,69,70,73,74,77,78,
gold,1,37,39,
gold,1,41,43,
gold,1,45,47,
gold,1,49,51,
gold,1,53,55,
gold,1,59,61,63,65,67,69,71,73,75,77,
gold,2,38,40,
gold,2,42,44,
gold,2,46,48,
gold,2,50,52,
gold,2,54,56,
gold,2,60,62,64,66,68,70,72,74,76,78,
gold,3,59,60,
red,3,61,62,
gold,3,
gold,4,63,64,
red,4,65,66,
gold,4,
gold,5,67,68,
red,5,69,70,
gold,5,
gold,6,71,72,
red,6,73,74,
gold,6,
gold,7,75,76,
red,7,77,78,
gold,7,
lightskyblue,22,15,
lightskyblue,22,21,
lightskyblue,23,15,
lightskyblue,23,21,
lightskyblue,25,15,
lightskyblue,25,21,
lightskyblue,26,15,
lightskyblue,26,21,
lightskyblue,28,15,
lightskyblue,28,21,
lightskyblue,29,15,
lightskyblue,29,21,
lightskyblue,31,15,
lightskyblue,31,21,
lightskyblue,32,15,
lightskyblue,32,21,
lightskyblue,34,15,
lightskyblue,34,21,
lightskyblue,35,15,
lightskyblue,35,21,
lightskyblue,9,
lightskyblue,8,
lightskyblue,24,10,
lightskyblue,24,16,
lightskyblue,24,10,
lightskyblue,24,16,
lightskyblue,27,11,
lightskyblue,27,17,
lightskyblue,27,11,
lightskyblue,27,17,
lightskyblue,30,12,
lightskyblue,30,18,
lightskyblue,30,12,
lightskyblue,30,18,
lightskyblue,33,13,
lightskyblue,33,19,
lightskyblue,33,13,
lightskyblue,33,19,
lightskyblue,36,14,
lightskyblue,36,20,
lightskyblue,36,14,
lightskyblue,36,20,
