green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,43,44,47,48,51,52,55,56,59,60,63,64,67,69,70,73,74,77,78,81,82,85,86,89,90,
gold,0,45,46,49,50,53,54,57,58,61,62,65,66,68,71,72,75,76,79,80,83,84,87,88,91,92,
gold,1,43,45,
gold,1,47,49,
gold,1,51,53,
gold,1,55,57,
gold,1,59,61,
gold,1,63,65,
gold,1,69,71,73,75,77,79,81,83,85,87,89,91,
gold,2,44,46,
gold,2,48,50,
gold,2,52,54,
gold,2,56,58,
gold,2,60,62,
gold,2,64,66,
gold,2,70,72,74,76,78,80,82,84,86,88,90,92,
gold,3,69,70,
red,3,71,72,
gold,3,
gold,4,73,74,
red,4,75,76,
gold,4,
gold,5,77,78,
red,5,79,80,
gold,5,
gold,6,81,82,
red,6,83,84,
gold,6,
gold,7,85,86,
red,7,87,88,
gold,7,
gold,8,89,90,
red,8,91,92,
gold,8,
lightskyblue,25,17,
lightskyblue,25,24,
lightskyblue,26,17,
lightskyblue,26,24,
lightskyblue,28,17,
lightskyblue,28,24,
lightskyblue,29,17,
lightskyblue,29,24,
lightskyblue,31,17,
lightskyblue,31,24,
lightskyblue,32,17,
lightskyblue,32,24,
lightskyblue,34,17,
lightskyblue,34,24,
lightskyblue,35,17,
lightskyblue,35,24,
lightskyblue,37,17,
lightskyblue,37,24,
lightskyblue,38,17,
lightskyblue,38,24,
lightskyblue,40,17,
lightskyblue,40,24,
lightskyblue,41,17,
lightskyblue,41,24,
lightskyblue,10,
lightskyblue,9,
lightskyblue,27,11,
lightskyblue,27,18,
lightskyblue,27,11,
lightskyblue,27,18,
lightskyblue,30,12,
lightskyblue,30,19,
lightskyblue,30,12,
lightskyblue,30,19,
lightskyblue,33,13,
lightskyblue,33,20,
lightskyblue,33,13,
lightskyblue,33,20,
lightskyblue,36,14,
lightskyblue,36,21,
lightskyblue,36,14,
lightskyblue,36,21,
lightskyblue,39,15,
lightskyblue,39,22,
lightskyblue,39,15,
lightskyblue,39,22,
lightskyblue,42,16,
lightskyblue,42,23,
lightskyblue,42,16,
lightskyblue,42,23,
