green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,49,50,53,54,57,58,61,62,65,66,69,70,73,74,77,79,80,83,84,87,88,91,92,95,96,99,100,103,104,
gold,0,51,52,55,56,59,60,63,64,67,68,71,72,75,76,78,81,82,85,86,89,90,93,94,97,98,101,102,105,106,
gold,1,49,51,
gold,1,53,55,
gold,1,57,59,
gold,1,61,63,
gold,1,65,67,
gold,1,69,71,
gold,1,73,75,
gold,1,79,81,83,85,87,89,91,93,95,97,99,101,103,105,
gold,2,50,52,
gold,2,54,56,
gold,2,58,60,
gold,2,62,64,
gold,2,66,68,
gold,2,70,72,
gold,2,74,76,
gold,2,80,82,84,86,88,90,92,94,96,98,100,102,104,106,
gold,3,79,80,
red,3,81,82,
gold,3,
gold,4,83,84,
red,4,85,86,
gold,4,
gold,5,87,88,
red,5,89,90,
gold,5,
gold,6,91,92,
red,6,93,94,
gold,6,
gold,7,95,96,
red,7,97,98,
gold,7,
gold,8,99,100,
red,8,101,102,
gold,8,
gold,9,103,104,
red,9,105,106,
gold,9,
lightskyblue,28,19,
lightskyblue,28,27,
lightskyblue,29,19,
lightskyblue,29,27,
lightskyblue,31,19,
lightskyblue,31,27,
lightskyblue,32,19,
lightskyblue,32,27,
lightskyblue,34,19,
lightskyblue,34,27,
lightskyblue,35,19,
lightskyblue,35,27,
lightskyblue,37,19,
lightskyblue,37,27,
lightskyblue,38,19,
lightskyblue,38,27,
lightskyblue,40,19,
lightskyblue,40,27,
lightskyblue,41,19,
lightskyblue,41,27,
lightskyblue,43,19,
lightskyblue,43,27,
lightskyblue,44,19,
lightskyblue,44,27,
lightskyblue,46,19,
lightskyblue,46,27,
lightskyblue,47,19,
lightskyblue,47,27,
lightskyblue,11,
lightskyblue,10,
lightskyblue,30,12,
lightskyblue,30,20,
lightskyblue,30,12,
lightskyblue,30,20,
lightskyblue,33,13,
lightskyblue,33,21,
lightskyblue,33,13,
lightskyblue,33,21,
lightskyblue,36,14,
lightskyblue,36,22,
lightskyblue,36,14,
lightskyblue,36,22,
lightskyblue,39,15,
lightskyblue,39,23,
lightskyblue,39,15,
lightskyblue,39,23,
lightskyblue,42,16,
lightskyblue,42,24,
lightskyblue,42,16,
lightskyblue,42,24,
lightskyblue,45,17,
lightskyblue,45,25,
lightskyblue,45,17,
lightskyblue,45,25,
lightskyblue,48,18,
lightskyblue,48,26,
lightskyblue,48,18,
lightskyblue,48,26,
