green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,55,56,59,60,63,64,67,68,71,72,75,76,79,80,83,84,87,89,90,93,94,97,98,101,102,105,106,109,110,113,114,117,118,
gold,0,57,58,61,62,65,66,69,70,73,74,77,78,81,82,85,86,88,91,92,95,96,99,100,103,104,107,108,111,112,115,116,119,120,
gold,1,55,57,
gold,1,59,61,
gold,1,63,65,
gold,1,67,69,
gold,1,71,73,
gold,1,75,77,
gold,1,79,81,
gold,1,83,85,
gold,1,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,
gold,2,56,58,
gold,2,60,62,
gold,2,64,66,
gold,2,68,70,
gold,2,72,74,
gold,2,76,78,
gold,2,80,82,
gold,2,84,86,
gold,2,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,
gold,3,89,90,
red,3,91,92,
gold,3,
gold,4,93,94,
red,4,95,96,
gold,4,
gold,5,97,98,
red,5,99,100,
gold,5,
gold,6,101,102,
red,6,103,104,
gold,6,
gold,7,105,106,
red,7,107,108,
gold,7,
gold,8,109,110,
red,8,111,112,
gold,8,
gold,9,113,114,
red,9,115,116,
gold,9,
gold,10,117,118,
red,10,119,120,
gold,10,
lightskyblue,31,21,
lightskyblue,31,30,
lightskyblue,32,21,
lightskyblue,32,30,
lightskyblue,34,21,
lightskyblue,34,30,
lightskyblue,35,21,
lightskyblue,35,30,
lightskyblue,37,21,
lightskyblue,37,30,
lightskyblue,38,21,
lightskyblue,38,30,
lightskyblue,40,21,
lightskyblue,40,30,
lightskyblue,41,21,
lightskyblue,41,30,
lightskyblue,43,21,
lightskyblue,43,30,
lightskyblue,44,21,
lightskyblue,44,30,
lightskyblue,46,21,
lightskyblue,46,30,
lightskyblue,47,21,
lightskyblue,47,30,
lightskyblue,49,21,
lightskyblue,49,30,
lightskyblue,50,21,
lightskyblue,50,30,
lightskyblue,52,21,
lightskyblue,52,30,
lightskyblue,53,21,
lightskyblue,53,30,
lightskyblue,12,
lightskyblue,11,
lightskyblue,33,13,
lightskyblue,33,22,
lightskyblue,33,13,
lightskyblue,33,22,
lightskyblue,36,14,
lightskyblue,36,23,
lightskyblue,36,14,
lightskyblue,36,23,
lightskyblue,39,15,
lightskyblue,39,24,
lightskyblue,39,15,
lightskyblue,39,24,
lightskyblue,42,16,
lightskyblue,42,25,
lightskyblue,42,16,
lightskyblue,42,25,
lightskyblue,45,17,
lightskyblue,45,26,
lightskyblue,45,17,
lightskyblue,45,26,
lightskyblue,48,18,
lightskyblue,48,27,
lightskyblue,48,18,
lightskyblue,48,27,
lightskyblue,51,19,
lightskyblue,51,28,
lightskyblue,51,19,
lightskyblue,51,28,
lightskyblue,54,20,
lightskyblue,54,29,
lightskyblue,54,20,
lightskyblue,54,29,
