green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,61,62,65,66,69,70,73,74,77,78,81,82,85,86,89,90,93,94,97,99,100,103,104,107,108,111,112,115,116,119,120,123,124,127,128,131,132,
gold,0,63,64,67,68,71,72,75,76,79,80,83,84,87,88,91,92,95,96,98,101,102,105,106,109,110,113,114,117,118,121,122,125,126,129,130,133,134,
gold,1,61,63,
gold,1,65,67,
gold,1,69,71,
gold,1,73,75,
gold,1,77,79,
gold,1,81,83,
gold,1,85,87,
gold,1,89,91,
gold,1,93,95,
gold,1,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,
gold,2,62,64,
gold,2,66,68,
gold,2,70,72,
gold,2,74,76,
gold,2,78,80,
gold,2,82,84,
gold,2,86,88,
gold,2,90,92,
gold,2,94,96,
gold,2,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,
gold,3,99,100,
red,3,101,102,
gold,3,
gold,4,103,104,
red,4,105,106,
gold,4,
gold,5,107,108,
red,5,109,110,
gold,5,
gold,6,111,112,
red,6,113,114,
gold,6,
gold,7,115,116,
red,7,117,118,
gold,7,
gold,8,119,120,
red,8,121,122,
gold,8,
gold,9,123,124,
red,9,125,126,
gold,9,
gold,10,127,128,
red,10,129,130,
gold,10,
gold,11,131,132,
red,11,133,134,
gold,11,
lightskyblue,34,23,
lightskyblue,34,33,
lightskyblue,35,23,
lightskyblue,35,33,
lightskyblue,37,23,
lightskyblue,37,33,
lightskyblue,38,23,
lightskyblue,38,33,
lightskyblue,40,23,
lightskyblue,40,33,
lightskyblue,41,23,
lightskyblue,41,33,
lightskyblue,43,23,
lightskyblue,43,33,
lightskyblue,44,23,
lightskyblue,44,33,
lightskyblue,46,23,
lightskyblue,46,33,
lightskyblue,47,23,
lightskyblue,47,33,
lightskyblue,49,23,
lightskyblue,49,33,
lightskyblue,50,23,
lightskyblue,50,33,
lightskyblue,52,23,
lightskyblue,52,33,
lightskyblue,53,23,
lightskyblue,53,33,
lightskyblue,55,23,
lightskyblue,55,33,
lightskyblue,56,23,
lightskyblue,56,33,
lightskyblue,58,23,
lightskyblue,58,33,
lightskyblue,59,23,
lightskyblue,59,33,
lightskyblue,13,
lightskyblue,12,
lightskyblue,36,14,
lightskyblue,36,24,
lightskyblue,36,14,
lightskyblue,36,24,
lightskyblue,39,15,
lightskyblue,39,25,
lightskyblue,39,15,
lightskyblue,39,25,
lightskyblue,42,16,
lightskyblue,42,26,
lightskyblue,42,16,
lightskyblue,42,26,
lightskyblue,45,17,
lightskyblue,45,27,
lightskyblue,45,17,
lightskyblue,45,27,
lightskyblue,48,18,
lightskyblue,48,28,
lightskyblue,48,18,
lightskyblue,48,28,
lightskyblue,51,19,
lightskyblue,51,29,
lightskyblue,51,19,
lightskyblue,51,29,
lightskyblue,54,20,
lightskyblue,54,30,
lightskyblue,54,20,
lightskyblue,54,30,
lightskyblue,57,21,
lightskyblue,57,31,
lightskyblue,57,21,
lightskyblue,57,31,
lightskyblue,60,22,
lightskyblue,60,32,
lightskyblue,60,22,
lightskyblue,60,32,
