green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,67,68,71,72,75,76,79,80,83,84,87,88,91,92,95,96,99,100,103,104,107,109,110,113,114,117,118,121,122,125,126,129,130,133,134,137,138,141,142,145,146,
gold,0,69,70,73,74,77,78,81,82,85,86,89,90,93,94,97,98,101,102,105,106,108,111,112,115,116,119,120,123,124,127,128,131,132,135,136,139,140,143,144,147,148,
gold,1,67,69,
gold,1,71,73,
gold,1,75,77,
gold,1,79,81,
gold,1,83,85,
gold,1,87,89,
gold,1,91,93,
gold,1,95,97,
gold,1,99,101,
gold,1,103,105,
gold,1,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,
gold,2,68,70,
gold,2,72,74,
gold,2,76,78,
gold,2,80,82,
gold,2,84,86,
gold,2,88,90,
gold,2,92,94,
gold,2,96,98,
gold,2,100,102,
gold,2,104,106,
gold,2,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,
gold,3,109,110,
red,3,111,112,
gold,3,
gold,4,113,114,
red,4,115,116,
gold,4,
gold,5,117,118,
red,5,119,120,
gold,5,
gold,6,121,122,
red,6,123,124,
gold,6,
gold,7,125,126,
red,7,127,128,
gold,7,
gold,8,129,130,
red,8,131,132,
gold,8,
gold,9,133,134,
red,9,135,136,
gold,9,
gold,10,137,138,
red,10,139,140,
gold,10,
gold,11,141,142,
red,11,143,144,
gold,11,
gold,12,145,146,
red,12,147,148,
gold,12,
lightskyblue,37,25,
lightskyblue,37,36,
lightskyblue,38,25,
lightskyblue,38,36,
lightskyblue,40,25,
lightskyblue,40,36,
lightskyblue,41,25,
lightskyblue,41,36,
lightskyblue,43,25,
lightskyblue,43,36,
lightskyblue,44,25,
lightskyblue,44,36,
lightskyblue,46,25,
lightskyblue,46,36,
lightskyblue,47,25,
lightskyblue,47,36,
lightskyblue,49,25,
lightskyblue,49,36,
lightskyblue,50,25,
lightskyblue,50,36,
lightskyblue,52,25,
lightskyblue,52,36,
lightskyblue,53,25,
lightskyblue,53,36,
lightskyblue,55,25,
lightskyblue,55,36,
lightskyblue,56,25,
lightskyblue,56,36,
lightskyblue,58,25,
lightskyblue,58,36,
lightskyblue,59,25,
lightskyblue,59,36,
lightskyblue,61,25,
lightskyblue,61,36,
lightskyblue,62,25,
lightskyblue,62,36,
lightskyblue,64,25,
lightskyblue,64,36,
lightskyblue,65,25,
lightskyblue,65,36,
lightskyblue,14,
lightskyblue,13,
lightskyblue,39,15,
lightskyblue,39,26,
lightskyblue,39,15,
lightskyblue,39,26,
lightskyblue,42,16,
lightskyblue,42,27,
lightskyblue,42,16,
lightskyblue,42,27,
lightskyblue,45,17,
lightskyblue,45,28,
lightskyblue,45,17,
lightskyblue,45,28,
lightskyblue,48,18,
lightskyblue,48,29,
lightskyblue,48,18,
lightskyblue,48,29,
lightskyblue,51,19,
lightskyblue,51,30,
lightskyblue,51,19,
lightskyblue,51,30,
lightskyblue,54,20,
lightskyblue,54,31,
lightskyblue,54,20,
lightskyblue,54,31,
lightskyblue,57,21,
lightskyblue,57,32,
lightskyblue,57,21,
lightskyblue,57,32,
lightskyblue,60,22,
lightskyblue,60,33,
lightskyblue,60,22,
lightskyblue,60,33,
lightskyblue,63,23,
lightskyblue,63,34,
lightskyblue,63,23,
lightskyblue,63,34,
lightskyblue,66,24,
lightskyblue,66,35,
lightskyblue,66,24,
lightskyblue,66,35,
