green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
green,
gold,0,73,74,77,78,81,82,85,86,89,90,93,94,97,98,101,102,105,106,109,110,113,114,117,119,120,123,124,127,128,131,132,135,136,139,140,143,144,147,148,151,152,155,156,159,160,
gold,0,75,76,79,80,83,84,87,88,91,92,95,96,99,100,103,104,107,108,111,112,115,116,118,121,122,125,126,129,130,133,134,137,138,141,142,145,146,149,150,153,154,157,158,161,162,
gold,1,73,75,
gold,1,77,79,
gold,1,81,83,
gold,1,85,87,
gold,1,89,91,
gold,1,93,95,
gold,1,97,99,
gold,1,101,103,
gold,1,105,107,
gold,1,109,111,
gold,1,113,115,
gold,1,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,
gold,2,74,76,
gold,2,78,80,
gold,2,82,84,
gold,2,86,88,
gold,2,90,92,
gold,2,94,96,
gold,2,98,100,
gold,2,102,104,
gold,2,106,108,
gold,2,110,112,
gold,2,114,116,
gold,2,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,
gold,3,119,120,
red,3,121,122,
gold,3,
gold,4,123,124,
red,4,125,126,
gold,4,
gold,5,127,128,
red,5,129,130,
gold,5,
gold,6,131,132,
red,6,133,134,
gold,6,
gold,7,135,136,
red,7,137,138,
gold,7,
gold,8,139,140,
red,8,141,142,
gold,8,
gold,9,143,144,
red,9,145,146,
gold,9,
gold,10,147,148,
red,10,149,150,
gold,10,
gold,11,151,152,
red,11,153,154,
gold,11,
gold,12,155,156,
red,12,157,158,
gold,12,
gold,13,159,160,
red,13,161,162,
gold,13,
lightskyblue,40,27,
lightskyblue,40,39,
lightskyblue,41,27,
lightskyblue,41,39,
lightskyblue,43,27,
lightskyblue,43,39,
lightskyblue,44,27,
lightskyblue,44,39,
lightskyblue,46,27,
lightskyblue,46,39,
lightskyblue,47,27,
lightskyblue,47,39,
lightskyblue,49,27,
lightskyblue,49,39,
lightskyblue,50,27,
lightskyblue,50,39,
lightskyblue,52,27,
lightskyblue,52,39,
lightskyblue,53,27,
lightskyblue,53,39,
lightskyblue,55,27,
lightskyblue,55,39,
lightskyblue,56,27,
lightskyblue,56,39,
lightskyblue,58,27,
lightskyblue,58,39,
lightskyblue,59,27,
lightskyblue,59,39,
lightskyblue,61,27,
lightskyblue,61,39,
lightskyblue,62,27,
lightskyblue,62,39,
lightskyblue,64,27,
lightskyblue,64,39,
lightskyblue,65,27,
lightskyblue,65,39,
lightskyblue,67,27,
lightskyblue,67,39,
lightskyblue,68,27,
lightskyblue,68,39,
lightskyblue,70,27,
lightskyblue,70,39,
lightskyblue,71,27,
lightskyblue,71,39,
lightskyblue,15,
lightskyblue,14,
lightskyblue,42,16,
lightskyblue,42,28,
lightskyblue,42,16,
lightskyblue,42,28,
lightskyblue,45,17,
lightskyblue,45,29,
lightskyblue,45,17,
lightskyblue,45,29,
lightskyblue,48,18,
lightskyblue,48,30,
lightskyblue,48,18,
lightskyblue,48,30,
lightskyblue,51,19,
lightskyblue,51,31,
lightskyblue,51,19,
lightskyblue,51,31,
lightskyblue,54,20,
lightskyblue,54,32,
lightskyblue,54,20,
lightskyblue,54,32,
lightskyblue,57,21,
lightskyblue,57,33,
lightskyblue,57,21,
lightskyblue,57,33,
lightskyblue,60,22,
lightskyblue,60,34,
lightskyblue,60,22,
lightskyblue,60,34,
lightskyblue,63,23,
lightskyblue,63,35,
lightskyblue,63,23,
lightskyblue,63,35,
lightskyblue,66,24,
lightskyblue,66,36,
lightskyblue,66,24,
lightskyblue,66,36,
lightskyblue,69,25,
lightskyblue,69,37,
lightskyblue,69,25,
lightskyblue,69,37,
lightskyblue,72,26,
lightskyblue,72,38,
lightskyblue,72,26,
lightskyblue,72,38,
