./city-generator.py         <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed> 
./two-cities-generator.py   <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed>
./three-cities-generator.py <nodes> <size^(1/2)> <degree> <mindistance> <trucks> <packages> <seed>
p0.pddl three-cities-generator.py 2 1000 3 100 2 2 1
p1.pddl three-cities-generator.py 2 1000 3 100 2 2 2
p2.pddl three-cities-generator.py 2 1000 3 100 2 3 1
p3.pddl three-cities-generator.py 2 1000 3 100 2 3 2
p4.pddl three-cities-generator.py 2 1000 3 100 2 4 1
p5.pddl three-cities-generator.py 2 1000 3 100 2 4 2
p6.pddl three-cities-generator.py 2 1000 3 100 2 5 1
p7.pddl three-cities-generator.py 2 1000 3 100 2 5 2
p8.pddl three-cities-generator.py 2 1000 3 100 2 6 1
p9.pddl three-cities-generator.py 2 1000 3 100 2 6 2
p10.pddl three-cities-generator.py 2 1000 3 100 2 7 1
p11.pddl three-cities-generator.py 2 1000 3 100 2 7 2
p12.pddl three-cities-generator.py 2 1000 3 100 2 8 1
p13.pddl three-cities-generator.py 2 1000 3 100 2 8 2
p14.pddl three-cities-generator.py 2 1000 3 100 2 9 1
p15.pddl three-cities-generator.py 2 1000 3 100 2 9 2
p16.pddl three-cities-generator.py 3 1000 3 100 2 2 1
p17.pddl three-cities-generator.py 3 1000 3 100 2 2 2
p18.pddl three-cities-generator.py 3 1000 3 100 2 3 1
p19.pddl three-cities-generator.py 3 1000 3 100 2 3 2
p20.pddl three-cities-generator.py 3 1000 3 100 2 4 1
p21.pddl three-cities-generator.py 3 1000 3 100 2 4 2
p22.pddl three-cities-generator.py 3 1000 3 100 2 5 1
p23.pddl three-cities-generator.py 3 1000 3 100 2 5 2
p24.pddl three-cities-generator.py 3 1000 3 100 2 6 1
p25.pddl three-cities-generator.py 3 1000 3 100 2 6 2
p26.pddl three-cities-generator.py 3 1000 3 100 2 7 1
p27.pddl three-cities-generator.py 3 1000 3 100 2 7 2
p28.pddl three-cities-generator.py 3 1000 3 100 2 8 1
p29.pddl three-cities-generator.py 3 1000 3 100 2 8 2
p30.pddl three-cities-generator.py 3 1000 3 100 2 9 1
p31.pddl three-cities-generator.py 3 1000 3 100 2 9 2
p32.pddl three-cities-generator.py 4 1000 3 100 2 2 1
p33.pddl three-cities-generator.py 4 1000 3 100 2 2 2
p34.pddl three-cities-generator.py 4 1000 3 100 2 3 1
p35.pddl three-cities-generator.py 4 1000 3 100 2 3 2
p36.pddl three-cities-generator.py 4 1000 3 100 2 4 1
p37.pddl three-cities-generator.py 4 1000 3 100 2 4 2
p38.pddl three-cities-generator.py 4 1000 3 100 2 5 1
p39.pddl three-cities-generator.py 4 1000 3 100 2 5 2
p40.pddl three-cities-generator.py 4 1000 3 100 2 6 1
p41.pddl three-cities-generator.py 4 1000 3 100 2 6 2
p42.pddl three-cities-generator.py 4 1000 3 100 2 7 1
p43.pddl three-cities-generator.py 4 1000 3 100 2 7 2
p44.pddl three-cities-generator.py 4 1000 3 100 2 8 1
p45.pddl three-cities-generator.py 4 1000 3 100 2 8 2
p46.pddl three-cities-generator.py 4 1000 3 100 2 9 1
p47.pddl three-cities-generator.py 4 1000 3 100 2 9 2
p48.pddl three-cities-generator.py 5 1000 3 100 2 2 1
p49.pddl three-cities-generator.py 5 1000 3 100 2 2 2
p50.pddl three-cities-generator.py 5 1000 3 100 2 3 1
p51.pddl three-cities-generator.py 5 1000 3 100 2 3 2
p52.pddl three-cities-generator.py 5 1000 3 100 2 4 1
p53.pddl three-cities-generator.py 5 1000 3 100 2 4 2
p54.pddl three-cities-generator.py 5 1000 3 100 2 5 1
p55.pddl three-cities-generator.py 5 1000 3 100 2 5 2
p56.pddl three-cities-generator.py 5 1000 3 100 2 6 1
p57.pddl three-cities-generator.py 5 1000 3 100 2 6 2
p58.pddl three-cities-generator.py 5 1000 3 100 2 7 1
p59.pddl three-cities-generator.py 5 1000 3 100 2 7 2
p60.pddl three-cities-generator.py 5 1000 3 100 2 8 1
p61.pddl three-cities-generator.py 5 1000 3 100 2 8 2
p62.pddl three-cities-generator.py 5 1000 3 100 2 9 1
p63.pddl three-cities-generator.py 5 1000 3 100 2 9 2
p64.pddl three-cities-generator.py 6 1000 3 100 2 2 1
p65.pddl three-cities-generator.py 6 1000 3 100 2 2 2
p66.pddl three-cities-generator.py 6 1000 3 100 2 3 1
p67.pddl three-cities-generator.py 6 1000 3 100 2 3 2
p68.pddl three-cities-generator.py 6 1000 3 100 2 4 1
p69.pddl three-cities-generator.py 6 1000 3 100 2 4 2
p70.pddl three-cities-generator.py 6 1000 3 100 2 5 1
p71.pddl three-cities-generator.py 6 1000 3 100 2 5 2
p72.pddl three-cities-generator.py 6 1000 3 100 2 6 1
p73.pddl three-cities-generator.py 6 1000 3 100 2 6 2
p74.pddl three-cities-generator.py 6 1000 3 100 2 7 1
p75.pddl three-cities-generator.py 6 1000 3 100 2 7 2
p76.pddl three-cities-generator.py 6 1000 3 100 2 8 1
p77.pddl three-cities-generator.py 6 1000 3 100 2 8 2
p78.pddl three-cities-generator.py 6 1000 3 100 2 9 1
p79.pddl three-cities-generator.py 6 1000 3 100 2 9 2
p80.pddl three-cities-generator.py 7 1000 3 100 2 2 1
p81.pddl three-cities-generator.py 7 1000 3 100 2 2 2
p82.pddl three-cities-generator.py 7 1000 3 100 2 3 1
p83.pddl three-cities-generator.py 7 1000 3 100 2 3 2
p84.pddl three-cities-generator.py 7 1000 3 100 2 4 1
p85.pddl three-cities-generator.py 7 1000 3 100 2 4 2
p86.pddl three-cities-generator.py 7 1000 3 100 2 5 1
p87.pddl three-cities-generator.py 7 1000 3 100 2 5 2
p88.pddl three-cities-generator.py 7 1000 3 100 2 6 1
p89.pddl three-cities-generator.py 7 1000 3 100 2 6 2
p90.pddl three-cities-generator.py 7 1000 3 100 2 7 1
p91.pddl three-cities-generator.py 7 1000 3 100 2 7 2
p92.pddl three-cities-generator.py 7 1000 3 100 2 8 1
p93.pddl three-cities-generator.py 7 1000 3 100 2 8 2
p94.pddl three-cities-generator.py 7 1000 3 100 2 9 1
p95.pddl three-cities-generator.py 7 1000 3 100 2 9 2
p96.pddl three-cities-generator.py 8 1000 3 100 2 2 1
p97.pddl three-cities-generator.py 8 1000 3 100 2 2 2
p98.pddl three-cities-generator.py 8 1000 3 100 2 3 1
p99.pddl three-cities-generator.py 8 1000 3 100 2 3 2
p100.pddl three-cities-generator.py 8 1000 3 100 2 4 1
p101.pddl three-cities-generator.py 8 1000 3 100 2 4 2
p102.pddl three-cities-generator.py 8 1000 3 100 2 5 1
p103.pddl three-cities-generator.py 8 1000 3 100 2 5 2
p104.pddl three-cities-generator.py 8 1000 3 100 2 6 1
p105.pddl three-cities-generator.py 8 1000 3 100 2 6 2
p106.pddl three-cities-generator.py 8 1000 3 100 2 7 1
p107.pddl three-cities-generator.py 8 1000 3 100 2 7 2
p108.pddl three-cities-generator.py 8 1000 3 100 2 8 1
p109.pddl three-cities-generator.py 8 1000 3 100 2 8 2
p110.pddl three-cities-generator.py 8 1000 3 100 2 9 1
p111.pddl three-cities-generator.py 8 1000 3 100 2 9 2
p112.pddl three-cities-generator.py 9 1000 3 100 2 2 1
p113.pddl three-cities-generator.py 9 1000 3 100 2 2 2
p114.pddl three-cities-generator.py 9 1000 3 100 2 3 1
p115.pddl three-cities-generator.py 9 1000 3 100 2 3 2
p116.pddl three-cities-generator.py 9 1000 3 100 2 4 1
p117.pddl three-cities-generator.py 9 1000 3 100 2 4 2
p118.pddl three-cities-generator.py 9 1000 3 100 2 5 1
p119.pddl three-cities-generator.py 9 1000 3 100 2 5 2
p120.pddl three-cities-generator.py 9 1000 3 100 2 6 1
p121.pddl three-cities-generator.py 9 1000 3 100 2 6 2
p122.pddl three-cities-generator.py 9 1000 3 100 2 7 1
p123.pddl three-cities-generator.py 9 1000 3 100 2 7 2
p124.pddl three-cities-generator.py 9 1000 3 100 2 8 1
p125.pddl three-cities-generator.py 9 1000 3 100 2 8 2
p126.pddl three-cities-generator.py 9 1000 3 100 2 9 1
p127.pddl three-cities-generator.py 9 1000 3 100 2 9 2
p128.pddl three-cities-generator.py 10 1000 3 100 2 2 1
p129.pddl three-cities-generator.py 10 1000 3 100 2 2 2
p130.pddl three-cities-generator.py 10 1000 3 100 2 3 1
p131.pddl three-cities-generator.py 10 1000 3 100 2 3 2
p132.pddl three-cities-generator.py 10 1000 3 100 2 4 1
p133.pddl three-cities-generator.py 10 1000 3 100 2 4 2
p134.pddl three-cities-generator.py 10 1000 3 100 2 5 1
p135.pddl three-cities-generator.py 10 1000 3 100 2 5 2
p136.pddl three-cities-generator.py 10 1000 3 100 2 6 1
p137.pddl three-cities-generator.py 10 1000 3 100 2 6 2
p138.pddl three-cities-generator.py 10 1000 3 100 2 7 1
p139.pddl three-cities-generator.py 10 1000 3 100 2 7 2
p140.pddl three-cities-generator.py 10 1000 3 100 2 8 1
p141.pddl three-cities-generator.py 10 1000 3 100 2 8 2
p142.pddl three-cities-generator.py 10 1000 3 100 2 9 1
p143.pddl three-cities-generator.py 10 1000 3 100 2 9 2
p144.pddl three-cities-generator.py 11 1000 3 100 2 2 1
p145.pddl three-cities-generator.py 11 1000 3 100 2 2 2
p146.pddl three-cities-generator.py 11 1000 3 100 2 3 1
p147.pddl three-cities-generator.py 11 1000 3 100 2 3 2
p148.pddl three-cities-generator.py 11 1000 3 100 2 4 1
p149.pddl three-cities-generator.py 11 1000 3 100 2 4 2
p150.pddl three-cities-generator.py 11 1000 3 100 2 5 1
p151.pddl three-cities-generator.py 11 1000 3 100 2 5 2
p152.pddl three-cities-generator.py 11 1000 3 100 2 6 1
p153.pddl three-cities-generator.py 11 1000 3 100 2 6 2
p154.pddl three-cities-generator.py 11 1000 3 100 2 7 1
p155.pddl three-cities-generator.py 11 1000 3 100 2 7 2
p156.pddl three-cities-generator.py 11 1000 3 100 2 8 1
p157.pddl three-cities-generator.py 11 1000 3 100 2 8 2
p158.pddl three-cities-generator.py 11 1000 3 100 2 9 1
p159.pddl three-cities-generator.py 11 1000 3 100 2 9 2
p160.pddl three-cities-generator.py 12 1000 3 100 2 2 1
p161.pddl three-cities-generator.py 12 1000 3 100 2 2 2
p162.pddl three-cities-generator.py 12 1000 3 100 2 3 1
p163.pddl three-cities-generator.py 12 1000 3 100 2 3 2
p164.pddl three-cities-generator.py 12 1000 3 100 2 4 1
p165.pddl three-cities-generator.py 12 1000 3 100 2 4 2
p166.pddl three-cities-generator.py 12 1000 3 100 2 5 1
p167.pddl three-cities-generator.py 12 1000 3 100 2 5 2
p168.pddl three-cities-generator.py 12 1000 3 100 2 6 1
p169.pddl three-cities-generator.py 12 1000 3 100 2 6 2
p170.pddl three-cities-generator.py 12 1000 3 100 2 7 1
p171.pddl three-cities-generator.py 12 1000 3 100 2 7 2
p172.pddl three-cities-generator.py 12 1000 3 100 2 8 1
p173.pddl three-cities-generator.py 12 1000 3 100 2 8 2
p174.pddl three-cities-generator.py 12 1000 3 100 2 9 1
p175.pddl three-cities-generator.py 12 1000 3 100 2 9 2
p176.pddl three-cities-generator.py 13 1000 3 100 2 2 1
p177.pddl three-cities-generator.py 13 1000 3 100 2 2 2
p178.pddl three-cities-generator.py 13 1000 3 100 2 3 1
p179.pddl three-cities-generator.py 13 1000 3 100 2 3 2
p180.pddl three-cities-generator.py 13 1000 3 100 2 4 1
p181.pddl three-cities-generator.py 13 1000 3 100 2 4 2
p182.pddl three-cities-generator.py 13 1000 3 100 2 5 1
p183.pddl three-cities-generator.py 13 1000 3 100 2 5 2
p184.pddl three-cities-generator.py 13 1000 3 100 2 6 1
p185.pddl three-cities-generator.py 13 1000 3 100 2 6 2
p186.pddl three-cities-generator.py 13 1000 3 100 2 7 1
p187.pddl three-cities-generator.py 13 1000 3 100 2 7 2
p188.pddl three-cities-generator.py 13 1000 3 100 2 8 1
p189.pddl three-cities-generator.py 13 1000 3 100 2 8 2
p190.pddl three-cities-generator.py 13 1000 3 100 2 9 1
p191.pddl three-cities-generator.py 13 1000 3 100 2 9 2
p192.pddl three-cities-generator.py 14 1000 3 100 2 2 1
p193.pddl three-cities-generator.py 14 1000 3 100 2 2 2
p194.pddl three-cities-generator.py 14 1000 3 100 2 3 1
p195.pddl three-cities-generator.py 14 1000 3 100 2 3 2
p196.pddl three-cities-generator.py 14 1000 3 100 2 4 1
p197.pddl three-cities-generator.py 14 1000 3 100 2 4 2
p198.pddl three-cities-generator.py 14 1000 3 100 2 5 1
p199.pddl three-cities-generator.py 14 1000 3 100 2 5 2
p200.pddl three-cities-generator.py 14 1000 3 100 2 6 1
p201.pddl three-cities-generator.py 14 1000 3 100 2 6 2
p202.pddl three-cities-generator.py 14 1000 3 100 2 7 1
p203.pddl three-cities-generator.py 14 1000 3 100 2 7 2
p204.pddl three-cities-generator.py 14 1000 3 100 2 8 1
p205.pddl three-cities-generator.py 14 1000 3 100 2 8 2
p206.pddl three-cities-generator.py 14 1000 3 100 2 9 1
